,구,URL_ID,카페명,평점,리뷰개수,주소,행정동,영업시간,전화번호,홈페이지주소,태그,메뉴,대표사진주소,경도,위도
0,강남구,348276052,카페노티드 청담,3.7,266건,서울 강남구 도산대로53길 15 1층,강남구 압구정동,영업시간&매일 09:00 ~ 21:00,070-8860-9377,www.instagram.com/cafeknotted,#디저트카페 #데이트코스,"메뉴 이름: Americano 가격: 4,000&메뉴 이름: Cafe Latte 가격: 5,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_2114365025,127.0382366,37.52418389
1,강남구,179244712,꽁티드툴레아 도산점,3.2,67건,서울 강남구 도산대로49길 39 1층,강남구 압구정동,영업시간&월~토 11:00 ~ 24:00&일 11:00 ~ 23:00,070-8846-8490,www.instagram.com/tulear_seoul,#테마카페 #건강음료 #도산근린공원 #분위기좋은 #브런치카페 #야외테라스 #주택개조카페,"메뉴 이름: Americano 가격: 5,500&메뉴 이름: Latte 가격: 7,000&메뉴 이름: Matcha Latte 가격: 7,000&메뉴 이름: Choco Latte 가격: 7,000&메뉴 이름: Appleberry 가격: 8,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F3F706642B5D542078489AC31E6134A5D,127.0368975,37.52557683
2,강남구,714214219,랑데자뷰 강남점,3.3,64건,서울 강남구 봉은사로6길 39 1층,강남구 역삼1동,영업시간&매일 11:00 ~ 23:00,02-552-0204,www.instagram.com/rendejavous,#카페 #감성카페 #분위기좋은 #이색적인 #이색카페 #포토존 #카카오페이 #제로페이,"메뉴 이름: 아메리카노(H) 가격: 5,500&메뉴 이름: 카페 라떼(H) 가격: 6,000&메뉴 이름: 제주 녹차 라떼(H) 가격: 6,500&메뉴 이름: 매실티(H) 가격: 6,500&메뉴 이름: 타르르 가격: 7,300",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F22280E70928043878B83BC1EBEC45F14,127.0279434,37.50268748
3,강남구,495658881,블루보틀 역삼 카페,3.3,72건,서울 강남구 테헤란로 129 강남N타워 1층,강남구 역삼1동,"영업시간&월~금 08:00 ~ 20:00&토,일 10:00 ~ 20:00",02-6212-6998,www.bluebottlecoffeekorea.com,#카페 #핸드드립전문점,"메뉴 이름: 아메리카노 (AMERICANO) (hot/iced) 가격: 5,000&메뉴 이름: 라떼 (LATTE) (hot/iced) 가격: 6,100&메뉴 이름: 블렌드 (드립) 가격: 5,200&메뉴 이름: 놀라 플로트 (NOLA FLOAT) 가격: 7,200&메뉴 이름: 레몬 유자 피즈 (LEMON YUJU FIZZ) 가격: 4,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FB1F2AC415A44461E8AC3DF6149C625E1,127.032368,37.49993232
4,강남구,1860681564,테라로사 포스코센터점,3.9,78건,서울 강남구 테헤란로 440 포스코센터 1층,강남구 대치4동,"영업시간&월~금 07:30 ~ 21:00&토,일 08:30 ~ 21:00",033-648-2760,www.terarosa.com,#커피전문점 #북카페 #분위기좋은 #핸드드립전문점,"메뉴 이름: 카페라떼 가격: 5,500&메뉴 이름: 카푸치노 가격: 5,000&메뉴 이름: 에스프레소 마키아토 가격: 5,000&메뉴 이름: 에스프레소 더블 가격: 5,000&메뉴 이름: 아메리카노 에센틱 시즌10(HOT) 가격: 5,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F38F14A15E79445B5A0CAD1803FCEE542,127.0561308,37.50581523
5,강남구,858715549,카페캠프통,3.6,46건,서울 강남구 압구정로42길 27,강남구 압구정동,영업시간&매일 12:00 ~ 19:00,02-3445-0369,www.cafecamptong.com,#디저트카페 #압구정대형카페 #압구정로데오카페 #압구정베이커리 #압구정카페 #압구정커피 #다트 #데이트코스 #드로잉카페 #빈티지분위기,"메뉴 이름: 아메리카노 가격: 5,500&메뉴 이름: 카페라떼 가격: 6,000&메뉴 이름: 애플핑크에이드 가격: 6,500&메뉴 이름: 아이스티(패션후르츠, 피치 코코) 가격: 6,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FB7D7329086C14B34A0FF2A6E824AA548,127.0352858,37.52701717
6,강남구,22837049,알베르,2.9,164건,서울 강남구 강남대로102길 34,강남구 역삼1동,영업시간&매일 11:00 ~ 23:00,02-566-6181,,#카페 ,"메뉴 이름: ESPRESSO 가격: 5,000&메뉴 이름: AMERICANO 가격: 5,500&메뉴 이름: CAPPUCCINO 가격: 6,000&메뉴 이름: CAFE LATTE 가격: 6,000&메뉴 이름: VANILLA LATTE 가격: 6,500&메뉴 이름: CAFE MOCHA 가격: 6,500&메뉴 이름: CARAMEL MACCHIATO 가격: 6,500&메뉴 이름: AFFOGATO 가격: 7,000&메뉴 이름: CHOCO LATTE 가격: 6,500&메뉴 이름: GREEN TEA LATTE 가격: 6,500&메뉴 이름: HONEY MISUTGARU 가격: 6,500&메뉴 이름: COOL MINT 가격: 6,500&메뉴 이름: LEMON GRASS 가격: 6,500&메뉴 이름: EARL GREY RESERVE 가격: 6,500&메뉴 이름: BLACK BUCKWHEAT TEA 가격: 6,500&메뉴 이름: MILK TEA 가격: 7,500&메뉴 이름: 블루베리 에이드 가격: 8,000&메뉴 이름: 라즈베리 에이드 가격: 8,000&메뉴 이름: TOMATO JUICE 가격: 8,000&메뉴 이름: KIWI JUICE 가격: 8,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F901B43175C6A440E9577A2B512BD15BE,127.028103,37.5030566
7,강남구,2005375589,썸띵어바웃커피,3.7,86건,서울 강남구 강남대로102길 30 1~3층,강남구 역삼1동,영업시간&매일 12:00 ~ 23:00,,instagram.com/something_about_coffee_,#디저트카페 #디저트카페 #루프탑있는 #소개팅 #테라스가있는,"메뉴 이름: 아메리카노 가격: 5,500&메뉴 이름: 카페라떼 가격: 6,000&메뉴 이름: 바닐라라떼 가격: 6,500&메뉴 이름: 자몽에이드 가격: 7,000&메뉴 이름: 루이보스 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F9521163CEF8349FC97A36C3242E1EEB9,127.0278152,37.50283353
8,강남구,1168471307,맘마미아,3.1,91건,서울 강남구 압구정로42길 45,강남구 압구정동,영업시간&매일 10:00 ~ 23:00,02-511-0620,,#카페 ,"메뉴 이름: Espresso 가격: 4,500&메뉴 이름: Americano 가격: 5,500&메뉴 이름: Latte 가격: 6,500&메뉴 이름: Watermelon Juice 가격: 8,500&메뉴 이름: Peach Juice 가격: 8,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FEFE8CEEDCEB54E9CB8E864BB0889C1C5,127.0346602,37.52592299
9,강남구,1106428073,정월,3.8,71건,서울 강남구 강남대로102길 46 1층,강남구 역삼1동,영업시간&매일 11:00 ~ 23:00,02-6013-0926,www.instagram.com/cafe_jungwol,#카페 #감성카페 #제로페이,"메뉴 이름: 에스프레소 가격: 4,000&메뉴 이름: 아메리카노 가격: 5,000&메뉴 이름: 핸드드립 가격: 6,500&메뉴 이름: 말차라떼 가격: 6,500&메뉴 이름: 녹차유자 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE2E8249EBAD048CEB7BBBB2333543F7B,127.0286274,37.50366035
