,구,URL_ID,카페명,평점,리뷰개수,주소,행정동,영업시간,전화번호,홈페이지주소,태그,메뉴,대표사진주소,경도,위도
0,강동구,630064388,스윗솔트,4.5,264건,서울 강동구 상암로 286,강동구 명일2동,영업시간&매일 09:00 ~ 23:00&공휴일&09:00 ~ 23:00,02-3427-0999,www.instagram.com/sweetsaltcafe,#디저트카페 #루프탑있는 #브런치카페,"메뉴 이름: 에그베네딕트 가격: 16,500&메뉴 이름: 아메리카노 숲 가격: 5,000&메뉴 이름: 쉬림프로제파스타 가격: 16,500&메뉴 이름: 베이컨 치즈 버거 가격: 15,000&메뉴 이름: 아보카도 버거 가격: 16,000&메뉴 이름: 리코타새우시트러스샐러드 가격: 14,500&메뉴 이름: 명란크림파스타 가격: 17,000&메뉴 이름: 클램차우더 스프 가격: 10,500&메뉴 이름: 감자튀김 가격: 7,500&메뉴 이름: 에스프레소 가격: 5,000&메뉴 이름: 아메리카노 하늘 가격: 6,000&메뉴 이름: 까페라떼 가격: 5,500&메뉴 이름: 바닐라라떼 가격: 6,000&메뉴 이름: 스윗라떼 가격: 6,000&메뉴 이름: 아인슈페너 가격: 7,500&메뉴 이름: 카푸치노 가격: 5,500&메뉴 이름: 카라멜마끼아또 가격: 7,000&메뉴 이름: 흑임자라떼 가격: 6,500&메뉴 이름: 얼그레이 가격: 6,000&메뉴 이름: 피치우롱 가격: 6,000&메뉴 이름: 크림슨펀치 가격: 6,000&메뉴 이름: 세레니티 가격: 6,000&메뉴 이름: 루이보스 아몬드 밀크티 가격: 6,500&메뉴 이름: 얼그레이 스트로베리 밀크티 가격: 7,500&메뉴 이름: 말차 그린티 라떼 가격: 6,500&메뉴 이름: 오렌지 주스 가격: 6,500&메뉴 이름: 생강레몬차 가격: 6,500&메뉴 이름: 자몽차 가격: 6,500&메뉴 이름: 유자펀치 가격: 7,000&메뉴 이름: 레몬/레드깔라만시/자몽 에이드 가격: 7,000&메뉴 이름: 딸기바나나스무디 가격: 7,500&메뉴 이름: 플레인/블루베리 요거트 스무디 가격: 7,500&메뉴 이름: 초코라떼 가격: 7,000&메뉴 이름: 딸기라떼 가격: 7,000&메뉴 이름: 크로플 가격: 4,500&메뉴 이름: 감자브레드 가격: 6,500&메뉴 이름: 단짠 마늘빵 가격: 6,800&메뉴 이름: 단호박크림치즈 가격: 7,000&메뉴 이름: 몽블랑 가격: 6,500&메뉴 이름: 통밀 무화과 가격: 7,500&메뉴 이름: 크로와상 가격: 3,000&메뉴 이름: 앙버터 가격: 7,000&메뉴 이름: 호두크림치즈바게트 가격: 7,500&메뉴 이름: 블루베리크림치즈 크로와상 가격: 5,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F79413E975BCD4ED793931EE039C064A0,127.1541353,37.54548155
1,강동구,1319161148,브랜뉴하이몬드,2.9,45건,"서울 강동구 천호옛14길 11 1,2층",강동구 성내2동,영업시간&매일 09:00 ~ 23:00&휴무일&연중무휴,02-478-2402,,#디저트카페 #베이커리카페 #제로페이,"메뉴 이름: 아메리카노 가격: 4,000&메뉴 이름: 카페라떼 가격: 5,200&메뉴 이름: 레몬티 가격: 4,800&메뉴 이름: 얼그레이 밀크티 가격: 5,400&메뉴 이름: 레몬 에이드 (ICE) 가격: 5,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FF1B18B658D9240439A7132425D593ECA,127.1261578,37.53643447
2,강동구,1699738382,페더커피,4.9,45건,서울 강동구 진황도로 123 1층 101호,강동구 길동,영업시간&월~토 09:30 ~ 21:00&휴무일&일요일,070-4118-0578,www.instagram.com/feather_coffee,#카페 #감성카페 #제로페이,"메뉴 이름: 에스프레소 가격: 3,500&메뉴 이름: 아메리카노 가격: 3,500&메뉴 이름: 카페라떼 가격: 4,000&메뉴 이름: 말차라떼 가격: 5,000&메뉴 이름: 캐모마일 시트러스티 가격: 4,500&메뉴 이름: 파인 자몽 에이드 가격: 5,800&메뉴 이름: 파인 자몽티 가격: 5,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F354D3448F0B9445E87374CF9FF723701,127.1399664,37.53477949
3,강동구,622634747,미드데이썬,4,30건,서울 강동구 양재대로91나길 55,강동구 성내3동,영업시간&화~일 11:00 ~ 22:00&휴무일&월요일,02-471-1235,www.instagram.com/midday_sun_,#카페 ,"메뉴 이름: 딸기수플레팬케이크 가격: 16,000",,127.1316579,37.52627093
4,강동구,780872492,평상시 암사점,4,21건,서울 강동구 고덕로20길 26 1층 101호,강동구 암사1동,"영업시간&월,수,목,금,토,일 12:00 ~ 19:00&휴무일&화요일",070-7655-0005,www.instagram.com/pyeongsangshi,#카페 #비건베이커리 #비건카페 #비건푸드 #빈티지분위기 #애견동반식당 #제로페이,"메뉴 이름: 드라이 카푸치노 가격: 5,000&메뉴 이름: 라벤더라떼 가격: 5,500&메뉴 이름: 로즈라떼 가격: 5,500&메뉴 이름: 아메리카노 가격: 4,000&메뉴 이름: 라떼 가격: 4,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F3DDAE8F1EDA74F3EA7636AFB443AFE5E,127.1336202,37.55356558
5,강동구,448338392,성내동커피집 온온,4.4,32건,서울 강동구 성내로18길 34 1층 103호,강동구 성내1동,영업시간&월~금 08:30 ~ 18:30&일 11:00 ~ 19:00&공휴일&11:00 ~ 19:00&휴무일&토요일,010-7696-8656,www.instagram.com/onon.coffee,#카페 #로스팅전문 #제로페이,"메뉴 이름: 아메리카노 가격: 3,500&메뉴 이름: 카페라떼 가격: 4,000&메뉴 이름: 아인슈페너 가격: 4,500&메뉴 이름: 캐모마일 가격: 4,000&메뉴 이름: 레몬케이크 가격: 3,000&",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F79E795A0926C4C78BD27E60D7B3EFC3F,127.1283258,37.52552138
6,강동구,1354198789,펠어커피 강동점,4.4,31건,서울 강동구 천호옛14길 23-12 1층,강동구 성내2동,"영업시간&월~금 10:00 ~ 22:00&토,일 11:00 ~ 22:00",070-7702-6096,fellacoffee.co.kr,#커피전문점 #로스팅전문 #수제초콜릿 #제로페이,"메뉴 이름: 아메리카노 가격: 3,500&메뉴 이름: 콜드브루 가격: 4,000&메뉴 이름: 카페라떼 가격: 4,000&메뉴 이름: 카카오 72초코 가격: 6,000&메뉴 이름: 초코볼+통밀크래커 가격: 5,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1161861907,127.127102,37.53647351
7,강동구,1171056769,테라로사 길동점,3.7,20건,서울 강동구 천호대로 1221 길동채움 2층,강동구 길동,영업시간&매일 09:00 ~ 21:00,,www.terarosa.com,#커피전문점 #핸드드립전문점,"메뉴 이름: 아메리카노(HOT) 가격: 5,000&메뉴 이름: 카페라떼(HOT) 가격: 5,500&메뉴 이름: 카푸치노 가격: 5,000&메뉴 이름: 에스프레소 마키아토 가격: 5,000&메뉴 이름: 에스프레소 더블 가격: 5,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F64A2D030C16E41A28A62E5FC7E852AD3,127.1463731,37.53604949
8,강동구,735973978,파트원나이스,4.6,22건,서울 강동구 올림픽로89길 29,강동구 천호2동,영업시간&화~토 12:00 ~ 22:00&일 11:00 ~ 18:00&휴무일&월요일,,www.instagram.com/part1_nice,#카페 ,"메뉴 이름: 아메리카노 가격: 4,000&메뉴 이름: 라떼 가격: 5,000&메뉴 이름: 바닐라 가격: 5,500&메뉴 이름: 요거트 가격: 7,000&메뉴 이름: 비엔나 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4EF1A220CFBD4300B8BC1BE4C71A9EE2,127.1246429,37.54764253
9,강동구,14829724,분홍다이닝,4.1,25건,서울 강동구 천호대로157길 18 원앙빌딩 3층,강동구 천호3동,영업시간&매일 11:30 ~ 22:00,02-473-9388,www.facebook.com/pinkdining,#카페 #안심식당 #데이트코스 #룸카페 #보드게임카페 #점심식사 #제로페이,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA0F1CC812CFC4B1B974C59C9B70F81A3,127.1274846,37.5384961
