,구,URL_ID,카페명,평점,리뷰개수,주소,행정동,영업시간,전화번호,홈페이지주소,태그,메뉴,대표사진주소,Unnamed: 12
0,강북구,2021943104,카페어니언 미아점,4.4,44건,서울 강북구 솔매로50길 55 1층,강북구 송중동,영업시간&매일 10:00 ~ 22:00&매일 라스트오더 ~ 21:30,070-7816-2714,instagram.com/cafe.onion,#카페 #데이트코스,"메뉴 이름: 아메리카노 가격: 4,000&메뉴 이름: 카페라떼 가격: 4,500&메뉴 이름: 브루잉 커피 가격: 5,000&메뉴 이름: 바닐라라떼 가격: 5,000&메뉴 이름: 카페모카 가격: 5,000&메뉴 이름: 아인슈페너 가격: 5,500&메뉴 이름: 크림카푸치노 가격: 5,500&메뉴 이름: 슈거프레소 가격: 4,000&메뉴 이름: 공주밤라떼 가격: 5,500&메뉴 이름: 발로나 초콜릿 드링크 가격: 6,000&메뉴 이름: 아쌈 밀크티 가격: 6,000&메뉴 이름: 딸기요거트 가격: 6,000&메뉴 이름: 문경 오미자 에이드 가격: 6,000&메뉴 이름: 패션후르츠 에이드 가격: 6,000&메뉴 이름: 호박티 가격: 5,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1406434164,
1,강북구,2001336225,경계선,4.3,28건,서울 강북구 삼각산로 22-7,강북구 인수동,영업시간&화~일 11:00 ~ 19:00&휴무일&월요일,010-3957-7341,www.instagram.com/borderline_seoul,#커피전문점 #데이트코스 #분위기좋은 #야외정원 #주택개조카페 #제로페이,"메뉴 이름: 아메리카노 가격: 4,000&메뉴 이름: 카페라떼 가격: 4,500&메뉴 이름: 경계선 라떼 가격: 4,500&메뉴 이름: 퐁퐁 미수 라떼 가격: 6,000&메뉴 이름: 요크셔 밀크티 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_426192108,
2,강북구,7888616,미즐카페엠,2.9,27건,서울 강북구 4.19로 107,강북구 인수동,영업시간&매일 11:00 ~ 22:00,02-999-5055,,#카페 #데이트코스 #분위기좋은 #브런치카페 #제로페이,"메뉴 이름: 에스프레소 더블 (HOT) 가격: 5,000&메뉴 이름: 에스프레소 더블 (ICE) 가격: 5,500&메뉴 이름: 아메리카노 (HOT) 가격: 5,000&메뉴 이름: 아메리카노 (ICE) 가격: 5,500&메뉴 이름: 카페라떼 (HOT) 가격: 5,500&메뉴 이름: 카페라떼 (ICE) 가격: 6,000&메뉴 이름: 바닐라라떼 (HOT) 가격: 6,000&메뉴 이름: 바닐라라떼 (ICE) 가격: 6,500&메뉴 이름: 카푸치노 (HOT) 가격: 5,500&메뉴 이름: 카푸치노 (ICE) 가격: 6,000&메뉴 이름: 카페모카 (HOT) 가격: 6,000&메뉴 이름: 카페모카 (ICE) 가격: 6,500&메뉴 이름: 카라멜 마끼아또 (HOT) 가격: 6,000&메뉴 이름: 카라멜 마끼아또 (ICE) 가격: 6,500&메뉴 이름: 플랫화이트 (HOT) 가격: 5,500&메뉴 이름: 플랫화이트 (ICE) 가격: 6,000&메뉴 이름: 연유라떼 (HOT) 가격: 6,500&메뉴 이름: 연유라떼 (ICE) 가격: 7,000&메뉴 이름: 샤케라또 (ICE) 가격: 6,000&메뉴 이름: 아포가토 (ICE) 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FEBB1C8E1B27F4929990D8519B040A280,
3,강북구,234080048,무너미,3.2,44건,서울 강북구 노해로8가길 40 1층,강북구 수유3동,영업시간&매일 12:00 ~ 21:00&휴무일&연중무휴,,,#카페 #감성카페 #제로페이,"메뉴 이름: amricano(HOT) 가격: 4,000&메뉴 이름: latthte(HOT) 가격: 4,500&메뉴 이름: mocha(HOT) 가격: 5,000&메뉴 이름: lenon 가격: 5,000&메뉴 이름: choco(HOT) 가격: 5,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F77F29883088046B4A50AC0265EB5B143,
4,강북구,394644903,카페멘디,3.8,29건,서울 강북구 4.19로8길 7-2,강북구 우이동,영업시간&화~일 10:00 ~ 22:00&휴무일&월요일,,,#카페 #브런치카페,"메뉴 이름: 멘디 커피 가격: 6,000&메뉴 이름: 아메리카노 가격: 4,500&메뉴 이름: 카페라떼 가격: 5,000&메뉴 이름: 허쉬초코 가격: 4,500&메뉴 이름: 라벤더 레모네이드 가격: 5,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F0DE7C462228742B68AEF2717B4EE4AED,
5,강북구,2034455524,"카페,산아래",3.2,54건,서울 강북구 삼양로181길 56,강북구 우이동,"영업시간&월~금 11:30 ~ 21:00&토,일 11:00 ~ 22:00&월~금 라스트오더 ~ 20:30&토,일 라스트오더 ~ 21:30&휴무일&연중무휴",,www.instagram.com/cafe_sanare,#카페 ,"메뉴 이름: 아메리카노(HOT) 가격: 5,000&메뉴 이름: 카페라떼(HOT) 가격: 4,500&메뉴 이름: 고구마라떼(HOT) 가격: 5,000&메뉴 이름: 수제 자몽차(HOT) 가격: 5,000&메뉴 이름: 바나나 스무디 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FB9243D8A6BBD442F920CCB08706E6498,
6,강북구,943203996,제이제곱,3.7,14건,서울 강북구 도봉로10나길 17 1층,강북구 송중동,영업시간&화~일 12:00 ~ 22:00&휴무일&월요일,010-4883-4249,www.instagram.com/cafe_j2,#카페 #감성카페 #한옥스타일 #제로페이,"메뉴 이름: 카페라떼 가격: 4,500&메뉴 이름: 제곱라떼 가격: 5,500&메뉴 이름: 아메리카노(블랙, 와인) 가격: 4,000&메뉴 이름: 콜드브루 가격: 4,500&메뉴 이름: 핸드드립 디카페인 가격: 5,800&메뉴 이름: 블루라떼 가격: 5,000&메뉴 이름: 아인슈페너 가격: 5,500&메뉴 이름: 바닐라라떼 가격: 5,000&메뉴 이름: 돌체라떼 가격: 5,000&메뉴 이름: 그린티라떼 가격: 5,500&메뉴 이름: 에이드(유자, 오미자, 블루베리) 가격: 6,500&메뉴 이름: 스무디(망고, 딸기, 블루베리) 가격: 6,500&메뉴 이름: 행쇼(뱅쇼+히비스커스) 가격: 7,500&메뉴 이름: 정읍 한방쌍화차 가격: 7,000&메뉴 이름: 웨딩임페리얼 밀크티 가격: 7,500&메뉴 이름: 웨딩임페리얼 홍차 가격: 6,000&메뉴 이름: 복숭아 아이스티 가격: 4,500&메뉴 이름: 허브티 가격: 5,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA6943B5F6F3049DDA963A1C69A8F916C,
7,강북구,1305533873,노르웨이안우드,0.0,0건,서울 강북구 인수봉로 314 지하 1층,강북구 우이동,"영업시간&월,목,금,토,일 12:00 ~ 21:00&휴무일&화,수요일",02-999-3738,www.instagram.com/norwegianwood_official,#카페 #데이트코스 #제로페이,"메뉴 이름: 플레인스콘 가격: 3,300&메뉴 이름: 스모어스콘 가격: 3,900&메뉴 이름: 무화과스콘 가격: 3,500&메뉴 이름: 얼그레이레몬스콘 가격: 3,500&메뉴 이름: 흑임자소보로스콘 가격: 3,900&메뉴 이름: 아인슈페너 가격: 5,000&메뉴 이름: 아메리카노 가격: 4,000&메뉴 이름: 카페라떼 가격: 4,500&메뉴 이름: 레몬티 가격: 4,500&메뉴 이름: 에스프레소 가격: 4,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FF9F0DEE74B874C9CBEB241ACB85266E7,
8,강북구,939649470,에이머그,4.1,7건,서울 강북구 노해로 21 1층,강북구 수유3동,영업시간&매일 10:00 ~ 22:00,02-6953-2629,www.instagram.com/cafe_amug,#카페 #감성카페 #로스팅전문 #분위기좋은,"메뉴 이름: 아메리카노 가격: 3,800&메뉴 이름: 카페라떼 가격: 4,300&메뉴 이름: 에이머그 초코 가격: 4,800&메뉴 이름: 딸기라떼 가격: 4,800&메뉴 이름: 로얄밀크티 가격: 4,800",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FEE17483AAA794C16A4F22EBFB2F05720,
9,강북구,657378473,릴렉스,4.3,18건,서울 강북구 삼양로181길 142,강북구 우이동,영업시간&매일 11:00 ~ 21:30,,www.instagram.com/cafe_relax._,#카페 #데이트코스 #루프탑있는 #분위기좋은,"메뉴 이름: 아메리카노(HOT) 가격: 4,100&메뉴 이름: 카페라떼(HOT) 가격: 4,700&메뉴 이름: 아인슈페너 가격: 6,000&메뉴 이름: 오곡라떼(HOT) 가격: 4,700&메뉴 이름: 수제 유자차(HOT) 가격: 5,800",,
10,강북구,198411926,수유리조트,3.4,24건,서울 강북구 노해로8가길 45,강북구 수유3동,"영업시간&월~금 07:00 ~ 24:00&토,일 08:00 ~ 24:00",02-990-9882,www.instagram.com/suyuresort_cafe,#카페 #감성카페 #로스팅전문 #분위기좋은 #카카오페이,"메뉴 이름: 아메리카노 가격: 4,000&메뉴 이름: 카페라떼 가격: 4,500&메뉴 이름: 아인슈페너 가격: 6,000&메뉴 이름: 크림모카 가격: 6,000&메뉴 이름: 바닐라빈라떼 가격: 5,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F18E69C9E812F4E78AB5181D90FE14CFA,
11,강북구,1412047425,카페시집,4.3,9건,서울 강북구 솔샘로 301 지하 1층,강북구 송천동,영업시간&화~일 10:00 ~ 22:00&휴무일&월요일,,www.instagram.com/cafesizip,#카페 #감성카페 #로스팅전문 #북카페 #분위기좋은 #핸드드립전문점 #제로페이,"메뉴 이름: 익선동 가격: 4,000&메뉴 이름: 가배 가격: 4,000&메뉴 이름: 비엔나 커피 가격: 5,500&메뉴 이름: 사이공 라떼 (iced) 가격: 5,500&메뉴 이름: 발로나 코코아 가격: 5,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FA4153625032042358C3AAEC6A9E15EBF,
12,강북구,1386475413,키쉬미뇽,2.4,11건,서울 강북구 도봉로10길 12,강북구 송중동,영업시간&매일 09:00 ~ 11:30,02-987-5553,,#카페 #디저트카페 #분위기좋은,"메뉴 이름: 스트로베리 가격: 3,900&메뉴 이름: 딸기네오 가격: 3,800&메뉴 이름: 마차잉글레즈 가격: 3,800&메뉴 이름: 얼그레이 가격: 3,800&메뉴 이름: 리틀포레스트 가격: 3,400",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F8CBCFF6E27F743F8BE123E0E3615B36A,
13,강북구,4331171,큐브이스케이프 수유점,4.5,12건,서울 강북구 도봉로87길 11 2층,강북구 수유3동,"영업시간&월~목 14:30 ~ 24:00&토,일 12:00 ~ 02:30&금 14:30 ~ 02:30",02-903-0706,suyu.cubeescape.co.kr,#테마카페 #데이트코스 #방탈출카페 #보드게임카페 #제로페이,메뉴 이름: 이용요금 가격: 변동가격&메뉴 이름: 할인이벤트 가격: 변동가격,,
14,강북구,27020659,스타벅스 강북구청사거리점,4.0,25건,서울 강북구 도봉로 365,강북구 수유3동,"영업시간&월~금 08:00 ~ 22:00&토,일 09:00 ~ 22:00",1522-3232,www.starbucks.co.kr,#커피전문점 #카카오페이,"메뉴 이름: 아이스 슈크림 라떼 가격: 6,100&메뉴 이름: 슈크림 라떼 가격: 6,100&메뉴 이름: 아이스 핑크 매그놀리아 레모네이드 가격: 6,100&메뉴 이름: 파인 코코 그린 요거트 블렌디드 가격: 6,500&메뉴 이름: 핑크 매그놀리아 레모네이드 가격: 6,100&메뉴 이름: 오늘의 커피 가격: 4,200&메뉴 이름: 카푸치노 가격: 5,000&메뉴 이름: 카페 라떼 가격: 5,000&메뉴 이름: 카페 모카 가격: 5,500&메뉴 이름: 카페 아메리카노 가격: 4,500&메뉴 이름: 카라멜 마키아또 가격: 5,900&메뉴 이름: 화이트 초콜릿 모카 가격: 5,900&메뉴 이름: 스타벅스 돌체 라떼 가격: 5,900&메뉴 이름: 자바 칩 프라푸치노 가격: 6,300&메뉴 이름: 망고 바나나 블렌디드 가격: 6,300&메뉴 이름: 아이스 자몽 허니 블랙 티 가격: 5,700&메뉴 이름: 자몽 허니 블랙 티 가격: 5,700&메뉴 이름: 콜드 브루 가격: 4,900&메뉴 이름: 디카페인 카페 아메리카노 가격: 4,800&메뉴 이름: 디카페인 카페 라떼 가격: 5,300&메뉴 이름: 제주 유기농 말차로 만든 라떼 가격: 6,100&메뉴 이름: 돌체 콜드 브루 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F8344A1533AE24D3E87143931EA81BFAE,
15,강북구,1356390089,번418,2.4,31건,서울 강북구 오패산로 414,강북구 번1동,영업시간&매일 11:00 ~ 23:00&휴무일&연중무휴,02-907-5757,,#디저트카페 #베이커리카페 #분위기좋은 #빈티지분위기,"메뉴 이름: 아메리카노 가격: 4,000&메뉴 이름: 카페라떼 가격: 4,800&메뉴 이름: 우유 가격: 2,500&메뉴 이름: 제이드 클라우드 가격: 5,000&메뉴 이름: 레몬 에이드 (ICE) 가격: 5,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F91858638A93C4BBF973FA18BBBA405CB,
16,강북구,1409685341,봄가을카페,3.8,16건,서울 강북구 삼양로 470-1 1층,강북구 수유2동,영업시간&화~일 09:30 ~ 21:00&휴무일&월요일,02-990-0411,www.instagram.com/s.amacaron,#디저트카페 #제로페이,"메뉴 이름: 마카롱 가격: 2,300&메뉴 이름: 다쿠아즈 가격: 3,000&메뉴 이름: 뉴욕쿠키 가격: 3,500&메뉴 이름: 바닐라 휘낭시에 가격: 2,300",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1877222689,
17,강북구,325005868,투썸플레이스 미아사거리역점,1.6,30건,서울 강북구 도봉로10길 6 1층,강북구 송중동,영업시간&매일 09:00 ~ 22:00,02-982-2500,www.twosome.co.kr,#커피전문점 #24시간카페 #카카오페이,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F48528C9B409141A0A85301C7B70192D6,
18,강북구,23885367,삼양여관,4.5,13건,"서울 강북구 덕릉로8길 6 1,2층",강북구 수유1동,"영업시간&월,화,수,금,토,일 12:00 ~ 21:00&휴무일&목요일",010-6750-1461,,#커피전문점 #레트로풍 #이색카페 #제로페이,"메뉴 이름: 아메리카노 가격: 3,500&메뉴 이름: 카페라떼 가격: 4,000&메뉴 이름: 브라우니 가격: 4,000",,
19,강북구,26572250,스타벅스 미아사거리역점,3.4,18건,서울 강북구 도봉로 32,강북구 송중동,"영업시간&월~금 07:00 ~ 21:00&토,일 08:00 ~ 21:00",1522-3232,www.starbucks.co.kr,#커피전문점 #카카오페이,"메뉴 이름: 아이스 슈크림 라떼 가격: 6,100&메뉴 이름: 슈크림 라떼 가격: 6,100&메뉴 이름: 아이스 핑크 매그놀리아 레모네이드 가격: 6,100&메뉴 이름: 파인 코코 그린 요거트 블렌디드 가격: 6,500&메뉴 이름: 핑크 매그놀리아 레모네이드 가격: 6,100&메뉴 이름: 오늘의 커피 가격: 4,200&메뉴 이름: 카푸치노 가격: 5,000&메뉴 이름: 카페 라떼 가격: 5,000&메뉴 이름: 카페 모카 가격: 5,500&메뉴 이름: 카페 아메리카노 가격: 4,500&메뉴 이름: 카라멜 마키아또 가격: 5,900&메뉴 이름: 화이트 초콜릿 모카 가격: 5,900&메뉴 이름: 스타벅스 돌체 라떼 가격: 5,900&메뉴 이름: 자바 칩 프라푸치노 가격: 6,300&메뉴 이름: 망고 바나나 블렌디드 가격: 6,300&메뉴 이름: 아이스 자몽 허니 블랙 티 가격: 5,700&메뉴 이름: 자몽 허니 블랙 티 가격: 5,700&메뉴 이름: 콜드 브루 가격: 4,900&메뉴 이름: 디카페인 카페 아메리카노 가격: 4,800&메뉴 이름: 디카페인 카페 라떼 가격: 5,300&메뉴 이름: 제주 유기농 말차로 만든 라떼 가격: 6,100&메뉴 이름: 돌체 콜드 브루 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F3F9D368063AC460798243CEEEED0D27A,
20,강북구,26235216,와겐커피,2.3,16건,서울 강북구 솔매로 131,강북구 미아동,영업시간&매일 09:00 ~ 01:00,02-945-3001,,#커피전문점 #루프탑있는 #빈티지분위기 #제로페이,"메뉴 이름: 브런치 set1 가격: 11,800&메뉴 이름: 브런치 set2 가격: 10,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE8D47856A9CC490780657F0CE13AA25C,
21,강북구,1307504751,커피타는고양이,2.1,21건,서울 강북구 도봉로 34-8 10층,강북구 송중동,영업시간&매일 12:00 ~ 20:00&휴무일&연중무휴,02-980-9080,www.instagram.com/coffeenyang0727,#고양이카페 #고양이카페,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6DA8FC1D902D45749300E6608CA49C9D,
22,강북구,10534106,스타벅스 수유역점,3.4,21건,서울 강북구 도봉로 342,강북구 번1동,"영업시간&월~금 07:00 ~ 22:00&토,일 08:00 ~ 22:00",1522-3232,www.starbucks.co.kr,#커피전문점 #카카오페이,"메뉴 이름: 아이스 슈크림 라떼 가격: 6,100&메뉴 이름: 슈크림 라떼 가격: 6,100&메뉴 이름: 아이스 핑크 매그놀리아 레모네이드 가격: 6,100&메뉴 이름: 파인 코코 그린 요거트 블렌디드 가격: 6,500&메뉴 이름: 핑크 매그놀리아 레모네이드 가격: 6,100&메뉴 이름: 오늘의 커피 가격: 4,200&메뉴 이름: 카푸치노 가격: 5,000&메뉴 이름: 카페 라떼 가격: 5,000&메뉴 이름: 카페 모카 가격: 5,500&메뉴 이름: 카페 아메리카노 가격: 4,500&메뉴 이름: 카라멜 마키아또 가격: 5,900&메뉴 이름: 화이트 초콜릿 모카 가격: 5,900&메뉴 이름: 스타벅스 돌체 라떼 가격: 5,900&메뉴 이름: 자바 칩 프라푸치노 가격: 6,300&메뉴 이름: 망고 바나나 블렌디드 가격: 6,300&메뉴 이름: 아이스 자몽 허니 블랙 티 가격: 5,700&메뉴 이름: 자몽 허니 블랙 티 가격: 5,700&메뉴 이름: 콜드 브루 가격: 4,900&메뉴 이름: 디카페인 카페 아메리카노 가격: 4,800&메뉴 이름: 디카페인 카페 라떼 가격: 5,300&메뉴 이름: 제주 유기농 말차로 만든 라떼 가격: 6,100&메뉴 이름: 돌체 콜드 브루 가격: 6,000",,
23,강북구,1583585647,스타벅스 미아뉴타운점,4.0,13건,서울 강북구 삼양로 161 행전빌딩,강북구 삼각산동,"영업시간&월~금 07:00 ~ 22:00&토,일 08:00 ~ 22:00",1522-3232,www.starbucks.co.kr,#커피전문점 #카카오페이,"메뉴 이름: 아이스 슈크림 라떼 가격: 6,100&메뉴 이름: 슈크림 라떼 가격: 6,100&메뉴 이름: 아이스 핑크 매그놀리아 레모네이드 가격: 6,100&메뉴 이름: 파인 코코 그린 요거트 블렌디드 가격: 6,500&메뉴 이름: 핑크 매그놀리아 레모네이드 가격: 6,100&메뉴 이름: 오늘의 커피 가격: 4,200&메뉴 이름: 카푸치노 가격: 5,000&메뉴 이름: 카페 라떼 가격: 5,000&메뉴 이름: 카페 모카 가격: 5,500&메뉴 이름: 카페 아메리카노 가격: 4,500&메뉴 이름: 카라멜 마키아또 가격: 5,900&메뉴 이름: 화이트 초콜릿 모카 가격: 5,900&메뉴 이름: 스타벅스 돌체 라떼 가격: 5,900&메뉴 이름: 자바 칩 프라푸치노 가격: 6,300&메뉴 이름: 망고 바나나 블렌디드 가격: 6,300&메뉴 이름: 아이스 자몽 허니 블랙 티 가격: 5,700&메뉴 이름: 자몽 허니 블랙 티 가격: 5,700&메뉴 이름: 콜드 브루 가격: 4,900&메뉴 이름: 디카페인 카페 아메리카노 가격: 4,800&메뉴 이름: 디카페인 카페 라떼 가격: 5,300&메뉴 이름: 제주 유기농 말차로 만든 라떼 가격: 6,100&메뉴 이름: 돌체 콜드 브루 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC4076F8D60AC4443B30406D40DDDCFED,
24,강북구,714285841,투썸플레이스 수유사거리점,3.8,9건,"서울 강북구 도봉로 295 스타타워 1,2층",강북구 인수동,"영업시간&월~금 07:00 ~ 23:00&토,일 08:00 ~ 23:00",02-900-2388,www.twosome.co.kr,#커피전문점 #카카오페이,,,
25,강북구,1447421184,키치,4.7,19건,서울 강북구 도봉로 387,강북구 수유3동,영업시간&매일 11:00 ~ 22:00&이용시 주의 사항&별도공지,070-8244-0030,,#카페 #감성카페 #드로잉카페 #보드게임카페 #빈티지분위기 #애견동반카페 #제로페이,"메뉴 이름: 아메리카노 가격: 4,000&메뉴 이름: 카페모카 가격: 5,000&메뉴 이름: 더치라떼 가격: 5,500&메뉴 이름: 얼그레이 가격: 4,000&메뉴 이름: 체리콕 가격: 4,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB91CE0E807A749038C027DA3031FF153,
26,강북구,1044086314,백란,3.4,5건,서울 강북구 삼양로181길 201-20,강북구 우이동,영업시간&매일 11:00 ~ 22:00,02-993-7745,www.baekran.com,#카페 #디저트카페 #제로페이,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FC607C8B6644D49138006BC000B7D3735,
27,강북구,856213664,다정도병인양,3.9,18건,서울 강북구 4.19로 41-1 2층,강북구 우이동,영업시간&화~일 12:00 ~ 22:30&휴무일&월요일,02-990-4190,blog.naver.com/dajung4190,#전통찻집 #노키즈존 #데이트코스 #한식디저트카페 #한옥스타일 #제로페이,"메뉴 이름: 수정과 가격: 7,000&메뉴 이름: 대추차 가격: 8,000&메뉴 이름: 호박식혜 가격: 7,500&메뉴 이름: 뽕잎차 가격: 7,500&메뉴 이름: 홍삼귤피차 가격: 8,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F986C15E244BB4811979C97829E16BA58,
