,구,URL_ID,카페명,평점,리뷰개수,주소,행정동,영업시간,전화번호,홈페이지주소,태그,메뉴,대표사진주소,경도,위도
0,관악구,1099251112,디자이너리카페,3.9,43건,서울 관악구 관천로 71-1 4층,관악구 신사동,영업시간&월~금 09:30 ~ 23:00&토 10:30 ~ 23:00&일 10:30 ~ 22:30,02-868-7112,designery.co.kr,#카페 #루프탑있는 #제로페이,"메뉴 이름: 에스프레소(HOT) 가격: 4,300&메뉴 이름: 아메리카노 가격: 4,300&메뉴 이름: 카페라떼 가격: 4,300&메뉴 이름: 초코라떼 가격: 4,800&메뉴 이름: 그린티 프라푸치노 가격: 5,800&메뉴 이름: 자몽에이드 가격: 5,800",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F821F547BE7354374AC34260FBC920882,126.9241137,37.48506061
1,관악구,1248045116,오목눈이,3.9,76건,서울 관악구 장군봉1길 32 2층,관악구 청룡동,영업시간&화~일 12:00 ~ 21:00&휴무일&월요일,02-876-1245,www.instagram.com/omoknooni,#디저트카페 #제로페이,"메뉴 이름: 아메리카노 가격: 4,000&메뉴 이름: 카페라떼 가격: 4,500&메뉴 이름: 콜드브루 가격: 4,500&메뉴 이름: 솔티카라멜 가격: 5,500&메뉴 이름: 베리라떼 가격: 5,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F14BD67E8089742D3B68DD199B7157C54,126.9417786,37.48166056
2,관악구,1168065433,폼앤노말,4.3,37건,서울 관악구 신림로67길 25 1층,관악구 신림동,"영업시간&월,수,목,금,토,일 11:00 ~ 22:00&휴무일&화요일",010-4053-1124,,#카페 #감성카페 #데이트코스 #빈티지분위기,"메뉴 이름: 에스프레소 가격: 4,000&메뉴 이름: 아메리카노 가격: 4,500&메뉴 이름: 카페라떼 가격: 5,000&메뉴 이름: blcnding 가격: 5,000&메뉴 이름: 초코라떼 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5C8D001C15634B99A39D9335E81CD99B,126.9278613,37.48578422
3,관악구,297508565,사생활,3.9,37건,서울 관악구 신사로14길 19 지하1층,관악구 신사동,영업시간&매일 11:00 ~ 02:00,070-5033-7759,www.instagram.com/theprivatelife_official,#카페 #감성카페 #분위기좋은 #브런치카페 #혼술 #제로페이,"메뉴 이름: 조화로운생활티 가격: 5,000&메뉴 이름: 사생활라테 가격: 5,800&메뉴 이름: 아메리카노 가격: 4,200&메뉴 이름: 카페라테 가격: 4,600&메뉴 이름: 말차라테 가격: 5,500&메뉴 이름: 말차프라푸치노 가격: 6,200",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F80D6B50458C440EA9C28A1511772B877,126.9165182,37.48779051
4,관악구,1256440499,발루토,3.4,58건,서울 관악구 신림로23길 28 1층,관악구 대학동,영업시간&매일 09:00 ~ 23:00,02-875-1155,valuto.co.kr,#카페 #로스팅전문 #카카오페이 #제로페이,"메뉴 이름: 아메리카노 (블렌딩) 가격: 3,500&메뉴 이름: 카페라떼 (블랜딩) 가격: 4,000&메뉴 이름: 카카오초콜릿라떼 가격: 4,800&메뉴 이름: 바나나의속사정 가격: 4,800&메뉴 이름: 몽크블랜드 가격: 5,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F2D661236724E4A7D91CD4ED6302552FB,126.934689,37.46974803
5,관악구,960623897,황홀경,3.4,65건,서울 관악구 관악로14길 37 지하1층,관악구 낙성대동,영업시간&매일 12:00 ~ 22:30,02-6449-7362,www.instagram.com/hwang_hol_kyung,#디저트카페 #감성카페 #데이트코스 #빈티지분위기 #제로페이,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F214DC045DE4244C99397FFFEC36E3D25,126.9546012,37.47894201
6,관악구,270395659,카페미엘,2.6,48건,서울 관악구 관악로16길 38 2층,관악구 낙성대동,"영업시간&월~금 13:00 ~ 22:00&토,일 12:00 ~ 22:00",010-4426-3785,www.instagram.com/cafemiel_official,#디저트카페 ,"메뉴 이름: 아메리카노 가격: 4,500&메뉴 이름: 플랫 화이트 가격: 5,000&메뉴 이름: 카페라떼 가격: 5,000&메뉴 이름: 딸기크림라떼 가격: 6,500&메뉴 이름: 딸기소다 가격: 7,000",,126.9547356,37.4797178
7,관악구,71268832,온고지신,3.5,50건,서울 관악구 관악로14길 101,관악구 낙성대동,영업시간&매일 12:00 ~ 22:00,,instagram.com/ongozisin,#카페 #혼밥 #제로페이,"메뉴 이름: 온고블렌다드 no.1 가격: 5,000&메뉴 이름: 지신블렌디드 no.1 가격: 5,000&메뉴 이름: 잉글리쉬 브랙퍼스트 가격: 5,000&메뉴 이름: 커피 가격: 4,500&메뉴 이름: 쟈스민 가격: 5,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FFF717E42C93C47F79DD81CB735BE30B4,126.9579572,37.47790854
8,관악구,47918669,데일리오아시스 샤로수길점,0,0건,서울 관악구 관악로14길 74-3 1층,관악구 낙성대동,영업시간&매일 12:00 ~ 23:00,070-7739-8282,www.instagram.com/dailyoasis.sharosugil,#카페 #카카오페이 #제로페이,"메뉴 이름: 아메리카노 가격: 4,000&메뉴 이름: 카페라떼 가격: 4,500&메뉴 이름: 말차프레소 가격: 6,500&메뉴 이름: 데일리오아시스 가격: 7,000&메뉴 이름: 말차우유 가격: 7,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FB0C4830D173D41DAA7B3970252B6E105,126.9565905,37.47814563
9,관악구,27279304,아모르미오,3.6,41건,서울 관악구 행운2길 20 1층,관악구 행운동,"영업시간&월~금 08:00 ~ 21:00&토,일 10:00 ~ 21:00&공휴일&10:00 ~ 21:00",070-4306-5006,www.facebook.com/AmorMioKorea,#카페 #로스팅전문 #빈티지분위기 #제로페이,"메뉴 이름: 에스프레소 가격: 4,600&메뉴 이름: 브루잉 커피 가격: 5,600&메뉴 이름: 디카페인 커피 가격: 6,600&메뉴 이름: 쥬시 (새콤) 롱블랙 가격: 4,600&메뉴 이름: 다크 롱블랙 가격: 4,600&메뉴 이름: 아인슈페너 가격: 6,600&메뉴 이름: 스탠다드 라떼 가격: 4,900",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FE6DE87BA08D04EB49D19AF07FEC9BAF7,126.9600368,37.479092
10,관악구,22000100,티라노커피,4.5,63건,서울 관악구 남부순환로230길 39,관악구 낙성대동,영업시간&매일 11:00 ~ 23:00,,www.instagram.com/tiranocoffee,#커피전문점 #데이트코스 #디저트카페 #로스팅전문 #핸드드립전문점 #제로페이,"메뉴 이름: 너트 티라노 블렌딩 가격: 6,000&메뉴 이름: 아메리카노 가격: 4,000&메뉴 이름: 카페라뗴 가격: 4,500&메뉴 이름: 더치커피 가격: 6,000&",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC06B8DB37F48434DB5B9F602906DF0BF,126.9555925,37.47832915
