,구,URL_ID,카페명,평점,리뷰개수,주소,행정동,영업시간,전화번호,홈페이지주소,태그,메뉴,대표사진주소,Unnamed: 12
0,광진구,1926044933,도우터,4.2,35건,서울 광진구 아차산로31길 40,광진구 화양동,영업시간&월~금 12:00 ~ 23:30&토 11:00 ~ 23:30&일 11:00 ~ 23:00&월~토 라스트오더 ~ 22:30&일 라스트오더 ~ 22:00,02-464-0559,instagram.com/daughter_cafe.bar,#카페 #데이트코스 #디저트카페 #분위기좋은 #브런치카페 #소개팅 #와인한잔하기좋은 #제로페이,,,
1,광진구,519082124,뚝방길홍차가게,4.4,58건,서울 광진구 자양강변길 277 1층,광진구 자양3동,"영업시간&월,목,금,토,일 12:00 ~ 18:00&휴무일&화,수요일",02-512-0189,www.instagram.com/ttukbang,#카페 #데이트코스 #빈티지분위기 #앤틱한 #제로페이,"메뉴 이름: 다즐링 SFTGFOPI 가격: 7,500&메뉴 이름: Assam FTGFOPI 가격: 7,000&메뉴 이름: Americano 가격: 5,500&메뉴 이름: Cafe latte 가격: 6,000&메뉴 이름: 딸기바닐라다쿠아즈 가격: 1,900&메뉴 이름: 말차카라멜다쿠아즈 가격: 1,900",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F8E9CACFD5F5B432EBE496472284332AF,
2,광진구,61909173,아르무아,3.8,52건,서울 광진구 동일로22길 117-27 1~2층,광진구 화양동,영업시간&매일 11:00 ~ 23:00,02-463-9981,www.instagram.com/cafe_armoire,#카페 #감성카페 #데이트코스 #루프탑있는 #분위기좋은 #빈티지분위기 #제로페이,"메뉴 이름: 아메리카노 가격: 4,500&메뉴 이름: 카페라떼 가격: 5,000&메뉴 이름: 비엔나라떼 가격: 6,000&메뉴 이름: 미숫가루 가격: 5,500&메뉴 이름: 초코라떼 가격: 5,500&메뉴 이름: 수박에이드 가격: 6,000&메뉴 이름: 허니자몽티 가격: 6,000",,
3,광진구,1755713937,체리커피,3.0,46건,서울 광진구 능동로 284,광진구 능동,영업시간&매일 09:00 ~ 23:00,02-444-7222,cherrycoffee.co.kr,#커피전문점 #데이트코스 #로스팅전문 #베이커리카페 #야외정원 #카카오페이 #제로페이,"메뉴 이름: 아메리카노(HOT) 가격: 4,500&메뉴 이름: 카페라떼(HOT) 가격: 5,000&메뉴 이름: 청포도에이드 가격: 5,500&메뉴 이름: 유기농말차라떼(HOT) 가격: 5,000&메뉴 이름: 리얼쇼콜라떼(HOT) 가격: 6,000",,
4,광진구,1096654389,안다즈커피,3.5,36건,서울 광진구 천호대로132길 10 1층,광진구 구의2동,영업시간&매일 10:00 ~ 22:00&휴무일&마지막 월요일,0507-1324-4277,,#커피전문점 #데이트코스 #분위기좋은 #테라스가있는 #제로페이,"메뉴 이름: 아메리카노 가격: 4,500&메뉴 이름: 카페라떼 가격: 5,500&메뉴 이름: 카푸치노 가격: 5,500&메뉴 이름: 생자몽소다 가격: 5,500&메뉴 이름: 카라멜큐브라떼 가격: 6,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_772085339,
5,광진구,11377577,최가커피,4.3,71건,서울 광진구 능동로13길 23,광진구 화양동,영업시간&월~토 10:30 ~ 23:30&일 12:00 ~ 23:00,02-465-7998,blog.naver.com/choibeans,#커피전문점 #로스팅전문 #핸드드립전문점 #제로페이,"메뉴 이름: 최가와플 (S) 가격: 7,500&메뉴 이름: 아메리카노 가격: 4,500&메뉴 이름: 라떼 가격: 5,000&메뉴 이름: 플레인그릭요거트쉐이크 가격: 6,000&메뉴 이름: 에티오피아 예가체프 아리차 가격: 7,500",,
6,광진구,501741750,인덱스숍,4.5,42건,서울 광진구 아차산로 200 커먼그라운드 3층,광진구 자양4동,영업시간&매일 11:00 ~ 22:00,02-2122-1259,indexshop.kr,#북카페 #독립서점 #북카페 #핸드드립전문점,"메뉴 이름: 인덱스 블렌드 가격: 5,000&메뉴 이름: 아인슈페너 가격: 6,000&메뉴 이름: 인덱스 싱글오리진 가격: 5,500&메뉴 이름: 얼그레이 위드 크림 가격: 6,000&메뉴 이름: 페퍼민트 레몬 라임에이드 가격: 5,500&메뉴 이름: 히비스커스 체리에이드 가격: 5,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1943123068,
7,광진구,1159203702,비에이치테이블,4.7,27건,서울 광진구 아차산로45길 16 1층,광진구 자양1동,"영업시간&수~금 10:00 ~ 19:00&토,일 09:30 ~ 19:00&휴무일&월,화요일",,www.instagram.com/bhtable,#카페 #브런치카페 #제로페이,"메뉴 이름: 프렌치 토스트+아이스크림 가격: 13,000&메뉴 이름: 칠리치킨 아보카도 파니니 가격: 11,000&메뉴 이름: 아보카도 치킨 샐러드 가격: 11,000&메뉴 이름: 에그베이컨치즈파니니 가격: 11,500&메뉴 이름: 감바스바게트파니니 가격: 12,500&메뉴 이름: 제철과일과수제요거트 가격: 7,500&메뉴 이름: 비에이치플레이트 가격: 14,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FC592DC67BAF4403A941DDF95586EE125,
8,광진구,420350631,더이퀼리브리엄커피,4.6,25건,서울 광진구 아차산로30길 7 3층,광진구 자양4동,"영업시간&매일 10:00 ~ 22:00&이용시 주의 사항&설날당일, 추석당일 휴무",070-7537-3744,instagram.com/theequilibriumcoffee,#커피전문점 #건대입구역 #건대입구카페 #건대카페 #건대커피 #성수카페 #카카오페이 #제로페이,"메뉴 이름: 아메리카노 가격: 4,500&메뉴 이름: 플랫화이트 가격: 5,000&메뉴 이름: 딥바닐라 가격: 5,500&메뉴 이름: 웨딩임페리얼 밀크티 가격: 7,000&메뉴 이름: 카페라떼 가격: 5,000&메뉴 이름: 아인슈페너 가격: 6,000&메뉴 이름: 마카롱 가격: 3,000&메뉴 이름: 피낭시에 가격: 3,500&메뉴 이름: 말차파운드케이크 가격: 4,000&메뉴 이름: 당근케이크 가격: 7,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F9D2DA00C7F4D46A395E3C35FE6DEBCAA,
9,광진구,18263855,마우스레빗,3.8,35건,서울 광진구 능동로11길 10,광진구 화양동,"영업시간&월~금 10:00 ~ 24:00&토,일 10:00 ~ 23:00",02-462-4015,www.facebook.com/MouseRabbit8487,#카페 #감성카페 #데이트코스 #제로페이,"메뉴 이름: 아메리카노 가격: 3,800&메뉴 이름: 카페라떼 가격: 4,300&메뉴 이름: 페퍼민트&레몬 가격: 4,300&메뉴 이름: 녹차 가격: 3,800&메뉴 이름: 오렌지에이드 가격: 5,300",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F2C91AB1881E14A709ED1AE0FB8CF070A,
