,구,URL_ID,카페명,평점,리뷰개수,주소,행정동,영업시간,전화번호,홈페이지주소,태그,메뉴,대표사진주소,Unnamed: 12
0,구로구,14984169,메이비,3.1,73건,서울 구로구 디지털로32나길 51,구로구 구로3동,영업시간&매일 09:00 ~ 23:30,02-859-3073,,#카페 #로스팅전문 #브런치카페 #점심식사 #제로페이,"메뉴 이름: 아메리카노 (메이비 블랜딩) 가격: 5,000&메뉴 이름: 카페라떼 (메이비 블랜딩) 가격: 5,300&메뉴 이름: 아이스티 가격: 5,500&메뉴 이름: 스팀밀크 (HOT) 가격: 4,000&메뉴 이름: 그린티메이치노 (ICE) 가격: 6,000",,
1,구로구,1342180005,에버애프터,4.2,17건,서울 구로구 새말로18길 36-10,구로구 구로5동,영업시간&월~금 13:00 ~ 22:00&토 13:00 ~ 21:00&휴무일&일요일,070-7543-1098,instagram.com/cafe_everafter,#카페 #감성카페,"메뉴 이름: 아메리카노 가격: 4,500&메뉴 이름: 카페라떼 가격: 5,000&메뉴 이름: 바닐라라떼 가격: 6,000&메뉴 이름: 아인슈페너 가격: 6,500&메뉴 이름: 크로플 가격: 7,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F4EC03546494A4AEF8D1D4E99BBBBDDCA,
2,구로구,924229434,밀리,4,24건,서울 구로구 새말로 62 1층,구로구 구로5동,영업시간&월~금 10:30 ~ 23:00&토 11:00 ~ 23:00&일 11:00 ~ 22:00,02-856-3121,www.instagram.com/cafe_milli,#카페 #제로페이,"메뉴 이름: 아메리카노 가격: 4,000&메뉴 이름: 카페 라떼 가격: 5,000&메뉴 이름: 발로나 코코아 가격: 5,500&메뉴 이름: 밀크티 가격: 5,500&메뉴 이름: 바닐라 쉐이크 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FF3966400A2CC4010AB7461C7EB05E91A,
3,구로구,1820106061,데일리스위츠,2.7,22건,서울 구로구 중앙로 9 1층,구로구 고척1동,"영업시간&목~일 11:00 ~ 21:00&휴무일&월,화,수요일",02-877-6126,www.instagram.com/daily__sweets_,#디저트카페 #디저트카페 #레터링케이크 #수제케이크 #케이크주문제작 #제로페이,"메뉴 이름: 에스프레소 (HOT) 가격: 3,000&메뉴 이름: 아메리카노 (HOT) 가격: 3,000&메뉴 이름: 아메리카노 (ICE) 가격: 3,500&메뉴 이름: 카페라떼 (HOT) 가격: 4,000&메뉴 이름: 카페라떼 (ICE) 가격: 4,500&메뉴 이름: 카푸치노 (HOT) 가격: 4,000&메뉴 이름: 카푸치노 (ICE) 가격: 4,500&메뉴 이름: 바닐라라떼 (HOT) 가격: 5,000&메뉴 이름: 바닐라라떼 (ICE) 가격: 5,500&메뉴 이름: 크림아메리카노 (ICE) 가격: 5,000&메뉴 이름: 숲속라떼 (ICE) 가격: 6,000&메뉴 이름: 오렌지블랑 (ICE) 가격: 6,000&메뉴 이름: 플랫 아포가토 (ICE) 가격: 4,500&메뉴 이름: 초코라떼 (HOT) 가격: 5,000&메뉴 이름: 초코라떼 (ICE) 가격: 5,500&메뉴 이름: 말차라떼 (HOT) 가격: 5,000&메뉴 이름: 딸기우유 (ICE) 가격: 6,000&메뉴 이름: 마리아쥬프레르 (HOT) 가격: 6,000&메뉴 이름: 자몽에이드 (ICE) 가격: 5,500&메뉴 이름: 레몬에이드 (ICE) 가격: 5,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6F1BD61B432D4BDB97F11F78332A9DE0,
4,구로구,25489976,브라운핸즈 구로점,3,20건,서울 구로구 디지털로32다길 52 1층,구로구 구로3동,영업시간&매일 11:00 ~ 22:00,070-4154-0604,www.brownhands.co.kr,#카페 #감성카페 #빈티지분위기,"메뉴 이름: 아메리카노(HOT) 가격: 4,800&메뉴 이름: 카페라떼(HOT) 가격: 5,300&메뉴 이름: 카모마일 레몬티(HOT) 가격: 5,500&메뉴 이름: 아몬드 크림 라떼(HOT) 가격: 6,000&메뉴 이름: 자몽에이드 가격: 6,900",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FCDC44D16D9C5445F919AB2BBBC0CEEDA,
5,구로구,1536002539,이미커피로스터스,3.9,14건,서울 구로구 디지털로27길 116 1층 101호,구로구 구로3동,영업시간&기타 (사회적 거리두기로 당분간 매장영업 휴무),070-4240-5228,instagram.com/imi.coffee,#커피전문점 #로스팅전문 #핸드드립전문점,"메뉴 이름: 비스포크 커피 가격: 7,000&메뉴 이름: 패어링 디저트 set 가격: 18,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_149098216,
6,구로구,649227503,히어로스터 신도림점,3.7,10건,서울 구로구 경인로63길 21-8 1층,구로구 신도림동,"영업시간&월~금 09:00 ~ 22:00&토,일 11:00 ~ 22:00",,www.instagram.com/_heroaster_,#카페 #감성카페 #로스팅전문 #빈티지분위기 #제로페이,"메뉴 이름: 아메리카노 가격: 3,500&메뉴 이름: 카페 라떼 가격: 4,000&메뉴 이름: 카페 모카 가격: 5,000&메뉴 이름: 쑥 라떼 가격: 5,000&메뉴 이름: 녹차 라떼 가격: 5,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F0BDDA44C939949848C7431875CDED321,
7,구로구,61473709,하이드아웃,4.2,11건,서울 구로구 개봉로20길 30 2층,구로구 개봉2동,영업시간&매일 10:00 ~ 23:00,010-7135-5970,,#커피전문점 #스터디카페 #제로페이,"메뉴 이름: 아메리카노 가격: 3,800&메뉴 이름: 카페라떼 가격: 4,300&메뉴 이름: 녹차라떼 가격: 4,300&메뉴 이름: 자몽에이드 가격: 4,800&메뉴 이름: 다즐링 가격: 3,800&메뉴 이름: 아포가토 가격: 5,300&메뉴 이름: 에스프레소 가격: 3,300&메뉴 이름: 아메리카노 가격: 3,300&메뉴 이름: 카페라떼 가격: 3,800&메뉴 이름: 카푸치노 가격: 3,800&메뉴 이름: 더치커피 가격: 3,800&메뉴 이름: 더치라떼 가격: 4,300&메뉴 이름: 카페모카 가격: 4,300&메뉴 이름: 카라멜 마끼아또 가격: 4,300&메뉴 이름: 바닐라라떼 가격: 4,300&메뉴 이름: 녹차라떼 가격: 3,800&메뉴 이름: 초콜릿 가격: 3,800&메뉴 이름: 복숭아아이스티 가격: 3,800&메뉴 이름: 레몬아이스티 가격: 3,800&메뉴 이름: 파르페 가격: 8,000&메뉴 이름: 팥빙수 가격: 9,000&메뉴 이름: 과일빙수 가격: 10,000&메뉴 이름: 허니볼 가격: 5,300&메뉴 이름: 레몬 홈메이드 가격: 4,300&메뉴 이름: 유자 가격: 3,800",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F903EAE0BACB9481B80DD8E8FBB0C448E,
8,구로구,18691090,스타벅스 구로호텔점,3.3,15건,서울 구로구 디지털로32길 72 구로호텔 1층,구로구 구로3동,"영업시간&월~금 07:00 ~ 21:00&토,일 08:00 ~ 21:00",1522-3232,www.starbucks.co.kr,#커피전문점 #카카오페이,"메뉴 이름: 파인 코코 그린 요거트 블렌디드 가격: 6,500&메뉴 이름: 오늘의 커피 가격: 4,200&메뉴 이름: 카푸치노 가격: 5,000&메뉴 이름: 카페 라떼 가격: 5,000&메뉴 이름: 카페 모카 가격: 5,500&메뉴 이름: 카페 아메리카노 가격: 4,500&메뉴 이름: 카라멜 마키아또 가격: 5,900&메뉴 이름: 화이트 초콜릿 모카 가격: 5,900&메뉴 이름: 스타벅스 돌체 라떼 가격: 5,900&메뉴 이름: 자바 칩 프라푸치노 가격: 6,300&메뉴 이름: 망고 바나나 블렌디드 가격: 6,300&메뉴 이름: 아이스 자몽 허니 블랙 티 가격: 5,700&메뉴 이름: 자몽 허니 블랙 티 가격: 5,700&메뉴 이름: 콜드 브루 가격: 4,900&메뉴 이름: 디카페인 카페 아메리카노 가격: 4,800&메뉴 이름: 디카페인 카페 라떼 가격: 5,300&메뉴 이름: 제주 유기농 말차로 만든 라떼 가격: 6,100&메뉴 이름: 돌체 콜드 브루 가격: 6,000",,
9,구로구,4357040,스타벅스 신도림점,3.4,17건,서울 구로구 경인로 610,구로구 신도림동,"영업시간&월~금 07:30 ~ 21:00&토,일 08:00 ~ 21:00",1522-3232,www.starbucks.co.kr,#커피전문점 #카카오페이,"메뉴 이름: 파인 코코 그린 요거트 블렌디드 가격: 6,500&메뉴 이름: 오늘의 커피 가격: 4,200&메뉴 이름: 카푸치노 가격: 5,000&메뉴 이름: 카페 라떼 가격: 5,000&메뉴 이름: 카페 모카 가격: 5,500&메뉴 이름: 카페 아메리카노 가격: 4,500&메뉴 이름: 카라멜 마키아또 가격: 5,900&메뉴 이름: 화이트 초콜릿 모카 가격: 5,900&메뉴 이름: 스타벅스 돌체 라떼 가격: 5,900&메뉴 이름: 자바 칩 프라푸치노 가격: 6,300&메뉴 이름: 망고 바나나 블렌디드 가격: 6,300&메뉴 이름: 아이스 자몽 허니 블랙 티 가격: 5,700&메뉴 이름: 자몽 허니 블랙 티 가격: 5,700&메뉴 이름: 콜드 브루 가격: 4,900&메뉴 이름: 디카페인 카페 아메리카노 가격: 4,800&메뉴 이름: 디카페인 카페 라떼 가격: 5,300&메뉴 이름: 제주 유기농 말차로 만든 라떼 가격: 6,100&메뉴 이름: 돌체 콜드 브루 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4EB188F681274E9D8BAE2B42D1640693,
10,구로구,26395497,빈브라더스 현대백화점디큐브시티점,3.6,23건,서울 구로구 경인로 662 별관 3층,구로구 신도림동,영업시간&매일 11:00 ~ 22:00,02-2210-9351,www.beanbrothers.co.kr,#커피전문점 #핸드드립전문점,"메뉴 이름: 아메리카노 가격: 5,000&메뉴 이름: 라떼 가격: 5,500&메뉴 이름: 라떼 카라멜 가격: 6,000&메뉴 이름: 콜드브루 블랙 가격: 5,500&메뉴 이름: 홍차 머스캣 가격: 6,000",,
11,구로구,1979449725,투썸플레이스 구로디지털역깔깔거리점,2.1,28건,서울 구로구 디지털로32길 97-39 2층,구로구 구로3동,"영업시간&월,화,수,목,일 08:00 ~ 01:00&금,토 08:00 ~ 02:00",02-855-7791,www.twosome.co.kr:7009,#커피전문점 #분위기좋은 #스터디카페 #친목모임 #회식장소 #카카오페이,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F968F3FFD4D654CE59DB3D6EEFD96907E,
12,구로구,195076260,카페노아,3.6,5건,서울 구로구 서해안로30길 12 2층,구로구 오류2동,영업시간&매일 12:00 ~ 22:00,02-2060-0369,www.instagram.com/cafe_noah87,#카페 #제로페이,"메뉴 이름: 아메리카노 가격: 3,800&메뉴 이름: 카페 라떼 가격: 4,200&메뉴 이름: 카푸치노 가격: 4,200&메뉴 이름: 카페 모카 가격: 4,500&메뉴 이름: 바닐라 라떼 가격: 4,500&메뉴 이름: 헤어즐넛 라떼 가격: 4,500&메뉴 이름: 카라멜 마끼아또 가격: 4,500&메뉴 이름: 돌체라떼 가격: 4,500&메뉴 이름: 아이스티 가격: 3,500&메뉴 이름: 초콜릿 가격: 4,200&메뉴 이름: 자바칩 프라페 가격: 4,500&메뉴 이름: 쿠키 앤 크림 프라페 가격: 4,500&메뉴 이름: 민트초코칩 프라페 가격: 4,500&메뉴 이름: 미숫가루 가격: 4,500&메뉴 이름: 블루베리쥬스 가격: 5,200&메뉴 이름: 망고쥬스 가격: 5,200&메뉴 이름: 레몬에이드 가격: 4,800&메뉴 이름: 유자에이드 가격: 4,800&메뉴 이름: 자몽에이드 가격: 4,800&메뉴 이름: 차이티 라떼 가격: 4,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F273CC949584FA1C718,
13,구로구,299076887,카페몽글,4.8,21건,서울 구로구 공원로6나길 29-17 1층,구로구 구로5동,"영업시간&월~금 11:30 ~ 22:00&토,일 09:00 ~ 22:00",02-854-4620,www.instagram.com/cafe_monggle,#카페 #카카오페이 #제로페이,"메뉴 이름: 아메리카노 가격: 3,000&메뉴 이름: 햄에그토스트 가격: 4,500&메뉴 이름: 카야버터토스트 가격: 4,000&메뉴 이름: 블루베리크림치즈토스트 가격: 4,000&메뉴 이름: 크림치즈스콘 가격: 2,600",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F091F5D481C974DC889B2E017DFF78C11,
14,구로구,364882455,적소,4.7,10건,서울 구로구 개봉로16가길 10-28 1층,구로구 개봉2동,"영업시간&월,수,목,금 08:00 ~ 19:00&(디저트소진 시 조기마감)&토,일 11:00 ~ 20:00&(디저트소진 시 조기마감)&휴무일&화요일",02-2612-0701,www.instagram.com/_right.place,#디저트카페 #단체석 #디저트카페 #분위기좋은 #수제디저트 #아담한 #제로페이,"메뉴 이름: 아메리카노 가격: 3,400&메뉴 이름: 카페라떼 가격: 3,900&메뉴 이름: 바닐라빈라떼 가격: 4,400&메뉴 이름: 진한초코라떼 가격: 5,000&메뉴 이름: 청귤차 가격: 4,800&메뉴 이름: 아메리카노 가격: 3,400&메뉴 이름: 바닐라빈라떼 가격: 4,400&메뉴 이름: 진한초코쿠키 가격: 1,500&메뉴 이름: 쑥인절미갸또 가격: 5,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FFB1837827E414ACD8B52EC04790EA073,
