,구,URL_ID,카페명,평점,리뷰개수,주소,행정동,영업시간,전화번호,홈페이지주소,태그,메뉴,대표사진주소,경도,위도
1,노원구,872257394,라라브레드 공릉점,3.8,72건,서울 노원구 공릉로41길 32,노원구 공릉2동,영업시간&매일 10:00 ~ 22:00,1800-2790,lala-bread.com,#디저트카페 #브런치카페 #제로페이,"메뉴 이름: 아메리카노 가격: 4,000&메뉴 이름: 카페라떼 가격: 4,500&메뉴 이름: 다크초코 가격: 6,700&메뉴 이름: 애플시나몬에이드 (ice) 가격: 6,500&메뉴 이름: 애플시나몬티 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F513A0FF4CBE34A9AA5FC0210E039D142,127.077859,37.62486186
2,노원구,586007148,감각,3.2,25건,서울 노원구 상계로 77 1층,노원구 상계2동,영업시간&매일 11:00 ~ 23:00,070-7576-4177,www.instagram.com/cafe_gamgak,#카페 #감성카페 #디저트카페 #앤틱한,"메뉴 이름: 카모마일 가격: 4,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD67927975DE040C3BB850DB0CDF49D9F,127.0635142,37.65674526
3,노원구,19696160,시드누아 노원본점,2.6,56건,서울 노원구 상계로 84,노원구 상계2동,"영업시간&매일 08:30 ~ 02:00&(2층)&기타&(지하1층 14:00~23:00 , 금~토 14:00 ~ 2:00)",02-938-9559,www.seednoir.com,#커피전문점 #디저트카페 #로스팅전문 #베이커리카페 #분위기좋은,"메뉴 이름: 아메리카노 가격: 4,500&메뉴 이름: 카페 라떼 가격: 5,000&메뉴 이름: 아인슈패너 가격: 5,500&메뉴 이름: 자몽차 가격: 5,500&메뉴 이름: 오가닉 루이보스 가격: 4,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6AF56CD8DE3B478180F805005D95D575,127.064289,37.65633459
4,노원구,1117657731,비스킷플로어,3.9,41건,서울 노원구 동일로180길 61-7,노원구 공릉1동,"영업시간&월,수,목,금,토,일 11:00 ~ 22:00&휴무일&화요일",,,#카페 #로스팅전문 #빈티지분위기 #핸드드립전문점 #제로페이,"메뉴 이름: 아메리카노 가격: 4,000&메뉴 이름: 카페라떼 가격: 4,500&메뉴 이름: 카페모카 가격: 5,500&메뉴 이름: 바닐라라떼 가격: 5,000&메뉴 이름: 루이보스 가격: 5,500",,127.0776021,37.62319679
5,노원구,1571140539,상상과자점,3.8,31건,서울 노원구 동일로186길 77-7,노원구 공릉1동,영업시간&화~일 11:00 ~ 23:00&휴무일&월요일,02-977-8838,www.instagram.com/bakery_ss,#디저트카페 #데이트코스 #디저트카페 #제로페이,"메뉴 이름: 아메리카노 가격: 3,500&메뉴 이름: 카페라떼 가격: 4,300&메뉴 이름: 바닐라라떼 가격: 4,500&메뉴 이름: 카라멜카페라떼 가격: 5,000&메뉴 이름: 콜드브루 가격: 4,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4466859774174C128B3C4E8F6627902E,127.0770302,37.62576807
6,노원구,818423534,따미커피,4.4,25건,서울 노원구 공릉로 120,노원구 공릉1동,영업시간&매일 11:00 ~ 22:00&휴무일&연중무휴,070-7793-1201,www.instagram.com/ddami_coffee,#커피전문점 #데이트코스 #제로페이,"메뉴 이름: 따미정원 가격: 5,500&메뉴 이름: 따미랜지 가격: 5,500&메뉴 이름: 따미홍라떼 가격: 6,000&메뉴 이름: 브루잉커피 가격: 4,000&메뉴 이름: 아인슈페너 가격: 5,000&메뉴 이름: 더치 아메리카노 가격: 4,000&메뉴 이름: 더치 라떼 가격: 4,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F47D2126307714F5C867607243D3FCB6B,127.0785139,37.62065376
7,노원구,153487369,표준커피,4.5,22건,서울 노원구 공릉로 119-5 이지스퀘어 1층,노원구 공릉1동,영업시간&매일 12:00 ~ 22:00,0507-1314-7603,www.instagram.com/coffee_standard,#카페 #제로페이,"메뉴 이름: 표준커피 가격: 3,500&메뉴 이름: 근희라떼 가격: 4,000&메뉴 이름: 만원의행복 가격: 10,000&메뉴 이름: 에이드류 가격: 5,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FCA1A2D4AC1EF4D6983B7D716FD9ABBB6,127.0781625,37.62103792
8,노원구,1520080778,던모스,2.8,29건,서울 노원구 공릉로27길 8 1층,노원구 공릉2동,영업시간&매일 12:00 ~ 22:00,0507-1307-0804,www.instagram.com/dawn__moss,#카페 #데이트코스 #제로페이,"메뉴 이름: 아메리카노 가격: 4,000&메뉴 이름: 플랫화이트 가격: 4,500&메뉴 이름: 아인슈페너 가격: 5,000&메뉴 이름: 돌체라떼 가격: 5,000&메뉴 이름: 크림모카 가격: 5,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F76B6392D27314FB3A81350282EA79036,127.0784872,37.62136014
9,노원구,990866386,카페드미셸,2.5,21건,"서울 노원구 화랑로 441 미라쉘 1,2층",노원구 공릉1동,영업시간&매일 10:00 ~ 23:30,02-971-1100,demichelle.modoo.at,#카페 #브런치카페 #스터디카페 #카카오페이 #제로페이,"메뉴 이름: 에스프레소 가격: 3,000&메뉴 이름: 아메리카노 가격: 4,000&메뉴 이름: 카페라떼 가격: 4,000&메뉴 이름: 초코라떼 가격: 4,000&메뉴 이름: 딸기 스무디 가격: 5,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FCA971CF55DD24F40BE01399CF7CAF934,127.0763179,37.61823823
10,노원구,985778800,시즌,2.5,6건,서울 노원구 상계로3길 38-2 2층,노원구 상계2동,영업시간&화~일 13:00 ~ 22:00&휴무일&월요일,,www.instagram.com/cafe_season_,#디저트카페 #감성카페 #노원맛집 #노원역카페 #노원카페 #디저트카페,"메뉴 이름: ice아메리카노 가격: 4,500&메뉴 이름: 미숫가루 (ICE) 가격: 5,500&메뉴 이름: 레몬에이드 가격: 6,000&메뉴 이름: 메론소다 가격: 6,000&메뉴 이름: 패션후르츠에이드 가격: 6,500&메뉴 이름: ice그린티라떼 가격: 5,500&메뉴 이름: ice아인슈페너 가격: 5,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1AB0D82FF7F44560805192C13C7D330F,127.0627247,37.657869
11,노원구,17688746,커피베스코,4.3,9건,서울 노원구 상계로 55 2층,노원구 상계10동,"영업시간&월~금 10:30 ~ 01:00&토,일 10:30 ~ 02:00",,,#커피전문점 #데이트코스 #룸카페 #분위기좋은,"메뉴 이름: 아메리카노 가격: 6,000&메뉴 이름: 헤이즐넛 가격: 6,000&메뉴 이름: 카페라떼 가격: 6,500&메뉴 이름: 레몬에이드 가격: 7,000&메뉴 이름: 키위쥬스 가격: 7,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9D7291A3A8AF4E35AB3387D70FA6FADF,127.0611609,37.656047
12,노원구,1826125340,스타벅스 공릉DT점,3.1,31건,서울 노원구 동일로 1015,노원구 공릉1동,영업시간&매일 07:00 ~ 22:00&이용시 주의 사항&2022-03-17 Drive Thru 운영시간 07:00 ~ 22:00,1522-3232,www.starbucks.co.kr,#커피전문점 #카카오페이,"메뉴 이름: 아이스 슈크림 라떼 가격: 6,100&메뉴 이름: 슈크림 라떼 가격: 6,100&메뉴 이름: 아이스 핑크 매그놀리아 레모네이드 가격: 6,100&메뉴 이름: 파인 코코 그린 요거트 블렌디드 가격: 6,500&메뉴 이름: 핑크 매그놀리아 레모네이드 가격: 6,100&메뉴 이름: 오늘의 커피 가격: 4,200&메뉴 이름: 카푸치노 가격: 5,000&메뉴 이름: 카페 라떼 가격: 5,000&메뉴 이름: 카페 모카 가격: 5,500&메뉴 이름: 카페 아메리카노 가격: 4,500&메뉴 이름: 카라멜 마키아또 가격: 5,900&메뉴 이름: 화이트 초콜릿 모카 가격: 5,900&메뉴 이름: 스타벅스 돌체 라떼 가격: 5,900&메뉴 이름: 자바 칩 프라푸치노 가격: 6,300&메뉴 이름: 망고 바나나 블렌디드 가격: 6,300&메뉴 이름: 아이스 자몽 허니 블랙 티 가격: 5,700&메뉴 이름: 자몽 허니 블랙 티 가격: 5,700&메뉴 이름: 콜드 브루 가격: 4,900&메뉴 이름: 디카페인 카페 아메리카노 가격: 4,800&메뉴 이름: 디카페인 카페 라떼 가격: 5,300&메뉴 이름: 제주 유기농 말차로 만든 라떼 가격: 6,100&메뉴 이름: 돌체 콜드 브루 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F35EFD7B061C0440BA9E3569520605CC2,127.0742179,37.62074884
13,노원구,1488538685,샛별제과,4.6,20건,서울 노원구 상계로9길 23 101호,노원구 상계2동,"영업시간&수,토 12:00 ~ 19:30",,blog.naver.com/bydandelion,#디저트카페 #레터링케이크 #수제케이크 #케이크주문제작,,,127.0661322,37.65824212
14,노원구,231176219,스윗레시피,3.7,11건,서울 노원구 상계로1길 38 2층,노원구 상계2동,영업시간&매일 14:00 ~ 21:00,02-6494-1004,blog.naver.com/shake17,#디저트카페 #감성카페 #데이트코스 #디저트카페 #제로페이,"메뉴 이름: 에스프레소 (HOT) 가격: 4,000&메뉴 이름: 아메리카노 가격: 4,500&메뉴 이름: 카페라떼 가격: 5,000&메뉴 이름: 스윗라떼 (ICE) 가격: 6,000&메뉴 이름: 썸머카페라떼 (ICE) 가격: 7,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9DCF21992BFA4C34842EDE62FC51D4C6,127.0616932,37.65771078
