,구,URL_ID,카페명,평점,리뷰개수,주소,행정동,영업시간,전화번호,홈페이지주소,태그,메뉴,대표사진주소,경도,위도
0,도봉구,1553976296,도봉관,3.5,50건,서울 도봉구 노해로 261 1층,도봉구 창5동,영업시간&매일 11:00 ~ 21:00,02-991-1231,www.instagram.com/dobongwan,#디저트카페 #감성카페 #제로페이,"메뉴 이름: 바스크치즈케이크 가격: 7,000++메뉴 이름: 아메리카노 가격: 4,000++메뉴 이름: 라떼 가격: 4,500++메뉴 이름: 초콜릿라떼 가격: 5,000++메뉴 이름: 말차라떼 가격: 5,000++메뉴 이름: 레몬에이드 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1046556052,127.0371751,37.65163109
1,도봉구,1789979058,몽상가 크레이프전문점,0,0건,서울 도봉구 도봉로143길 30 1층,도봉구 방학1동,"영업시간&수~일 12:00 ~ 20:00&휴무일&월,화요일",02-0202-0202,www.instagram.com/mongsangga_crepe,#디저트카페 #제로페이,"메뉴 이름: 크레페 가격: 4,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FDF67319F896B44CD95A98C80C1CEADCC,127.040459,37.66186957
2,도봉구,27393895,와겐커피 방학점,2.6,17건,서울 도봉구 도봉로150마길 15,도봉구 방학1동,영업시간&매일 09:00 ~ 01:00&휴무일&연중무휴,02-2277-3001,www.wagencoffee.com,#커피전문점 #24시간카페 #분위기좋은 #빈티지분위기 #스터디카페 #제로페이,"메뉴 이름: 오늘의 커피 가격: 5,000++메뉴 이름: 에티오피아 가격: 6,000++메뉴 이름: 케냐AA 가격: 6,000++메뉴 이름: 과테말라 가격: 5,000++메뉴 이름: 콜롬비아 가격: 5,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F0CB32DADED924B21AFD9EB9E3E23CD10,127.0449625,37.66671368
3,도봉구,24695495,카페오븐,4.2,24건,서울 도봉구 해등로16길 12 현대아파트상가동 2층 201호,도봉구 창5동,"영업시간&화~토 12:00 ~ 23:00&휴무일&월,일요일",02-3141-0089,blog.naver.com/cafeoven,#커피전문점 #수제케이크 #제로페이,"메뉴 이름: 밀크팥빙수 가격: 7,500++메뉴 이름: 레어치즈케이크 가격: 5,000++메뉴 이름: 아다지오치즈케익 가격: 5,000++메뉴 이름: 아메리카노 가격: 3,900++메뉴 이름: 카페라떼 가격: 4,400",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F26370234537C00EA2C,127.0407017,37.65595109
4,도봉구,635306818,꿀소담,2.6,35건,"서울 도봉구 해등로16길 67 1,2층",도봉구 창5동,영업시간&매일 08:30 ~ 24:00,,www.instagram.com/honeysodam,#카페 #제로페이,"메뉴 이름: 아메리카노 가격: 3,500++메뉴 이름: 카페라떼 가격: 4,000++메뉴 이름: 코코넛 밀크커피 가격: 4,500++메뉴 이름: 흑당라떼 가격: 4,800++메뉴 이름: 흑당라떼 가격: 4,800",,127.0437391,37.65506488
5,도봉구,27440655,쌍문동커피,4.2,13건,서울 도봉구 도봉로116길 5 1층,도봉구 창1동,"영업시간&월~금 10:00 ~ 23:00&토,일 11:00 ~ 23:00",,,#커피전문점 #제로페이,"메뉴 이름: 아메리카노 가격: 3,500++메뉴 이름: 프라페 가격: 5,500++메뉴 이름: 카페라떼 가격: 4,000++메뉴 이름: 쌍문동비엔나 가격: 4,500++메뉴 이름: 쌍커딸기라떼(ONLY ICED) 가격: 5,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FFB07172155DA44628E47817BDDB57D16,127.035712,37.64821162
6,도봉구,2113410227,카페작약,4.3,16건,서울 도봉구 도봉로118길 10 2층,도봉구 창1동,영업시간&매일 11:00 ~ 22:50&휴무일&연중무휴,070-7740-0259,www.instagram.com/cafe_jakyak,#디저트카페 #빈티지분위기 #앤틱한 #주택개조카페 #제로페이,"메뉴 이름: 아메리카노 가격: 4,300++메뉴 이름: 카페라떼 가격: 4,800++메뉴 이름: 얼그레이 밀크티 가격: 5,300++메뉴 이름: 말차라떼 가격: 5,300++메뉴 이름: 쇼콜라 라떼 가격: 5,300",,127.035674,37.64896625
7,도봉구,1336295111,매일이기념일,4,7건,서울 도봉구 우이천로24길 69 1층,도봉구 쌍문3동,영업시간&화~일 10:00 ~ 21:00&휴무일&월요일,010-9013-7962,www.instagram.com/e.d_anniversary_cafe,#카페 #로스팅전문,"메뉴 이름: 아메리카노 가격: 2,500++메뉴 이름: 카페라떼 가격: 4,000++메뉴 이름: 복숭아아이스티 가격: 2,500++메뉴 이름: 페퍼민트 가격: 3,000++메뉴 이름: 초코라떼 가격: 4,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_348861993,127.0321916,37.64640062
8,도봉구,462897050,카페그리너리티,4.4,20건,서울 도봉구 노해로62길 80 1층,도봉구 창1동,영업시간&화~일 11:00 ~ 21:00&휴무일&월요일,010-2514-6469,www.instagram.com/greenerity,#카페 #감성카페 #분위기좋은 #플라워카페 #제로페이,"메뉴 이름: 아메리카노 가격: 3,500++메뉴 이름: 라떼 가격: 4,000++메뉴 이름: 바닐라/헤이즐넛라떼 가격: 4,500++메뉴 이름: 플랫화이트 가격: 4,000++메뉴 이름: 카페모카 가격: 4,500++메뉴 이름: 에스프레소 가격: 3,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FB5BB831572BA41D481877506165B977D,127.0384928,37.64776501
9,도봉구,119532698,카페방학,3.9,11건,서울 도봉구 도당로6길 30-6,도봉구 방학1동,영업시간&화~일 12:00 ~ 21:00&휴무일&월요일,070-4117-9055,www.instagram.com/cafe_banghak,#커피전문점 #제로페이,"메뉴 이름: 아메리카노 가격: 3,500++메뉴 이름: 카페라떼 가격: 4,000++메뉴 이름: 바닐라라떼 가격: 4,500++메뉴 이름: 카모마일티 가격: 4,500++메뉴 이름: 얼그레이티 가격: 4,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF30B91E621CB4D16BD2E6D67F07870D6,127.0365552,37.66131467
