,구,URL_ID,카페명,평점,리뷰개수,주소,행정동,영업시간,전화번호,홈페이지주소,태그,메뉴,대표사진주소,경도,위도
0,동대문구,1779970753,베러댄,3.8,20건,서울 동대문구 망우로 34 진성빌딩 1층,동대문구 휘경2동,"영업시간&월~금 08:40 ~ 22:00&토,일 10:00 ~ 21:00",,,#카페 #제로페이,"메뉴 이름: 아메리카노 가격: 4,000&메뉴 이름: 카페라떼 가격: 5,000&메뉴 이름: 시그니처 라떼 가격: 5,500&메뉴 이름: 밀크티 (ICE) 가격: 6,500&메뉴 이름: ultimate 초콜릿 가격: 5,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF39CBCC6A4EF4B779689F51B21B02B3D,127.0570817,37.58836574
1,동대문구,1317422264,카페몰로,3.5,18건,서울 동대문구 회기로 163 1층,동대문구 회기동,영업시간&매일 11:00 ~ 22:00,02-966-1301,www.instagram.com/cafemollo,#디저트카페 #감성카페 #베이커리카페 #브런치카페 #점심식사 #카카오페이,"메뉴 이름: 아메리카노 가격: 4,000&메뉴 이름: 카페라떼 가격: 4,500&메뉴 이름: 카페모카 가격: 4,500&메뉴 이름: 카푸치노 가격: 4,500&메뉴 이름: 녹차 라떼 가격: 4,500&메뉴 이름: 초콜릿 라떼 가격: 4,500&메뉴 이름: 레몬에이드 가격: 5,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F5342FCB31EF44D1E8B813B6773A5095E,127.0543273,37.59083191
2,동대문구,26354962,커피나인 본점,4.3,31건,서울 동대문구 전농로3길 12 1층,동대문구 답십리1동,영업시간&매일 09:00 ~ 22:00&휴무일&연중무휴,02-6396-9992,coffee9.co.kr,#커피전문점 #로스팅전문 #핸드드립전문점 #제로페이,"메뉴 이름: 에스프레소 가격: 2,900&메뉴 이름: 아메리카노 가격: 2,900&메뉴 이름: 카페라떼 가격: 3,900&메뉴 이름: 카푸치노 가격: 3,900&메뉴 이름: 돌체라떼 가격: 3,900",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FDEA335CB58E3433D8DE63795EBBFFBC5,127.0564885,37.56843021
3,동대문구,1113162121,망우로30,3.9,23건,서울 동대문구 망우로 30-1,동대문구 휘경2동,영업시간&화~일 11:00 ~ 21:00&휴무일&월요일,,,#카페 #감성카페 #빈티지분위기 #제로페이,"메뉴 이름: 무하과스콘 가격: 3,800&메뉴 이름: 크림치즈스콘 가격: 3,800",,127.0568013,37.5880211
4,동대문구,1989079728,너디블루,4.6,25건,"서울 동대문구 전농로36길 9 1,2층 1,2호",동대문구 전농1동,영업시간&매일 13:00 ~ 23:30,,www.instagram.com/nerdyblue.house,#카페 #안심식당 #데이트코스 #레터링케이크 #보드게임카페 #분위기좋은 #빈티지분위기 #수제케이크 #제로페이,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6F80429292034B7CB4C362F4BAAD8C70,127.0529268,37.58542305
5,동대문구,105370530,오앤디,4.8,32건,서울 동대문구 망우로12가길 17 1층,동대문구 휘경2동,"영업시간&월,수,목,금,토,일 11:00 ~ 22:00&휴무일&화요일",,www.instagram.com/ond_coffee,#카페 #카카오페이 #제로페이,"메뉴 이름: 아메리카노 가격: 3,500&메뉴 이름: 카페라떼 가격: 4,000&메뉴 이름: 싱글오리진 가격: 5,000&메뉴 이름: 당신의 특별한 날에 가격: 5,500&메뉴 이름: 당신의 즐거운 날에 가격: 4,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F1AA84299C8494AE884B20A351F960642,127.0601018,37.5888232
6,동대문구,1872113102,더크림,3.7,13건,서울 동대문구 장한로28길 18,동대문구 장안2동,"영업시간&월~금 09:00 ~ 22:00&토,일 10:00 ~ 22:00&공휴일&10:00 ~ 22:00",070-4065-7313,www.instagram.com/thecream_cafe,#디저트카페 #감성카페 #디저트카페 #분위기좋은 #브런치카페 #와플카페 #플라워카페 #제로페이,"메뉴 이름: 아메리카노 가격: 3,500&메뉴 이름: 카페라떼 가격: 4,000&메뉴 이름: 자몽 에이드 가격: 5,000&메뉴 이름: 생크림&후르츠 팬케익 플레이트 가격: 6,000&메뉴 이름: 시카고 치즈 피자 가격: 9,900",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC9848EE7DD8846A480E0DBC55FE40735,127.0730101,37.57285483
7,동대문구,2093688428,카페양귀비,4.2,24건,서울 동대문구 이문로9길 8 1층,동대문구 이문1동,영업시간&매일 12:00 ~ 21:00,,www.instagram.com/cafe_yanggwibi,#카페 #감성카페 #분위기좋은 #앤틱한 #플라워카페 #제로페이,"메뉴 이름: 아메리카노 가격: 3,500&메뉴 이름: 카페라떼 가격: 4,000&메뉴 이름: 카푸치노 가격: 4,000&메뉴 이름: 카라멜마끼아또 가격: 4,500&메뉴 이름: 아인슈페너 가격: 4,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F97945FCF3B234D8C81AF1B5E38D34A87,127.0574325,37.59296509
8,동대문구,1175140530,카페림,4.4,29건,서울 동대문구 천호대로27길 8-2,동대문구 용신동,"영업시간&월~금 09:00 ~ 22:00&토,일 11:00 ~ 22:00",02-968-1497,instagram.com/cafe_lim,#디저트카페 #디저트카페 #빈티지분위기 #수제디저트 #주택개조카페 #제로페이,"메뉴 이름: 아메리카노 (HOT) 가격: 3,500&메뉴 이름: 카페라떼 (HOT) 가격: 4,500&메뉴 이름: 리얼딸기라떼 (ICE) 가격: 5,500&메뉴 이름: 장미레몬에이드 가격: 5,500&메뉴 이름: 오레오쉐이크 가격: 6,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F71F177A648714398A911FAF5253A9BB2,127.0374747,37.57447524
9,동대문구,19034696,카페온,4.7,11건,서울 동대문구 왕산로 276-1,동대문구 전농1동,영업시간&매일 12:00 ~ 23:00&이용시 주의 사항&4월 휴무일 없음,070-8682-4958,,#카페 #감성카페 #보드게임카페 #제로페이,"메뉴 이름: 카페라떼 가격: 4,500&메뉴 이름: 스노우카노 가격: 5,500&메뉴 이름: 딸기초코스무디 가격: 6,500&메뉴 이름: 멜로우프라페 가격: 6,500&메뉴 이름: 아이스아메리카노 가격: 4,300&메뉴 이름: 흑임자라떼 가격: 5,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F94849B1A65A44EE59D1C8C667C7FC0F8,127.0513795,37.58516931
10,동대문구,2103694654,비하인드미,4.6,15건,서울 동대문구 회기로 125,동대문구 회기동,영업시간&매일 12:00 ~ 21:00&공휴일&12:00 ~ 22:00,,www.instagram.com/cafe.behindme,#카페 ,"메뉴 이름: 에스프레소 가격: 4,000&메뉴 이름: 아메리카노 가격: 4,000&메뉴 이름: 카페 라떼 가격: 4,500&메뉴 이름: 레몬 에이드 가격: 5,000&메뉴 이름: 밀크티 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9E056F8AC97E4F7B8051D6C069AFABF6,127.050533,37.59161855
11,동대문구,2047903591,대즐링,4.8,37건,서울 동대문구 안암로 132 1층,동대문구 제기동,"영업시간&월~금 12:00 ~ 22:00&토,일 12:00 ~ 17:30",070-763-9394,www.instagram.com/cafe__dazzling,#카페 #제로페이,"메뉴 이름: 아메리카노 가격: 4,000&메뉴 이름: 카페라떼 가격: 4,300&메뉴 이름: 돌체라떼 가격: 5,300",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F9CD6BA209D8C4A4B8815A40B0DF84716,127.0334912,37.58684064
12,동대문구,789579036,키라쿠,4.2,18건,서울 동대문구 약령시로 5-1 아이리스빌딩 1층,동대문구 제기동,영업시간&월~금 10:00 ~ 23:00&토 12:00 ~ 23:00&일 12:00 ~ 22:00,,www.instagram.com/kiraku_coffee,#카페 #감성카페 #디톡스음료 #제로페이,"메뉴 이름: 아메리카노 가격: 3,800&메뉴 이름: 라떼 가격: 4,300&메뉴 이름: 바닐라빈 라떼 가격: 5,000&메뉴 이름: 콜드브루 연유라떼 가격: 5,000&메뉴 이름: 비트레몬 가격: 4,800",,127.0302914,37.58279551
13,동대문구,17884754,스타벅스 장한평역점,3.4,15건,서울 동대문구 장한로 10,동대문구 장안1동,"영업시간&월~금 07:00 ~ 21:00&토,일 08:00 ~ 21:00",1522-3232,www.starbucks.co.kr,#커피전문점 #카카오페이,"메뉴 이름: 아이스 슈크림 라떼 가격: 6,100&메뉴 이름: 슈크림 라떼 가격: 6,100&메뉴 이름: 아이스 핑크 매그놀리아 레모네이드 가격: 6,100&메뉴 이름: 파인 코코 그린 요거트 블렌디드 가격: 6,500&메뉴 이름: 핑크 매그놀리아 레모네이드 가격: 6,100&메뉴 이름: 오늘의 커피 가격: 4,200&메뉴 이름: 카푸치노 가격: 5,000&메뉴 이름: 카페 라떼 가격: 5,000&메뉴 이름: 카페 모카 가격: 5,500&메뉴 이름: 카페 아메리카노 가격: 4,500&메뉴 이름: 카라멜 마키아또 가격: 5,900&메뉴 이름: 화이트 초콜릿 모카 가격: 5,900&메뉴 이름: 스타벅스 돌체 라떼 가격: 5,900&메뉴 이름: 자바 칩 프라푸치노 가격: 6,300&메뉴 이름: 망고 바나나 블렌디드 가격: 6,300&메뉴 이름: 아이스 자몽 허니 블랙 티 가격: 5,700&메뉴 이름: 자몽 허니 블랙 티 가격: 5,700&메뉴 이름: 콜드 브루 가격: 4,900&메뉴 이름: 디카페인 카페 아메리카노 가격: 4,800&메뉴 이름: 디카페인 카페 라떼 가격: 5,300&메뉴 이름: 제주 유기농 말차로 만든 라떼 가격: 6,100&메뉴 이름: 돌체 콜드 브루 가격: 6,000",,127.0655014,37.56236159
14,동대문구,1387251423,스타벅스 답십리역점,4.3,22건,서울 동대문구 천호대로 263,동대문구 답십리1동,영업시간&월~금 07:00 ~ 22:00&토 07:30 ~ 22:00&일 07:30 ~ 21:00,1522-3232,www.starbucks.co.kr,#커피전문점 #카카오페이,"메뉴 이름: 아이스 슈크림 라떼 가격: 6,100&메뉴 이름: 슈크림 라떼 가격: 6,100&메뉴 이름: 아이스 핑크 매그놀리아 레모네이드 가격: 6,100&메뉴 이름: 파인 코코 그린 요거트 블렌디드 가격: 6,500&메뉴 이름: 핑크 매그놀리아 레모네이드 가격: 6,100&메뉴 이름: 오늘의 커피 가격: 4,200&메뉴 이름: 카푸치노 가격: 5,000&메뉴 이름: 카페 라떼 가격: 5,000&메뉴 이름: 카페 모카 가격: 5,500&메뉴 이름: 카페 아메리카노 가격: 4,500&메뉴 이름: 카라멜 마키아또 가격: 5,900&메뉴 이름: 화이트 초콜릿 모카 가격: 5,900&메뉴 이름: 스타벅스 돌체 라떼 가격: 5,900&메뉴 이름: 자바 칩 프라푸치노 가격: 6,300&메뉴 이름: 망고 바나나 블렌디드 가격: 6,300&메뉴 이름: 아이스 자몽 허니 블랙 티 가격: 5,700&메뉴 이름: 자몽 허니 블랙 티 가격: 5,700&메뉴 이름: 콜드 브루 가격: 4,900&메뉴 이름: 디카페인 카페 아메리카노 가격: 4,800&메뉴 이름: 디카페인 카페 라떼 가격: 5,300&메뉴 이름: 제주 유기농 말차로 만든 라떼 가격: 6,100&메뉴 이름: 돌체 콜드 브루 가격: 6,000",,127.0511206,37.56850457
