,구,URL_ID,카페명,평점,리뷰개수,주소,행정동,영업시간,전화번호,홈페이지주소,태그,메뉴,대표사진주소,경도,위도
1,서초구,1877580394,카페노티드 서래,3.2,75건,서울 서초구 방배로32길 30-9 1층,서초구 방배4동,영업시간&매일 09:00 ~ 21:00,02-599-9377,www.instagram.com/cafeknotted,#카페 #베이커리카페,"메뉴 이름: ESPRESSO 가격: 3,000&메뉴 이름: AMERICANO 가격: 4,000&메뉴 이름: CAFE LATTE 가격: 5,000&메뉴 이름: EARL GREY 가격: 5,000&메뉴 이름: MILK TEA 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1363363172,126.993435,37.49137338
2,서초구,554364299,프릳츠 양재점,3.8,118건,서울 서초구 강남대로37길 24-11 서림빌딩 1층,서초구 서초2동,"영업시간&월~금 08:00 ~ 20:30&토,일 10:00 ~ 20:30",02-521-4148,fritz.co.kr,#카페 #레트로풍 #빈티지분위기 #카카오페이 #제로페이,"메뉴 이름: 에스프레소 가격: 4,600&메뉴 이름: 아메리카노 가격: 4,600&메뉴 이름: 카푸치노 가격: 5,000&메뉴 이름: 카페라떼 가격: 5,000&메뉴 이름: 플랫화이트 가격: 5,000&메뉴 이름: 옛날샌드위치 가격: 4,500&메뉴 이름: 꾸인아망 가격: 3,000&메뉴 이름: 크로켓 가격: 3,500&메뉴 이름: 도나스박스 가격: 12,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F89367F66866F43F98B781CB1AFD6AB16,127.0321958,37.48536909
3,서초구,1614713440,공미학,3.8,55건,서울 서초구 서초대로48길 101 1층,서초구 서초3동,"영업시간&월~금 08:00 ~ 21:00&토,일 10:00 ~ 21:00",02-6462-9000,www.instagram.com/gongmihak,#커피전문점 #감성카페 #루프탑있는 #베이커리카페 #스터디카페,"메뉴 이름: 서초의 미학 가격: 6,000&메뉴 이름: 크림의 미학 가격: 6,500&메뉴 이름: 블랙의 미학 가격: 6,800&메뉴 이름: 아메리카노 가격: 4,500&메뉴 이름: 카페라떼 가격: 4,800",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9D1A4E5A73DA46159F4622966EC5EDA9,127.0124712,37.48862546
4,서초구,559888657,캐틀앤비 양재천점,1.9,97건,서울 서초구 양재천로 131,서초구 양재1동,영업시간&매일 09:00 ~ 23:00,02-578-2737,,#디저트카페 #데이트코스 #브런치카페 #수제맥주 #테라스가있는,"메뉴 이름: 아메리카노 가격: 5,100&메뉴 이름: 시그니처 아메리카노 가격: 5,500&메뉴 이름: 카페라떼 가격: 6,300&메뉴 이름: 플레인 요거트 가격: 6,500&메뉴 이름: 페퍼민트 가격: 6,000&메뉴 이름: 자몽 주스 가격: 7,100&메뉴 이름: 자몽 에이드 가격: 7,100",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F714EB1200EAE42B3841C8D67C3870D26,127.0419762,37.47880151
5,서초구,96877138,태양커피,4.3,119건,서울 서초구 서초대로25길 55 1층,서초구 방배4동,"영업시간&월~금 09:00 ~ 21:00&토,일 12:00 ~ 21:00&공휴일&12:00 ~ 21:00",0507-1426-8181,www.facebook.com/teyangcoffee,#커피전문점 ,"메뉴 이름: 롱블랙 가격: 3,500&메뉴 이름: 플랫 화이트 가격: 3,500&메뉴 이름: 카페라떼 가격: 4,000&메뉴 이름: 바닐라라떼 가격: 4,000&메뉴 이름: 카라멜라떼 가격: 4,000&메뉴 이름: 클래식 아인슈페너 가격: 4,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FBBB2E7FE6EFA471D9B0F8229F502AAF6,126.9928201,37.49019222
6,서초구,24786161,카몽,4.6,60건,서울 서초구 서초대로42길 17 1층,서초구 서초3동,"영업시간&월,수,목,금 08:30 ~ 21:00&토,일 11:00 ~ 21:00&화 09:00 ~ 21:00&휴무일&첫째 토요일",02-522-5949,instagram.com/kamong.coffee,#디저트카페 #카카오페이 #제로페이,"메뉴 이름: 아메리카노 가격: 4,000&메뉴 이름: 카페라떼 가격: 4,500&메뉴 이름: 콜드브루 가격: 4,500&메뉴 이름: 콜드브루 연유라떼 가격: 5,500&메뉴 이름: 크림라떼 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F20C0E33EC3C24853BBBECC95AEF91E35,127.0089406,37.49121018
7,서초구,1817287702,카페토다,3.8,52건,서울 서초구 성촌6길 39,서초구 양재1동,"영업시간&월~금 07:30 ~ 20:00&토,일 10:00 ~ 20:00",02-529-5401,www.instagram.com/cafetodah,#카페 #안심식당 #데이트코스 #테라스가있는,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F8C0BF85A25034E17B18276AA6C6C09DB,127.0226284,37.46752207
8,서초구,1522325014,타르타르 강남역점,3.8,35건,서울 서초구 강남대로61길 13 1층,서초구 서초4동,영업시간&매일 11:00 ~ 23:00,1800-1989,www.tarrtarr.com,#디저트카페 #데이트코스 #디저트카페 #분위기좋은,"메뉴 이름: 아메리카노 가격: 4,300&메뉴 이름: 카페라떼 가격: 4,800&메뉴 이름: 자몽차 가격: 4,800&메뉴 이름: 우유 가격: 3,800&메뉴 이름: 생과일 쥬스 (ICE) 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FCE05B8BC2B0A4C10988C39AC2E2B6684,127.0255547,37.49889005
9,서초구,26965232,마얘,3.4,109건,서울 서초구 사평대로22길 14 1층,서초구 반포4동,영업시간&매일 11:30 ~ 22:00&휴무일&설당일&추석당일,02-749-1411,www.instagram.com/maillet_patisseriefrancaise,#디저트카페 #디저트카페 #제로페이,"메뉴 이름: 마코폴로 가격: 7,500&메뉴 이름: 웨딩임페리얼 가격: 7,500&메뉴 이름: 아메리카노 가격: 6,000&메뉴 이름: 카페라떼 가격: 6,500&메뉴 이름: 게롤스테이너 유자 가격: 5,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F73B246D05D4F40569F3968D31C6D3A45,126.9976071,37.49895585
10,서초구,1199071795,프리퍼커피로스터스,4.3,52건,서울 서초구 반포대로5길 4 1층,서초구 서초3동,"영업시간&월~금 08:00 ~ 21:00&토,일 11:00 ~ 21:00",02-2690-0962,www.instagram.com/prefer_coffee,#커피전문점 #감성카페 #데이트코스 #디저트카페 #로스팅전문 #핸드드립전문점 #카카오페이 #제로페이,"메뉴 이름: 아메리카노 가격: 3,000&메뉴 이름: 카페라떼 가격: 4,000&메뉴 이름: 유자차 가격: 4,000&메뉴 이름: 미숫가루 가격: 4,500&메뉴 이름: 로얄 블랙 밀크티 가격: 9,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F63830C56E9454C3AB2BE75CECC18A3C7,127.0114259,37.48207276
