,구,URL_ID,카페명,평점,리뷰개수,주소,행정동,영업시간,전화번호,홈페이지주소,태그,메뉴,대표사진주소,경도,위도
0,성동구,1492599844,블루보틀 성수 카페,3.1,170건,서울 성동구 아차산로 7,성동구 성수1가2동,영업시간&매일 08:00 ~ 20:00,02-6212-6998,www.bluebottlecoffeekorea.com,#카페 #로스팅전문 #핸드드립전문점,"메뉴 이름: 아메리카노 (AMERICANO) (hot/iced) 가격: 5,000++메뉴 이름: 라떼 (LATTE) (hot/iced) 가격: 6,100++메뉴 이름: 블렌드 (드립) 가격: 5,200++메뉴 이름: 뉴 올리언스 가격: 5,800++메뉴 이름: 레몬 유자 피즈 (LEMON YUJU FIZZ) 가격: 4,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F723A22186EE84C9BB142E6E93DBCA4AA,127.0456393,37.54810298
1,성동구,1301973155,할아버지공장,3.3,131건,서울 성동구 성수이로7가길 9,성동구 성수2가1동,영업시간&매일 11:00 ~ 23:00,010-3934-2301,gffactory.co.kr,#디저트카페 ,"메뉴 이름: 할아버지피자 가격: 24,000++메뉴 이름: 카프리초사 가격: 21,000++메뉴 이름: 칠리치즈포테이토 가격: 20,000++메뉴 이름: 콥 샐러드 가격: 18,000++메뉴 이름: 리코타 깔조네 샐러드 가격: 18,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F11A24771C68B49E1A5D552F4EECDB441,127.0549462,37.54108985
2,성동구,145791269,어니언,3.5,183건,"서울 성동구 아차산로9길 8 1,2층",성동구 성수2가3동,"영업시간&월~금 08:00 ~ 22:00&토,일 10:00 ~ 22:00&공휴일&10:00 ~ 22:00",070-4353-3238,www.instagram.com/cafe.onion,#디저트카페 #데이트코스 #루프탑있는 #빈티지분위기,"메뉴 이름: 플랫 화이트 가격: 5,000++메뉴 이름: 당근쥬스 가격: 6,300++메뉴 이름: 아메리카노 가격: 5,000++메뉴 이름: 카페라떼 가격: 5,500++메뉴 이름: 바닐라라떼 가격: 6,000++메뉴 이름: 에스프레소 가격: 4,300++메뉴 이름: 카푸치노 가격: 5,500++메뉴 이름: 싱글오리진 커피 가격: 6,000++메뉴 이름: 오틀리라떼 가격: 6,500++메뉴 이름: 카페 모카 가격: 6,800++메뉴 이름: 어니언 아인슈페너 가격: 6,500++메뉴 이름: 어니언 크림카푸치노 가격: 6,500++메뉴 이름: 에스프레소 콘파냐 가격: 4,800++메뉴 이름: 공주밤라떼 가격: 6,500++메뉴 이름: 초콜릿 드링크 가격: 6,800++메뉴 이름: 비건 밀크티 가격: 6,500++메뉴 이름: 차이 밀크티 가격: 7,000++메뉴 이름: 딸기 요거트 가격: 6,500++메뉴 이름: 패션후르츠에이드 가격: 6,500++메뉴 이름: 로즈에이드 가격: 6,500++메뉴 이름: 문경 오미자 에이드 가격: 6,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1440281132,127.0583814,37.54474647
3,성동구,1783691580,쎈느,3.4,47건,서울 성동구 연무장5길 20,성동구 성수2가3동,영업시간&매일 09:00 ~ 22:00,,instagram.com/sceneseoul.official,#카페 #문화예술공간 #제로페이,"메뉴 이름: 아메리카노 가격: 5,000++메뉴 이름: 라떼 가격: 6,000++메뉴 이름: 바닐라라떼 가격: 6,800++메뉴 이름: 초콜릿라떼 가격: 7,500++메뉴 이름: 파인애플생과일주스 가격: 8,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F370E26F404444325AF85B3D9A130023E,127.0533429,37.54479629
4,성동구,1128989913,대림창고,3.2,154건,서울 성동구 성수이로 78,성동구 성수2가1동,영업시간&매일 11:00 ~ 23:00,02-499-9669,,#갤러리카페 #갤러리카페 #데이트코스 #루프탑있는 #빈티지분위기 #카카오페이 #제로페이,"메뉴 이름: 아메리카노 가격: 5,000++메뉴 이름: 카페라떼 가격: 6,000++메뉴 이름: 카페모카 가격: 7,000++메뉴 이름: 아포가토 가격: 8,500++메뉴 이름: 제이시모카 가격: 17,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB688222794C24E3396180F9D9CC4263D,127.0565371,37.5419532
5,성동구,1460620031,인더매스 마장,4.4,54건,서울 성동구 마장로 270,성동구 마장동,"영업시간&월~금 11:50 ~ 21:50&토,일 12:00 ~ 22:00",,www.instagram.com/inthemass_,#카페 #데이트코스 #로스팅전문 #핸드드립전문점 #제로페이,"메뉴 이름: 아메리카노 가격: 4,500++메뉴 이름: 라떼 가격: 5,000++메뉴 이름: 에티오피아 게라 가격: 6,000++메뉴 이름: 밀크티 가격: 5,000++메뉴 이름: 초코라떼 가격: 5,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F882DE19712784B1F9F4423CFA06E3FB4,127.0398777,37.56536407
6,성동구,286483883,센터커피 서울숲점,3.6,72건,서울 성동구 서울숲2길 28-11 1층,성동구 성수1가2동,영업시간&화~일 11:00 ~ 20:00&동절기&화~일 11:00 ~ 20:00&휴무일&월요일,070-8868-2008,www.centercoffee.co.kr,#커피전문점 #데이트코스 #로스팅전문 #루프탑있는,"메뉴 이름: 에스프레소 (HOT) 가격: 5,000++메뉴 이름: 아메리카노 (HOT) 가격: 5,000++메뉴 이름: 아메리카노 (ICE) 가격: 5,000++메뉴 이름: 콜드브루 (ICE) 가격: 7,000++메뉴 이름: 라떼 (HOT) 가격: 6,000++메뉴 이름: 라떼 (ICE) 가격: 6,000++메뉴 이름: 카푸치노 (HOT) 가격: 6,000++메뉴 이름: 모카 (HOT) 가격: 6,500++메뉴 이름: 모카 (ICE) 가격: 6,500++메뉴 이름: K-72 (HOT) 가격: 8,000++메뉴 이름: K-72 (ICE) 가격: 8,000++메뉴 이름: 더블소크 (HOT) 가격: 9,000++메뉴 이름: 더블소크 (ICE) 가격: 9,000++메뉴 이름: 오렌지허니 (HOT) 가격: 8,000++메뉴 이름: 오렌지허니 (ICE) 가격: 8,000++메뉴 이름: 게이샤 진 토닉 (ICE) 가격: 7,500++메뉴 이름: 피치 밀크쉐이크 (ICE) 가격: 6,500++메뉴 이름: 꿀 자몽 주스 (ICE) 가격: 7,000++메뉴 이름: 초콜릿 (HOT) 가격: 6,500++메뉴 이름: 초콜릿 (ICE) 가격: 6,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F56BCF2697015468FB45193F915185371,127.0416192,37.54656308
7,성동구,1842536906,멜로워 성수플래그쉽,4,83건,서울 성동구 성수이로7길 39,성동구 성수2가1동,"영업시간&월,화,목,금,토,일 11:00 ~ 21:30&수 09:30 ~ 21:30",02-499-1112,mellower.kr,#카페 #데이트코스 #루프탑있는 #베이커리카페 #카카오페이,"메뉴 이름: 아메리카노 가격: 4,800++메뉴 이름: 카페라떼 가격: 5,300++메뉴 이름: 바닐라라떼 가격: 5,800++메뉴 이름: 로얄 밀크티 가격: 6,000++메뉴 이름: 딸기 멜로디 스무디 가격: 7,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F5DABE8180E6D4CB192CABEA9CA8C513D,127.053234,37.54253456
8,성동구,1530215201,체다앤올리,3.3,30건,서울 성동구 서울숲2길 32-14 1층,성동구 성수1가1동,"영업시간&월~금 11:00 ~ 21:00&토,일 10:00 ~ 21:00&매일 라스트오더 ~ 20:30",02-468-1003,www.instagram.com/cheddaoli_cafe,#카페 #데이트코스 #브런치카페 #애견동반식당 #제로페이,"메뉴 이름: 아메리카노 가격: 5,000++메뉴 이름: 카페라떼 가격: 6,000++메뉴 이름: 조리퐁라떼 가격: 7,000++메뉴 이름: 더치큐라떼 가격: 8,000++메뉴 이름: 연어아보카도샐러드 가격: 13,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB0CE4C907D3E4FD4B79F9B7A3FF05413,127.0419904,37.54592005
9,성동구,2111826352,우디집,3.9,36건,서울 성동구 둘레9길 17 2층,성동구 성수1가1동,영업시간&매일 12:00 ~ 21:00&매일 라스트오더 ~ 20:20,,www.instagram.com/woody_zip,#카페 #빈티지분위기,"메뉴 이름: 아메리카노 가격: 4,500++메뉴 이름: 라떼 가격: 5,000++메뉴 이름: 청포도 에이드 가격: 6,000++메뉴 이름: 마르코폴로 가격: 5,500++메뉴 이름: 우디 꿀단지 가격: 6,500",,127.0510142,37.53776024
