,구,URL_ID,카페명,평점,리뷰개수,주소,행정동,영업시간,전화번호,홈페이지주소,태그,메뉴,대표사진주소,경도,위도
0,송파구,702337989,라라브레드 송파점,3.9,152건,서울 송파구 오금로16길 4,송파구 송파1동,영업시간&매일 10:00 ~ 22:00,1800-1990,lala-bread.com,#디저트카페 #데이트코스 #브런치카페 #제로페이,"메뉴 이름: 아메리카노 가격: 4,000++메뉴 이름: 카페라떼 가격: 4,500++메뉴 이름: 솔티드 카라멜라떼 가격: 5,000++메뉴 이름: 바닐라라ㅤㄸㅖㅤ 가격: 4,700++메뉴 이름: 헤이즐넛라떼 가격: 4,700",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA72641A483594D57A179B8EBF36FADA5,127.1091014,37.51112663
1,송파구,1877651691,벨라스가든,3.7,37건,서울 송파구 백제고분로41길 42-19,송파구 송파1동,영업시간&매일 10:00 ~ 24:00,02-424-4243,,#카페 #데이트코스 #브런치카페 #소개팅 #카카오페이 #제로페이,"메뉴 이름: 아메리카노 가격: 5,000++메뉴 이름: 카페라떼 가격: 5,500++메뉴 이름: 망고&자몽 에이드 가격: 6,500++메뉴 이름: 청포도 에이드 가격: 6,500++메뉴 이름: 비프 리코타 치즈 버섯 샐러드 가격: 18,000++메뉴 이름: 치킨 아보카도 파니니 가격: 18,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FED17E7D10B8944D8AD3A397F8BEC9B7C,127.1062901,37.51008181
2,송파구,244820280,뷰클런즈,4.4,94건,서울 송파구 백제고분로43길 10 1층,송파구 송파1동,영업시간&매일 12:00 ~ 22:00,070-4065-4860,instagram.com/swedencoffee_bjorklunds,#카페 #로스팅전문,"메뉴 이름: 아메리카노 가격: 5,500++메뉴 이름: 카페라떼 가격: 6,000++메뉴 이름: 스웨덴 스윗라떼 가격: 6,500++메뉴 이름: 스웨덴 밀크티 가격: 6,800++메뉴 이름: 스웨덴 드립커피 가격: 6,500++메뉴 이름: 스웨덴 커피 가격: 6,500++메뉴 이름: 뷰클런즈 블랜드 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1ED2173B9CC34D84B4B13E54CF60B29E,127.1095917,37.5083645
3,송파구,288452481,서울리즘,2.3,76건,"서울 송파구 백제고분로 435 예스빌딩 1,6층",송파구 송파1동,"영업시간&월,화,수,목,일 13:00 ~ 23:00&금,토 13:00 ~ 24:00",,,#커피전문점 #데이트코스 #루프탑있는 #제로페이,"메뉴 이름: 아메리카노 가격: 7,000++메뉴 이름: 카페라떼 가격: 7,500++메뉴 이름: 코코넛라떼 가격: 10,000++메뉴 이름: 콜드브루라떼 가격: 12,000++메뉴 이름: 밀크티 가격: 8,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F6759B4D09BA4442982AB6ECCCE1615A7,127.1115375,37.50979723
4,송파구,1030591315,오린지,3.3,79건,서울 송파구 송파대로48길 19 1층,송파구 송파1동,영업시간&월~토 12:00 ~ 22:00&일 12:00 ~ 20:00&공휴일&12:00 ~ 20:00,,www.instagram.com/oh_linzi,#디저트카페 #빈티지분위기 #카카오페이 #제로페이,"메뉴 이름: 아메리카노 가격: 4,500++메뉴 이름: 카페라떼 가격: 5,000++메뉴 이름: 카푸치노 가격: 5,000++메뉴 이름: 바닐라라떼 가격: 5,500++메뉴 이름: 밀크티 가격: 5,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC1CD23166DC14FEB9B6F9A568F60E024,127.106273,37.509577
5,송파구,21404892,뉴질랜드스토리,4,67건,서울 송파구 석촌호수로 268 경남레이크파크 1층,송파구 송파1동,"영업시간&월,수,목 10:30 ~ 17:00&금~일 10:30 ~ 21:00&휴무일&화요일",070-7523-6265,www.instagram.com/nz_story,#카페 #브런치카페 #제로페이,"메뉴 이름: 아메리카노 가격: 4,000++메뉴 이름: 카페라떼 가격: 4,500++메뉴 이름: 유자에이드 가격: 5,500++메뉴 이름: 코코넛 스무디 가격: 6,000++메뉴 이름: 코코넛 커피 가격: 7,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF9FF840FCB104DB7A8BCF10288ED5C4E,127.1057058,37.50971031
6,송파구,27288893,프로퍼커피바,3.4,57건,서울 송파구 위례성대로22길 6 유진빌딩 1층,송파구 오금동,영업시간&월~토 10:00 ~ 21:00&휴무일&일요일,,blog.naver.com/designpodium,#카페 #데이트코스,"메뉴 이름: 아메리카노 가격: 5,000++메뉴 이름: 카페라떼 가격: 5,800++메뉴 이름: 헤이라떼 가격: 6,000++메뉴 이름: 자몽티 (HOT) 가격: 7,000++메뉴 이름: 레몬티 (HOT) 가격: 7,000",,127.1311198,37.50970678
7,송파구,1087045460,젠젠 잠실점,3.3,57건,서울 송파구 백제고분로45길 34 동방빌딩 2층,송파구 송파1동,영업시간&매일 09:30 ~ 22:30&매일 라스트오더 ~ 21:30,02-412-7240,www.instagram.com/zenzen_jamsil,#카페 #데이트코스 #디저트카페 #브런치카페 #제로페이,,,127.1080188,37.51069598
8,송파구,2048471337,디트로네 잠실점,3.3,33건,서울 송파구 석촌호수로 258 아르누보팰리스 105호,송파구 송파1동,"영업시간&월,화,수,목,일 11:00 ~ 24:00&금,토 11:00 ~ 01:00",02-422-5021,www.dthrone.com,#카페 #데이트코스 #분위기좋은 #소개팅,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F060F217EA7944FFDBE78BF04973A1995,127.1048915,37.50911503
9,송파구,418254115,앙떼띠 잠실점,3.7,47건,"서울 송파구 올림픽로 342 아울타워 1,2층",송파구 방이2동,"영업시간&월~금 11:00 ~ 19:30&토,일 11:00 ~ 21:00&월~금 라스트오더 ~ 19:00&토,일 라스트오더 ~ 20:30",02-420-7410,www.instagram.com/entete___,#디저트카페 #제로페이,"메뉴 이름: Americano 가격: 5,300++메뉴 이름: Cafe Latte 가격: 5,800++메뉴 이름: Natural Vanilla Latte 가격: 6,800",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC7BAB0D6419C4C1BB1CF02BAD597FD41,127.1082792,37.51568028
