,구,URL_ID,카페명,평점,리뷰개수,주소,행정동,영업시간,전화번호,홈페이지주소,태그,메뉴,대표사진주소,경도,위도
0,영등포구,339122660,카페1953위드오드리,4.2,72건,서울 영등포구 경인로77가길 12 1층,영등포구 문래동,영업시간&매일 10:00 ~ 22:00,02-2672-0504,jood.blog.me,#카페 #로스팅전문 #브런치카페 #빈티지분위기 #소개팅 #제로페이,"메뉴 이름: 아메리카노 가격: 3,900++메뉴 이름: 카페라떼 가격: 4,500++메뉴 이름: 그린티 라떼 가격: 5,500++메뉴 이름: 클래식 로얄 밀크티 가격: 5,500++메뉴 이름: 얼그레이 밀크티 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F6E8BD6E9538C4DDDBEA8E27A6CA2D972,126.8920766,37.51190917
1,영등포구,2137940343,호텔707,3.2,84건,서울 영등포구 도림로139길 2-2,영등포구 문래동,"영업시간&월~목 11:00 ~ 01:00&금,토 11:00 ~ 02:00&일 11:00 ~ 23:00",02-2636-8694,www.instagram.com/hotel707,#카페 #데이트코스 #루프탑있는,"메뉴 이름: 아메리카노 가격: 5,500++메뉴 이름: 카페라떼 가격: 6,000++메뉴 이름: 바닐라라떼 가격: 6,500++메뉴 이름: 블루에이드 가격: 7,000++메뉴 이름: 레몬에이드 가격: 7,000&",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F0C68D6A0D83748028035030FC85E82E0,126.8933688,37.51467845
2,영등포구,409589446,마호가니커피 여의도점,3.4,57건,서울 영등포구 여의대로 66 KTB빌딩 1층,영등포구 여의동,영업시간&매일 07:00 ~ 22:00,02-785-8880,www.instagram.com/mahoganycafe,#카페 #소개팅,"메뉴 이름: 아메리카노 가격: 4,500++메뉴 이름: 카페라떼 가격: 5,200++메뉴 이름: 카페모카 가격: 6,000++메뉴 이름: 콜드브루 가격: 5,000++메뉴 이름: 유자차 가격: 5,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F78480E521007418DA16176CD1295C21A,126.9237084,37.52455146
3,영등포구,1365914285,카페드레이프,3.8,45건,서울 영등포구 양산로 146,영등포구 당산1동,영업시간&매일 11:00 ~ 22:00&휴무일&설당일&추석당일,02-6014-0608,www.instagram.com/cafedrape,#카페 #감성카페 #카카오페이 #제로페이,"메뉴 이름: 아메리카노 가격: 4,000++메뉴 이름: 카페라떼 가격: 4,500++메뉴 이름: 얼그레이 가격: 5,500++메뉴 이름: 핫 초콜릿 가격: 5,000++메뉴 이름: 자몽에이드 가격: 5,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA05F24A346C04C63AAEF4212E2588B7D,126.8991172,37.52348591
4,영등포구,2122184252,더플레이트디저트 더현대서울점,3.7,21건,서울 영등포구 여의대로 108 지하1층,영등포구 여의동,영업시간&월~목 10:30 ~ 20:00&금~일 10:30 ~ 20:30,02-3277-0796,blog.naver.com/theplatedessert,#디저트카페 #디저트카페,"메뉴 이름: 아메리카노 가격: 3,500++메뉴 이름: 카페라떼 가격: 4,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FC758B3A6BE6342FBB44852B2DC7A0183,126.927861,37.52706055
5,영등포구,1365174522,카페진정성 여의도점,3.5,56건,서울 영등포구 국제금융로8길 31 SK증권빌딩 1층,영등포구 여의동,"영업시간&월~목 08:00 ~ 17:00&토,일 11:00 ~ 19:00&금 08:00 ~ 19:00",02-6484-5133,www.cafejinjungsung.com,#카페 ,"메뉴 이름: 아메리카노 가격: 4,200++메뉴 이름: 카페라떼 가격: 4,500++메뉴 이름: 바닐라빈라떼 가격: 5,000++메뉴 이름: 정말착한 밀크쉐이크 가격: 6,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FDB3FB5EC60EB4D499A107E24C98D9F6E,126.9280668,37.51974708
6,영등포구,469431212,카페솔트,3.8,50건,서울 영등포구 도림로133길 12 1층,영등포구 문래동,영업시간&화~토 13:00 ~ 22:00&일 13:00 ~ 20:00&휴무일&월요일,0507-1338-1540,www.instagram.com/mullae_salt_official,#카페 #빈티지분위기,"메뉴 이름: 아메리카노 가격: 4,500++메뉴 이름: 카페라떼 가격: 5,000++메뉴 이름: 솔트커피 가격: 6,000++메뉴 이름: 흑당 보틀밀크티 가격: 7,500++메뉴 이름: 스윗초코플레이트 가격: 7,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA96D91CE3E2F409695CE1EBF6A35B5E3,126.8941564,37.51339473
7,영등포구,374528030,공간다반사,3.9,37건,서울 영등포구 당산로52길 4,영등포구 당산2동,"영업시간&수~토 12:00 ~ 21:00&월,일 12:00 ~ 18:00&화 12:00 ~ 23:00",070-7785-2224,blog.naver.com/baesiso,#카페 #감성카페 #데이트코스 #빈티지분위기 #제로페이,"메뉴 이름: 아메리카노 가격: 3,500++메뉴 이름: 카페라떼 가격: 4,000++메뉴 이름: 레몬 마테 피에스타 가격: 6,000++메뉴 이름: 녹차 가격: 6,500++메뉴 이름: 여자홍 (양귀비의 미소) 가격: 6,500",,126.9036483,37.53520389
8,영등포구,459660544,시즌커피앤베이크,4.1,53건,서울 영등포구 양산로9길 12-1,영등포구 양평1동,영업시간&매일 08:00 ~ 22:00,02-2676-7161,www.instagram.com/seasoncoffeeandbakeshop,#카페 #베이커리카페 #빈티지분위기 #한옥스타일 #제로페이,"메뉴 이름: 에스프레소 가격: 3,200++메뉴 이름: 아메리카노 가격: 3,700++메뉴 이름: 바닐라 빈 라떼 가격: 4,800++메뉴 이름: 커버취 초코 가격: 5,300++메뉴 이름: 밀크티 가격: 5,800",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC7C4F538A1834D359D83AD73E09777E3,126.888804,37.52634543
9,영등포구,591245646,이스트우드,4.5,40건,서울 영등포구 도신로17길 6 1층,영등포구 도림동,영업시간&매일 09:00 ~ 22:00&휴무일&연중무휴,070-4459-0103,www.instagram.com/cafe.eastwood,#카페 #디저트카페 #제로페이,"메뉴 이름: 숏 블랙(HOT S) 가격: 3,500++메뉴 이름: 롱 블랙(HOT S) 가격: 3,500++메뉴 이름: 라떼(HOT S) 가격: 4,500++메뉴 이름: 밀크 티 가격: 5,800++메뉴 이름: 이스트우드 아이스티(L) 가격: 5,800",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F474833181BE04E7AB2A7D6F7EB76F983,126.8996628,37.50668641
