,구,URL_ID,카페명,평점,리뷰개수,주소,행정동,영업시간,전화번호,홈페이지주소,태그,메뉴,대표사진주소,경도,위도
0,용산구,711864705,맥심플랜트,4.3,160건,서울 용산구 이태원로 250,용산구 한남동,영업시간&매일 10:00 ~ 22:00&휴무일&연중무휴,070-4287-8557,www.maximplant.co.kr/web,#카페 #로스팅전문 #루프탑있는,"메뉴 이름: 에스프레소 가격: 4,000&메뉴 이름: 아메리카노 가격: 4,500&메뉴 이름: 카페라떼 가격: 5,000&메뉴 이름: 카푸치노 가격: 5,000&메뉴 이름: 바닐라 라떼 가격: 5,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_44925071,127.0009961,37.53698828
1,용산구,256884650,사유,3,95건,서울 용산구 이태원로54길 5,용산구 한남동,영업시간&매일 11:00 ~ 22:00,02-2289-9050,www.instagram.com/sayoo.kr,#갤러리카페 #데이트코스 #루프탑있는,"메뉴 이름: 아메리카노 가격: 6,000&메뉴 이름: 스페셜브루잉 가격: 8,000&메뉴 이름: 멜로우 가격: 7,000&메뉴 이름: 뱅쇼 가격: 8,000&메뉴 이름: 클래식 카카오 가격: 8,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F2CF0C6FF3E35416A987483EB163BB171,127.0019369,37.53805135
2,용산구,27514796,더로열푸드앤드링크,3,60건,서울 용산구 신흥로20길 37 1층,용산구 후암동,영업시간&매일 10:00 ~ 21:00,070-7774-4168,www.facebook.com/theroyalfad,#카페 #루프탑있는 #브런치카페 #빈티지분위기,"메뉴 이름: 로열스브렉퍼스트 가격: 16,500&메뉴 이름: 치킨하머스플레이트 가격: 16,000&메뉴 이름: 연어아보카도플레이트 가격: 17,500&메뉴 이름: 템페하머스플레이트(비건) 가격: 15,500&메뉴 이름: 두유요거트볼(비건) 가격: 12,500&메뉴 이름: 치킨바질페스토샌드위치 가격: 10,000&메뉴 이름: 브렉퍼스트베이글 가격: 7,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FE18376189ADB4CDA8813D05CFC8914CB,126.9839353,37.54718243
3,용산구,1958239830,오츠커피,4.6,109건,서울 용산구 원효로89길 13-12,용산구 원효로1동,"영업시간&월~금 11:00 ~ 20:00&토,일 12:00 ~ 20:00",,www.instagram.com/oatscoffee,#카페 #로스팅전문,"메뉴 이름: 아메리카노 가격: 4,000&메뉴 이름: 더치 가격: 4,000&메뉴 이름: 더치라떼 가격: 4,500&메뉴 이름: 플랫화이트 가격: 4,500&메뉴 이름: 카페라떼 가격: 4,500&메뉴 이름: 아인슈페너 가격: 5,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1820967353,126.9677598,37.54040566
4,용산구,1456774315,오아시스 한남점,3.1,38건,"서울 용산구 이태원로45길 30 1,2층",용산구 한남동,영업시간&월~토 09:00 ~ 20:00&일 09:00 ~ 18:00,02-790-8906,www.instagram.com/oasisbrunch,#디저트카페 #데이트코스 #브런치카페,"메뉴 이름: 아메리카노 가격: 5,500&메뉴 이름: 라떼 가격: 6,000&메뉴 이름: 오렌지 에이드 가격: 7,800&메뉴 이름: 잉글리쉬 브랙퍼스트 가격: 19,500&메뉴 이름: 버터스캇치 피칸&월넛 타르트 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FFE4ACDEA0C6D4B518450E2D87E7729B1,126.9979666,37.53660021
5,용산구,27436567,오리올,3.3,56건,서울 용산구 신흥로20길 43,용산구 후암동,"영업시간&수~일 14:00 ~ 22:00&휴무일&월,화요일",02-6406-5252,instagram.com/oriole_hbc,#카페 #데이트코스 #루프탑있는 #브런치카페 #비스트로 #전망좋은 #칵테일바,"메뉴 이름: 에스프레소 가격: 4,500&메뉴 이름: 아메리카노 가격: 5,000&메뉴 이름: 카페라떼 가격: 5,500&메뉴 이름: 블랙티 가격: 5,500&메뉴 이름: 로얄밀크티 가격: 6,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F7B3D0CB8BAAB4669B8788403D98F228D,126.9840605,37.54740272
6,용산구,1143868163,챔프커피 2작업실,3.7,87건,서울 용산구 녹사평대로26가길 24 1층,용산구 이태원1동,영업시간&매일 09:00 ~ 21:00,02-790-4516,champcoffee.com,#커피전문점 #데이트코스 #로스팅전문 #제로페이,"메뉴 이름: 챔프커피 가격: 4,500&메뉴 이름: 퀸즈커피 가격: 5,500&메뉴 이름: 이태원커피 가격: 5,500&메뉴 이름: 레몬에이드 가격: 6,000&메뉴 이름: 챔프 카카오 (HOT) 가격: 6,500&메뉴 이름: 챔프 초코쿠키 가격: 2,500&메뉴 이름: 챔프 티라미수 가격: 7,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F8CF7DBFBDB6D41EBA23EF171BF0AAA07,126.9928434,37.53252557
7,용산구,27462552,오리지널 팬케익하우스 이태원점,3,56건,서울 용산구 이태원로 153 덕흥빌딩 1층,용산구 이태원1동,"영업시간&월~금 09:00 ~ 21:00&토,일 08:00 ~ 21:00",02-795-7481,originalpancakehouse.co.kr,#디저트카페 ,"메뉴 이름: 이탈리안 오믈렛 가격: 20,000&메뉴 이름: 치킨텐더샐러드 가격: 20,000&메뉴 이름: 할라피뇨&베이컨 감자해쉬 가격: 19,000&메뉴 이름: 사우스웨스턴 해쉬브라운 가격: 19,000&메뉴 이름: 버터밀크 팬케이크 가격: 10,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F22BFCD900BA3473D9EC10FF8066F8E25,126.9909894,37.53459755
8,용산구,27344582,앤트러사이트 한남점,3.6,96건,서울 용산구 이태원로 240 1~3층,용산구 한남동,"영업시간&월~목 09:00 ~ 22:00&토,일 10:00 ~ 23:00&금 09:00 ~ 23:00",02-797-7508,anthracitecoffee.com,#카페 #로스팅전문 #빈티지분위기 #핸드드립전문점,"메뉴 이름: 에스프레소 가격: 4,000&메뉴 이름: 아메리카노 가격: 5,000&메뉴 이름: 베이비라테 가격: 5,500&메뉴 이름: 카푸치노 가격: 5,500&메뉴 이름: 카페라떼 가격: 5,500&메뉴 이름: 아리차 내츄럴 가격: 5,500&메뉴 이름: 니예리 가격: 6,000",,127.0001636,37.53610811
9,용산구,12684084,동빙고,3.7,87건,서울 용산구 이촌로 319,용산구 이촌1동,영업시간&매일 10:30 ~ 22:00,02-794-7171,,#카페 ,"메뉴 이름: 단팥죽 가격: 7,000&메뉴 이름: 팥빙수 가격: 7,500&메뉴 이름: 미숫가루팥빙수 가격: 8,000&메뉴 이름: 녹차빙수 가격: 8,000&메뉴 이름: 커피빙수 가격: 8,500&메뉴 이름: 아메리카노 가격: 4,000&메뉴 이름: 아이스아메리카노 가격: 4,500&메뉴 이름: 수정과 가격: 6,000",,126.9823261,37.51796148
