,구,URL_ID,카페명,평점,리뷰개수,주소,행정동,영업시간,전화번호,홈페이지주소,태그,메뉴,대표사진주소,경도,위도
0,종로구,1974266862,카페노티드 안국,3.2,166건,서울 종로구 북촌로 6-3 1층,종로구 가회동,영업시간&매일 10:00 ~ 21:00,0507-1337-9973,www.instagram.com/cafeknotted,#카페 ,"메뉴 이름: AMERICANO 가격: 4,000++메뉴 이름: CAFE LATTE 가격: 5,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD7A972771E814F5B8FA1A7A336D5FD40,126.9860088,37.57740915
1,종로구,353512935,블루보틀 삼청 카페,3.2,157건,서울 종로구 북촌로5길 76 1~3층,종로구 삼청동,영업시간&매일 10:00 ~ 20:00,02-6212-6998,www.bluebottlecoffeekorea.com,#카페 ,"메뉴 이름: 아메리카노 (AMERICANO) (hot/iced) 가격: 5,000++메뉴 이름: 라떼 (LATTE) (hot/iced) 가격: 6,100++메뉴 이름: 블렌드 (드립) 가격: 5,200++메뉴 이름: 놀라 플로트 (NOLA FLOAT) 가격: 7,200++메뉴 이름: 레몬 유자 피즈 (LEMON YUJU FIZZ) 가격: 4,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F7910A6A9E4BD4B09AD29AEAA530E5D60,126.980863,37.58015151
2,종로구,853028118,어니언 안국점,3.3,160건,서울 종로구 계동길 5,종로구 가회동,"영업시간&월~금 07:00 ~ 22:00&토,일 09:00 ~ 22:00&휴무일&연중무휴",070-7543-2123,www.instagram.com/cafe.onion,#카페 #데이트코스 #한옥카페,"메뉴 이름: Americano 가격: 4,500++메뉴 이름: Cafe latte 가격: 5,000++메뉴 이름: Peppermint Tea 가격: 6,000++메뉴 이름: Chamomile Tea 가격: 6,000++메뉴 이름: White Tea 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F87AF63653AA24505AF49A0631770F0C7,126.98649,37.57752049
3,종로구,1508329235,스태픽스,3.3,110건,서울 종로구 사직로9길 22 102호,종로구 사직동,영업시간&매일 10:00 ~ 21:00&휴무일&마지막 월요일,0507-1341-2055,www.instagram.com/staffpicks_official,#카페 #애견동반식당,"메뉴 이름: cake 가격: 6,900",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F1035344E134D4FF6B5F934DB7A7A99FD,126.9681371,37.57751133
4,종로구,7912367,산모퉁이,3.2,89건,서울 종로구 백석동길 153,종로구 부암동,"영업시간&월~금 11:00 ~ 19:00&토,일 11:00 ~ 21:00",02-391-4737,www.sanmotoonge.co.kr,#카페 #데이트코스 #제로페이,"메뉴 이름: 에스프레소 가격: 7,000++메뉴 이름: 아메리카노 가격: 7,000++메뉴 이름: 카페라떼 가격: 8,000++메뉴 이름: 카푸치노 가격: 8,000++메뉴 이름: 바닐라라떼 가격: 8,000++메뉴 이름: 카라멜 마끼아또 가격: 8,000++메뉴 이름: 발로나카페모카 가격: 8,000++메뉴 이름: 복숭아아이스티 가격: 8,000++메뉴 이름: 로얄밀크티 가격: 8,000++메뉴 이름: 수제유자차 가격: 8,000++메뉴 이름: 수제모과차 가격: 8,000++메뉴 이름: 리얼레몬차 가격: 8,000++메뉴 이름: 초코라떼 가격: 8,000++메뉴 이름: 레몬에이드 가격: 10,000++메뉴 이름: 캐모마일 가격: 8,000++메뉴 이름: 페퍼민트 가격: 8,000++메뉴 이름: 루이보스 가격: 8,000++메뉴 이름: 얼그레이 가격: 8,000++메뉴 이름: 오페라 케이크 가격: 7,000++메뉴 이름: 산딸기 케이크 가격: 7,000++메뉴 이름: 초코칩쿠키 가격: 7,000++메뉴 이름: 아몬드쿠키 가격: 7,000++메뉴 이름: 마들렌 가격: 7,000++메뉴 이름: 클라우드 가격: 9,000++메뉴 이름: 호가든 가격: 10,000++메뉴 이름: 하이네켄 가격: 10,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FB3981B68685B4BD09C9774ADBED5C875,126.9679938,37.59545644
5,종로구,24725284,테라로사 광화문점,3.7,75건,서울 종로구 종로1길 50,종로구 종로1.2.3.4가동,"영업시간&월~금 07:30 ~ 22:00&토,일 08:00 ~ 22:00&매일 라스트오더 ~ 21:30&공휴일&08:00 ~ 22:00",,www.terarosa.com,#커피전문점 #로스팅전문 #핸드드립전문점,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC14FFF2852554042BD6BBB245442C738,126.979615,37.57477174
6,종로구,1429224581,아키비스트,3.7,104건,서울 종로구 효자로13길 52,종로구 청운효자동,영업시간&매일 11:00 ~ 21:00&매일 라스트오더 ~ 20:30,,instagram.com/cafearchivist,#카페 ,"메뉴 이름: 아인슈페너 (ICE) 가격: 6,000++메뉴 이름: 크림라떼 (ICE) 가격: 6,000++메뉴 이름: 루이보스 슈프림 가격: 6,000++메뉴 이름: 아메리카노 가격: 5,000++메뉴 이름: 카페라떼 가격: 5,500++메뉴 이름: 자몽에이드 가격: 7,000",,126.9726785,37.58221762
7,종로구,27187492,포비 광화문점,4.1,130건,서울 종로구 종로3길 17 광화문D타워 1층 21호,종로구 종로1.2.3.4가동,"공휴일&10:00 ~ 22:30&영업시간&월~금 08:00 ~ 21:00&토,일 10:00 ~ 21:00",02-2251-8125,www.fourb.co.kr,#카페 #제로페이,"메뉴 이름: ESPRESSO 가격: 3,500++메뉴 이름: LONG BLACK 가격: 3,500++메뉴 이름: CAPPUCCINO 가격: 4,500++메뉴 이름: DRIP COFFEE 가격: 4,500++메뉴 이름: CHOCOLATE LATTE 가격: 4,500++메뉴 이름: PLAIN BAGEL 가격: 2,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC0F59E2D9BF34E3AAE4B6FD45190EB4E,126.9789144,37.57099652
8,종로구,8082652,차마시는 뜰,4.4,90건,서울 종로구 북촌로11나길 26 1층,종로구 삼청동,"영업시간&화~금 12:00 ~ 21:00&토,일 11:00 ~ 21:00&휴무일&월요일",02-722-7006,www.instagram.com/cha.teul,#전통찻집 #데이트코스,"메뉴 이름: 쌍화탕 가격: 9,000++메뉴 이름: 대추탕 가격: 9,000++메뉴 이름: 녹차 (특우전) 가격: 17,000++메뉴 이름: 발효차 가격: 17,000++메뉴 이름: 감잎차 가격: 11,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FAE0D37F7E91E4CA2BAD49F0EED7E75AF,126.9822645,37.58220255
9,종로구,1154772851,프릳츠 원서점,3.2,102건,서울 종로구 율곡로 83,종로구 가회동,영업시간&매일 10:00 ~ 21:00&휴무일&명절,02-747-8101,fritz.co.kr,#카페 #데이트코스 #빈티지분위기 #카카오페이 #제로페이,"메뉴 이름: 산딸기 크루아상 가격: 4,100++메뉴 이름: 에스프레소 가격: 4,400++메뉴 이름: 아메리카노 가격: 4,600++메뉴 이름: 카페라떼 가격: 5,000++메뉴 이름: 카푸치노 가격: 5,000++메뉴 이름: 브리오슈 가격: 4,100++메뉴 이름: 빵오누텔라 가격: 4,600",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FF02C16E8C0DE4407B34B4E9307827615,126.9884165,37.57776212
