,구,URL_ID,카페명,평점,리뷰개수,주소,행정동,영업시간,전화번호,홈페이지주소,태그,메뉴,대표사진주소,경도,위도
0,중구,1709558766,호랑이,3.5,182건,서울 중구 을지로 157 대림상가 3층 라열 351호,중구 을지로동,"영업시간&화~토 11:00 ~ 21:00&휴무일&월,일요일",02-2269-5880,instagram.com/horangiicoffee,#카페 #데이트코스 #빈티지분위기 #제로페이,"메뉴 이름: 호랑이라떼 가격: 3,500&메뉴 이름: 아메리카노 가격: 4,000&메뉴 이름: 후르츠산도 가격: 8,000&메뉴 이름: 쌀앙금카스테라 가격: 3,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F85469B761FAC4BDDBA34C7E941553779,126.9954509,37.56714642
1,중구,1345866783,적당,3.8,93건,서울 중구 을지로 29 1층,중구 명동,"영업시간&매일 10:00 ~ 21:30&이용시 주의 사항&Last order 21:00, 연중무휴",0507-1312-8928,www.instagram.com/jeokdang_,#카페 #제로페이,"메뉴 이름: 아메리카노 가격: 4,300&메뉴 이름: 팥라떼 가격: 6,500&메뉴 이름: 밤양갱 가격: 2,800",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F98470FA94CD14C1ABD31F8DC4D746D9B,126.9810244,37.56648782
2,중구,87323834,더스팟 패뷸러스,3.7,114건,"서울 중구 명동2길 22 1,2층",중구 명동,영업시간&매일 10:30 ~ 22:00&휴무일&연중무휴,02-779-1981,www.instagram.com/the_spot_fabulous_,#커피전문점 #감성카페 #디저트카페 #명동맛집 #명동카페 #을지로카페 #분위기좋은 #비건푸드 #앤틱한 #제로페이,"메뉴 이름: 마카롱 가격: 3,000&메뉴 이름: 쿠키 가격: 3,800&메뉴 이름: 휘낭시에 가격: 3,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F04B26B3632764C5CB13AEF45D43DBE14,126.9826016,37.56233502
3,중구,1198183678,커피앤시가렛,3.9,93건,서울 중구 서소문로 116 유원빌딩 17층,중구 소공동,영업시간&월~금 08:30 ~ 21:00&토 11:00 ~ 21:00&휴무일&일요일,02-777-7557,www.instagram.com/coffeeandcigarettes1706,#카페 #제로페이,"메뉴 이름: 아메리카노 가격: 4,500&메뉴 이름: 카페라떼 가격: 5,000&메뉴 이름: 콜드브루 가격: 5,300&메뉴 이름: 베이비라떼 가격: 6,500",,126.9740097,37.56273538
4,중구,1440347564,커피한약방,3.7,174건,서울 중구 삼일대로12길 16-6,중구 명동,영업시간&월~토 11:00 ~ 22:00&일 11:00 ~ 20:00,070-4148-4242,,#커피전문점 #데이트코스 #레트로풍 #로스팅전문 #빈티지분위기 #핸드드립전문점 #카카오페이 #제로페이,"메뉴 이름: 필터 커피 가격: 4,500&메뉴 이름: 필터 스페셜 가격: 5,500&메뉴 이름: 카페 라떼 가격: 4,800&메뉴 이름: 생과일 쥬스 가격: 6,000&메뉴 이름: 와인 에이드 가격: 5,800",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5F2F81716F91466086E5EA77D2C6042C,126.9886112,37.56657383
5,중구,243733683,덕수궁 리에제와플,3.5,159건,서울 중구 덕수궁길 5 1층,중구 소공동,"영업시간&월~금 08:00 ~ 21:30&토,일 09:00 ~ 21:30",02-318-5202,liegewaffle.modoo.at,#카페 #제로페이,"메뉴 이름: 와플 유기농 육보 생딸기 가격: 9,500&메뉴 이름: 와플블루베리크림치즈 가격: 6,800&메뉴 이름: 와플 벨지움 헤이즐넛 초코 가격: 7,200&메뉴 이름: 와플 피넛버터 가격: 6,500&메뉴 이름: 와플 벨지운 초코 가격: 5,800&메뉴 이름: 와플 크림치즈 가격: 5,300&메뉴 이름: 와플 메이플 시나몬 가격: 4,800&메뉴 이름: 와플 메이플 가격: 4,800&메뉴 이름: 와플 플레인 가격: 3,900&메뉴 이름: 아메리카노 가격: 3,800&메뉴 이름: 카페라떼 가격: 4,200&메뉴 이름: 바닐라라떼 가격: 4,600&메뉴 이름: 카푸치노 가격: 4,200&메뉴 이름: 리에제라떼 가격: 4,600&메뉴 이름: 홍차밀크티 가격: 4,200&메뉴 이름: 더블초콜릿 가격: 4,800&메뉴 이름: 유기농 육보 생딸기 우유 가격: 6,200&메뉴 이름: 봉동생강차 가격: 5,200&메뉴 이름: 유기농 육보 생딸기 주스 가격: 5,800",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC154D8B00AB34BB382EE30334FB922D1,126.9764419,37.56477422
6,중구,253560122,루소랩 정동점,4.3,94건,서울 중구 정동길 17 이화정동빌딩,중구 소공동,"영업시간&월~금 08:00 ~ 20:00&토,일 09:00 ~ 20:00&이용시 주의 사항&(브런치 운영시간 : 10:00~14:00)",02-772-9935,www.lussolab.co.kr,#카페 #브런치카페,"메뉴 이름: 아메리카노 가격: 5,000&메뉴 이름: 카페라떼 가격: 6,000&메뉴 이름: 더치루소시그니처 (ICED) 가격: 8,000&메뉴 이름: 얼그레이 가격: 6,000&메뉴 이름: 시그니처초콜릿 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FE3276E01B7B74318893C38B5258A712C,126.970641,37.56716054
7,중구,1873478634,리사르커피로스터스 약수점,4.7,160건,서울 중구 다산로8길 16-7 1층,중구 약수동,영업시간&월~토 07:00 ~ 15:30&휴무일&일요일,070-7677-5538,www.instagram.com/leesarcoffee,#커피전문점 #로스팅전문,"메뉴 이름: 카페 에스프레소 가격: 1,500&메뉴 이름: 카페 스트라파짜토 가격: 1,800&메뉴 이름: 하우스블렌드 다크 가격: 13,000&메뉴 이름: 하우스블렌드 마일드 가격: 13,000&메뉴 이름: 카페 피에노 가격: 2,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FA98FF1AAD07546748984D41187025F39,127.0104261,37.55247124
8,중구,1982412866,챔프커피 제3작업실,4.1,68건,서울 중구 을지로 157 대림상가 라열 3층 381호,중구 을지로동,영업시간&매일 12:00 ~ 20:00&휴무일&공휴일,010-8943-4516,champcoffee.com,#커피전문점 #제로페이,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB909E891CEE14723A09DD516CF881F8E,126.9954509,37.56714642
9,중구,1769574951,더하우스1932,4.1,51건,서울 중구 만리재로35길 7,중구 중림동,영업시간&월~토 10:00 ~ 21:00&일 11:00 ~ 19:00,02-365-1932,thehouse1932.co.kr,#카페 #로스팅전문 #제로페이,"메뉴 이름: 에스프레소 (HOT) 가격: 4,500&메뉴 이름: 아메리카노 가격: 4,500&메뉴 이름: 플랫화이트 가격: 5,500&메뉴 이름: 라떼 (플레인) 가격: 5,500&메뉴 이름: 씨그니쳐 티 가격: 7,500",,126.9673896,37.555549
