|기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,아파트_평균_면적,아파트_평균_시가
0|2021,3,D,발달상권,1001130,청담역_1,1,,,,,46,,,,,,,46,214,2949521739,
1|2021,2,U,관광특구,1001495,잠실 관광특구,26,727,200,238,644,192,11,239,420,89,50,22,1170,87,566567911,
2|2021,1,U,관광특구,1001495,잠실 관광특구,22,698,200,238,644,192,16,348,283,83,70,16,1156,89,527347107,
3|2021,3,R,전통시장,1001473,청담삼익시장,1,,,,48,,,,,,,,48,162,2708416667,
4|2021,2,U,관광특구,1001494,종로?청계 관광특구,8,345,11,,,,76,280,,,,,,39,114850602,
5|2021,1,U,관광특구,1001494,종로?청계 관광특구,5,346,10,,,,77,279,,,,,,39,112097903,
6|2021,3,D,발달상권,1001138,압구정 로데오거리_1,14,8,7,5,26,111,,,,2,10,1,144,189,2345576003,
7|2021,2,U,관광특구,1001493,동대문패션타운 관광특구,11,603,97,151,104,29,,507,154,28,,4,291,51,245511812,
8|2021,1,U,관광특구,1001493,동대문패션타운 관광특구,8,567,97,151,104,29,,472,159,22,,24,271,53,237967427,
9|2021,3,D,발달상권,1001131,청담역_2,8,250,,178,8,45,,,16,,,12,453,103,1857382144,
10|2021,2,U,관광특구,1001491,이태원 관광특구,70,338,197,52,64,61,10,81,96,200,143,77,105,82,428764829,
11|2021,1,U,관광특구,1001491,이태원 관광특구,71,343,198,55,64,61,14,87,98,221,123,91,87,82,409473123,
12|2021,3,D,발달상권,1001053,서울 강남구 대치역_1,1,,140,,,,,,,,,,140,84,1823785714,
13|2021,2,R,전통시장,1001490,길동복조리시장,39,410,387,,2,17,23,314,121,149,178,30,1,62,191078841,
14|2021,1,R,전통시장,1001490,길동복조리시장,37,410,387,,2,17,24,322,144,164,161,,1,62,183067389,
15|2021,3,D,발달상권,1001054,서울 강남구 대치역_2,2,,158,,,,,,,,,,158,86,1724918269,
16|2021,2,R,전통시장,1001489,둔촌역전통시장,8,42,76,9,2,1,5,31,24,68,1,1,,63,197751693,
17|2021,1,R,전통시장,1001489,둔촌역전통시장,8,42,76,9,2,1,5,30,25,66,3,1,,63,195748977,
18|2021,3,D,발달상권,1001170,공덕역,1,,,,,114,,,,,,,114,196,1518350877,
19|2021,2,R,전통시장,1001488,성내골목시장,11,66,63,1,,,12,52,6,60,,,,44,152871984,
20|2021,1,R,전통시장,1001488,성내골목시장,11,66,63,1,,,12,54,4,60,,,,44,148468044,
21|2021,3,A,골목상권,1000910,도산대로81길,30,51,21,14,10,203,,4,25,10,11,3,246,155,1498271279,
22|2021,2,R,전통시장,1001486,동서울시장,1,4,,,,,,4,,,,,,45,176000000,
23|2021,1,R,전통시장,1001486,동서울시장,1,4,,,,,,4,,,,,,45,176000000,
24|2021,3,D,발달상권,1001145,용산 전자상가_1,2,,74,15,152,43,,,,,18,39,227,132,1488619553,
25|2021,2,R,전통시장,1001485,고분다리골목시장,2,15,,,,,2,11,2,,,,,46,156144643,
26|2021,1,R,전통시장,1001485,고분다리골목시장,2,15,,,,,2,11,2,,,,,46,156107143,
27|2021,3,D,발달상권,1001129,청담사거리_2,2,,1,61,29,3,,,,,,,94,125,1279693981,
28|2021,2,R,전통시장,1001484,양지골목시장,17,237,15,,18,,20,77,150,5,14,4,,55,187541526,
29|2021,1,R,전통시장,1001484,양지골목시장,17,237,15,,18,,20,85,142,6,17,,,55,181813715,
30|2021,3,A,골목상권,1000867,사평대로26길,2,9,3,,,18,,6,6,,,,18,172,1168854167,
31|2021,2,R,전통시장,1001483,암사종합시장,15,141,5,1,,,39,100,8,,,,,43,130506269,
32|2021,1,R,전통시장,1001483,암사종합시장,18,160,38,1,,,39,118,9,33,,,,46,143664435,
33|2021,3,D,발달상권,1001152,서울 광진구 강변역,1,,,,,54,,,,,,,54,184,1108370370,
34|2021,2,R,전통시장,1001482,고덕전통시장,1,6,,,,,,6,,,,,,41,177666667,
35|2021,1,R,전통시장,1001482,고덕전통시장,1,6,,,,,,6,,,,,,41,155000000,
36|2021,3,D,발달상권,1001077,선릉역_1,5,140,298,,,,,16,11,48,49,16,298,66,1011274857,
37|2021,2,R,전통시장,1001481,명일골목시장,5,203,372,,,,3,20,1,227,324,,,61,238201494,
38|2021,1,R,전통시장,1001481,명일골목시장,4,203,372,,,,4,20,,265,286,,,61,223508784,
39|2021,3,D,발달상권,1001127,서울 영등포구 여의도역_1,1,,,158,198,89,,,,,,,445,144,993514574,
40|2021,2,R,전통시장,1001480,새마을시장,47,438,19,3,,,16,225,164,49,6,,,40,215808647,
41|2021,1,R,전통시장,1001480,새마을시장,44,410,19,3,,,15,231,142,39,5,,,40,209797797,
42|2021,3,D,발달상권,1001212,서대문구 서대문역_1,2,120,212,15,,,,,,,,,347,72,987227169,
43|2021,2,R,전통시장,1001479,석촌시장,14,146,64,1,,,15,76,33,27,,,60,43,242990364,
44|2021,1,R,전통시장,1001479,석촌시장,13,146,64,1,,,19,75,34,23,,4,56,43,233575425,
45|2021,3,A,골목상권,1000919,삼성로57길,13,206,215,2,32,11,,,3,16,7,5,435,91,948267148,
46|2021,2,R,전통시장,1001478,방이시장,178,1292,185,13,5,19,93,595,701,88,13,5,19,49,214028232,
47|2021,1,R,전통시장,1001478,방이시장,174,1256,185,13,5,19,107,611,655,73,9,11,12,49,205632867,
48|2021,3,D,발달상권,1001122,여의도 시범아파트앞,3,,,108,170,166,,,,,2,96,346,162,928262961,
49|2021,2,R,전통시장,1001477,마천시장,6,36,16,,,,3,23,26,,,,,57,204376515,
50|2021,1,R,전통시장,1001477,마천시장,6,36,16,,,,3,23,26,,,,,57,195932239,
51|2021,3,D,발달상권,1001110,잠실역,5,493,,19,136,444,,,,30,226,244,592,152,919092490,
52|2021,2,R,전통시장,1001476,풍납시장,19,79,29,,,,10,73,25,,,,,55,160941704,
53|2021,1,R,전통시장,1001476,풍납시장,20,81,31,,,,12,77,23,,,,,55,153329405,
54|2021,3,A,골목상권,1000921,삼성로64길,26,334,307,211,11,,,6,5,15,5,9,823,77,910057744,
55|2021,2,R,전통시장,1001474,도곡시장,2,76,8,,,,,,,,8,,76,67,759927632,
56|2021,1,R,전통시장,1001474,도곡시장,1,76,8,,,,,,,,8,,76,67,639223684,
