URL_ID|카페명|리뷰
14984169|메이비|$$우선 매장내 콘센트는 없는듯 하고요 와이파이 접속도 제대로 안되는듯 하고요 (휴대폰 테더링해서 씀) 주차는 20,000원인가 이상 구매해야 2시간 줍니다 그래서 저는 별로.....(참고하세요.)$$$$불친절함$$구디에 이만한 브런치카페가 있나싶네요$$$$시끄럽고 와이파이가 잘 터지지 않아 공부나 업무 보기에는 불편할 수 있어요. 하지만 존맛. 특히 앙바터 존맛. 꼭 드세요$$스파이시 까르보 함박스테이크 시켰습니다. 처음엔 너무 맛있었는데 잘못으로 고추를 씹었더니 너무 매워서 눈물나고 콧물도 계속 나왔어요. 주의하세요. 직원한테 알려 줬는데 냉담하더라고요.$$인테리어 나쁘지 않고 커피랑 디저트가 맛있어요!  잠깐 있다가 가는 것 치곤 나쁘지 않아요 ㅎ$$구디에 이런곳이 있는게 너무좋아요$$진짜 최악.  방문시간 11시. 바쁜시간아니였고 손님도 얼마없었음. 1. 음식이 40분 걸려서 나옴. 2. 음식이 주문 자체가 잘 못 들어가서 다시 해야함.     심지어 음료도 잘 못 나왔음. 3. 사과 한마디도 없이 잘 못 나온거 먹고잇으면 새로 해준다함.  기분나빠서 음식 전체 안먹고 환불 받고 나왔네요. 손님이 없으면 배달이 많은 걸까요? 본인들이 ...$$브런치를 좋아해서 제가 애용하는 곳입니다. 벌써 여러번 갔었는데 늘 맛있네요 강추예요$$직원들이 4가지가없음  가격도 말도 안되게 비싸게 받음$$커피랑 파스타 먹을만해요 근데 알바분이 좀 미숙하신거 같아요 ㅠㅠ$$커피맛 그냥 그렇고 넓고 분위기는 괜찮아요.$$리얼 콜드브루 맛집이에여 콜드브루 좋아하시는분이면 엄청 좋아하실듯!$$이곳을 카페로 만들다니 사람들의 상상력과 트렌드란 정말 예측하기 힘드네요$$맛도 괜찮고 친절해요$$$$빵이 맛있고 파스타도 괜찮음$$여기딸기생크림케이크 맛집.. 갈수록 딸기가 줄긴 하는데 전 과일 안좋아하고 생크림 맛이 중요한거라 너무너무 좋아영 딸기 더 빼주세요(?)$$브런치 맛집이에요.  빵 종류 다양하고, 좌석도 많아요.  다음에는 앙버터랑 케이크 먹으러 갈게요 $$분위기도 좋고 디저트랑 커피맛은 말해뭐해요 카페 내부도 깔끔하고 이쁘고 강추합니다$$브런치 먹으러 가끔가요 분위기도 좋은데다가 맛있어요$$헤비하다는 리뷰가 있던데 무슨말인지 알거같아요. 스프도 정말 느끼하구요..$$브런치가 푸짐하고 맛있어서 가성비가 괜찮고, 매장이 넓고 천장이 높아서 답답하지 않아서 좋아요. 이 근방에서는 제일 괜찮은 브런치 카페인 것 같아요. 크로크마담 추천합니다^^$$가게는 분위기 좋으나 직원 때문에 다신 오지 않을 곳$$주문 잘못받아 놓고 대처도 너무 형편 없네요.. 위치하나로 먹고들어가는 카페. 1점도 아깝네요.$$무난. 브런치 메뉴 너무 헤비함.  그나마 가벼운 느낌의 메뉴가 리코타샐러드인데 이마저도 다른데에 지해 너무 헤비한 소스$$알바생이 4가지가 없음. 기분나쁘게 커피마시고 싶으신분은 가세요. $$넓고 쾌적~ $$직원분들도 친절하고 분위기도 너무 좋았어요~ 디저트도 맛있었고 커피랑도 무척 잘 어울렸어요~$$좋아요$$달달한거 먹고싶을때 좋아요$$평가 남기려고 로그인까지 함 알바생들인지 주문부터 서빙까지 전부 태도가 개별로여서 주문한거 취소하고 싶었음$$분위기도 좋고 매장이 커요 디저트도 다양하구요$$기본적으로 가격이 좀 있지만 이렇게 크고 분위기 좋은 카페는 구디에 없죠$$미묘하게 그럴싸한 음식을 미묘하게 비싸게 파는 곳. 위치선정과 컨셉을 참 잘 잡은 것 같다.$$브런치는 10시부터..가서 한참 기다렷네$$$$여기서 사먹은 치즈 타르트가 최고였어요. $$브런치 맛있어요 ㅠㅠ 구디 갈때마다 가는곳$$사람이 왜 많은건지..?$$직원들 서비스도 별로고 음료도 가격대비 별로네요 음료 맛도 갈 때마다 달라지는 것 같고 브런치도 가격대비 정말 별로였어요 대기시간도 길고 차라리 프렌차이즈 카페가 훨씬 나을 것 같네요$$브런치 너무맛있어요! 인테리어도 편안한 분위기에서 좋은시간.보내다왔네요!$$I dont get it why people visit here. expensive and taste? just nothing special$$카페 알바들이 기본이안되어있음 앞손님주문받고 자기들끼리 속닥거리고 비웃는것을보니 나도 주문하기 싫었음$$음식은 맛있으나 주문 받는 종업원의 태도에 불쾌했습니다 이른 시간이라 손님도 없었는데 뭐가 짜증나는지  불친절함에 아침부터 기분이 상했습니다^^ 알바생을 바꾸던지 교육을 제대로 시키셔야 할 듯 합니다 왠만하면 댓글 안쓰는데 직원의 태도에  올립니다 $$브런치맛있음 서비스별로 가끔근처가서먹을곳없먄갈듯$$커피 맛이 가격대비 너무 별로네요. 친절하지도 않고요. $$커피 별로고 서비스도 정말 별로에요. 다신 안올것같네요. $$무난하게 괜찮고 늦게까지 하는 큰카페라는게 큰 장점$$$$비추! 매운 파스타에 마른 고추 엄청 들어감 맛도 별로 식감도 별로인데 왜 넣었는지.. 음식 비싸지만, 직접 가져가야하고 친절하지도 않아 별로에요$$$$$$빵이랑 커피맛은 괜찮지만 직원분들 서비스 최악이에요. 그렇다고 막 엄청 뛰어난 맛은 아니니, 역과 제일 근접하다는게 큰 메리트입니다.$$이 근방에서 가장 괜찮은 곳이네요 쵸코라테 맛있구요 빵도 맛있어요!  이 근처 카페 다 그냥 구런데 여기는 아주 괜찮아요 ㅋㅋ$$메리 딸기요거트케익 샀는데 딸기가 위에 올라간 몇조각+가장자리에 둘러놓은거 그게 다임. 속에 딸기 전혀 안 들어있고 빵이랑 크림뿐임. 크림도 요거트맛 하나도 안나고 그냥 생크림이고, 딸기는 다 시들시들하고... 아무리 한철 장사라지만 ㅉㅉㅉ$$$$$$위생이 최악이네요 음료 케잌 모두 맛있었지만 화장실이 더 케어되어야 할 것 같아요 화장실위생이 저정도인걸로봐선 주방위생도 그닥좋진 않을듯 직원들은 케잌에대한 교육이 전혀 되어있지않아 빵에 대해 물어봐도 아무것도 모르시고  맛은있게 잘먹었습니다 내부 디자인도 이쁘고 사진찍기 좋았어요$$$$분위기 좋아요 .   쿠키들  맛이  있지만  음식들은  보통이예요  ~~^^$$$$$$$$다좋은데 창가 자리는 좀 춥다$$$$쏘쏘한 큰 카페$$$$구로에서 유일하게 좋아하는 카페 겸 브런치 가게. 인테리어도 맛도 가성비 좋은 곳. $$자리는 많으나 의자가 불편해요 위치가 좋고 매장이 커서 그런지 가격대가 높아요 근데 고르곤졸라 피자랑 알리올리오, 치즈오븐스파게티가 너무 맛나서 가끔 찾게돼요$$
1342180005|에버애프터|$$크로플 찐 맛집. 부드러우면서 바삭하네요~$$크로플 맛집$$$$카페가면 음료수 5분 안에 다 마시는데 맛없어서 남긴… 크로플도$$상당히 좋아요!!$$평일 오후인데도 자리가 반 이상 들어찰 정도로 인기있네요. 2개 층으로 나뉘어져 있고 따로 룸도 있어서 겉보기보다 꽤 넓어요! 커피도 맛있어서 앞으로도 종종 가고 싶네요 ㅎㅎ$$골목 사이에 이런 감성카페가 있었다니~~~ 날도 더운에 넓직하고 시원하고 음료랑 크로플도 맛나요♥ 주 1회 방문 각ㅋㅋㅋ 여자화장실은 윗층에 있는데 가글도 있어서 밥먹고 개운하게 디저트 먹을수있어요$$사장님들이 친절하시구 내부 인테리어도 예뻐요 특히 디저트가 맛있어요 크로플 강추 ~~♥︎$$가게 확장 전에도 음료가 맛나서 자주 갔었는데 확장하고 더 좋아졌어요ㅠㅠㅠ 퇴근길에 꼭 들리게돼요 특히 인절미 크로플은 두번 세번 드세요!!$$디저트는 진심으로 맛있습니다 커피도 맛있어요 하지만 영업시간이 제멋대로이고 쉬는날이 많습니다 그래서 저랑 제 여자친구는 “제멋대로 카페”라 칭합니다$$신도림에 이런 카페가ㅠㅠ 친구랑 가서 맛있게 먹고 왔답니당 크로플 왕맛있어요 음료도 맛잇고요ㅎㅎㅎ$$$$밀크티 맛있고 좋아요 ㅎㅎ 좀 더 공간이 넓었으면 좋겠다 ㅜㅜ$$카페 분위기가 요즘 감성이라 맘에들었어요 커피맛은 저는 쏘쏘였는데 같이간 친구는 맛있었다고 하네용  취향차이겠죠 ㅎㅎ$$좁고 불편해요$$분위기 괜찬구 커피도 괜찬아요 다만 아인슈패너 커피 산미가 넘 강하긴해요 ㅎ 약간 굴 같은 자리가 있어서 좋긴한데 추우니까 온풍기같은거 있음 달라고 물어보세옹! 저흰 못물어봤는데 계속 있긴 좀 추웠어요 ㅠㅜㅋㅋ$$음료도 괜찮고 인테리어도 괜찮지만 평일 저녁 알바생인지 사장님인지가 불친절합니다.. 굳이 다시 안오고 싶다는 생각이 들어요 ㅎㅎ 사장님이시라면 태도를 바꾸시든 알바생을 교체하시든 해야할 것 같아요. 그리고 음악이 고급스럽지가 않아요. 지하라서 약간 쿰쿰하기도 합니다..
924229434|밀리|$$차분한 분위기. 커피는 다소 아쉽다.$$커피가 맛있어요! 기본적인 아메리카노부터 산미 없이 고소하니 맛있고 특히나 제가 바닐라라떼 쳐돌이인데 바닐라라떼 인정입니다.$$인테리어도 좋고 커피맛도 나쁘지 않았어요~$$남자사장님, 여자직원분님 둘 다 마스크좀 써주세요. 노마스크로 샌드위치 만드시네요..$$친절하고 분위기도 좋고 맛도 좋아용
1820106061|데일리스위츠|$$이 동네에 이렇게 과일 들어간 디저트 가게가 거의 없는데, 데일리스위츠가 유일하죠. 저는 크레이프케이크 구매할때 직원들이 응대를 잘해주셨어요. 여기 리뷰 분위기 안 좋네요. 예전엔 불친절하셨던걸까요. 그 시절엔 안 가봐서 모르겠어요. 요즘은 잘 대해주십니다. 케이크 맛있어요. 조금 더 저렴했으면 좋겠어요.$$$$맛에 비해 비싼 가격? 그리고 서비스 = 별 1 들릴때마다.. 뭔가 사람을 반긴다라는 느낌을 못 받았어요 그렇게되면 손님은 장사 잘되니까? 그런가? 생각도 할 수 있죠.. 케이크 포장할때도 2개 포장시에는 따로인지 아닌지 물어볼수도 있는데 정말 매번 같이 포장해주세요 케이크가 작아서 두개 포장해도 하나같아요ㅋㅋ  맛있는 가게는 많아요 더 많이 생길거고 서비...$$맛에 비해 가격도 너무 비싼편이고 (케이크 한 조각에 4-5000원이면 될만한 맛입니다) 직원인지 사장인지 모르겠지만 남자 직원 응대 태도가 불쾌하네요. 이 파이가 어떤 파이냐고 물어보니 “옥수수파이.”라고 반말로 대답하더라구요. 그 이후로도 불친절하고 팔 마음이 전혀 없어보였네요. 후기를 보니 서비스에 많은 불만들이 있는데 전혀 개선할 의지가 없는건가요?...$$
25489976|브라운핸즈 구로점|$$아메리카노 원두는 선택 가능해서 좋았는데 의자가 좀 불편하구 인스타 올리기엔 좋을 것 같은 느낌이었어요 아인슈페너는 너무 셔요.. 아인슈페너 할 때 콜드브루나 강배전 원두나 다크한 원두 쓰셨으면 좋겠어요…$$오늘 안하나보네요..1층 조명은 켜져있는데 전화도 안받으시고 문도 안열려있어요ㅠㅠ$$나는 너무 좋던데 $$커피 진짜 비싸고 맛없어요.$$전체적으로 좋음 그리고 매장크기나 테이블에 비해 직원이 많은거 보면 사장도 좋은사람일듯 단점 1. 가격대가 좀 많이 비쌈 2. 화장실 변기 물수압이 약해서 응가할때 변기막힐까봐 무서움 그래도 다행히 막히진않음
1536002539|이미커피로스터스|$$예약을 선착순 접수라고 하는데 게시글 올리는 것과는 무관하게 DM 8시 딱되면 누가 더 빨리 보내냐 순임 예약 안된 시간은 카페주인이 여러명한테 동시에 찔러봐서 답변 빨리 주는 사람이 먼저임ㅋㅋㅋ 남구로 낙후된 곳 싸게 매입해서 꼴에 사전예약받으니 뭐나 되는 카페인 줄 착각하나 봄^^$$좋아요$$$$바리스타 사장님과 한 공간에 있는 것을 견딜 수 있다면 추천. 커피와 디저트 페어링 메뉴가 좋았다.  게이샤와 라벤더 크림브륄레$$전체적으로 분위도 좋았어요
649227503|히어로스터 신도림점|$$여기 진짜 먹어본 커피 중에 제일 맛있어요.$$여기 정말 좋아하는 곳이에요!  약 2년 전쯤 우연히 갔다가 다시 찾기 어려웠는데  여길 기억해낸 남편 덕분에 다시 갈 수 있어서 정말 행복했어요.  아인슈페너는 여전히 JMT $$아인슈페너도 맜있고 분위기도 있음 다만 화장실이 바깥이라 밤에는 무서움$$직원분은 친절한편은 아닌것같고 치즈케익 맛있었어요 (막입주의)  같이 간 동행은 라떼도 맛있었다고 합니다 $$분위기가 좋아서 자주가요
61473709|하이드아웃|$$자주가는 카페. 대학생들 많이와서 조용하고 도서관 같은 분위기 매우 만족$$인테리어 산뜻하고 아늑하네요. 화장실 깨끗하고 직원분도 친절하시구요. 다만 커피가 아쉬워요.$$근처 사는 전남친 보러 갔을 때 방문한 곳인데 한 번 갔는데도 인생 최고의 스터디카페라 잊혀지지가 않아요 가까우면 매일 방문할텐데 아쉽 분위기 너무 좋아요$$라떼 맛있네요 좌석도 많고 편하고... 근데 2층 식물있는 쪽에서 이상한 냄새가 나는 건 뭘까요ㅠㅠㅠ그것만 개선되면 완벽한 카페$$분위기 좋음
18691090|스타벅스 구로호텔점|$$좌석 너무 없어 서서 마심$$$$자리가 적어서 아쉽... 그만큼 좋다$$여자직원 불친절 $$직원분 친절하시니 좋았어요 체리 포레스트 케이크 부드러운 생크림케익에 진하고 은은한 화이트 초콜릿이 일품이었어요 안에 체리잼같은게있었는데 맛이 신기했어요 반면 초콜릿 크루아상은 퍽퍽하고 질겨서 실망스러웠습니다 크루아상안에있는 크림은 밍밍해 형편없었습니다.  전체적으로 편안한분위기와 친절한직원분들 때문에 재방문의사있습니다$$$$별 하나도 아깝네요 밑에 후기처럼 사람도 없는데 불친절해요$$스타벅스는 어디가나 항상 맛이 똑같아서 좋아용 근데 여기는 지금 코로나때문에 사람이 없어서 그런건지 뭣때문인지 불친절하시네영.. 바쁘면 바빠서 그러려니 할텐데 손님도 하나도 없는데..$$$$스벅은 스벅.. 맛은 어딜가든 같음$$$$$$$$$$늘 사람이 많다
4357040|스타벅스 신도림점|$$왔다갑니다$$친절한 직원분 내부도 청결~$$$$코로나로 주변이 시끄럽던데 잘됐으면 좋겠네$$맛있어요$$스타벅스는 언제나 옳다$$콜드블루 바닐라 너무 맛있어요 ㅠㅠ$$그 병과는 상관없다$$직원들도 친절하구 상냥하구 매장분위기 좋구 가성비갑 가성비굿~^^ㅎㅎ 구로 스타벅스 신도림점 강추합니다^^$$별 0은 없나요?$$직원분들 넘 친절!! 친근하게 잘 말해주셔요 사이렌오더도 다른데처럼 금방나왔어요 매장이 조금 작은편이지만 미친듯이 붐비진 않아서 좋았음 난방이 조금 약한편? $$개빡쳐서 리뷰씀. 매장에들어올때 걸레빤냄새나고 빡쳐서 스벅어플들어가서 스토어케어 등록할라면 고주파 인식안되고;큐알코드인식할라고 큐알코드찾을라하면 어딨는지 보이지도 않음;불만사항을 어떻게 바꾸겠다는건지;;음료주문받는 직원도 얼굴에 일하기싫다는 표정 나타나는데 커피를마시라는건지 말라는건지;:ㅎㅎ닉네임봤는데 근무태도 개선 필요할거같아요..!!스벅 평소에 좋아해서...$$$$춥고 냄새나... 가게안쪽으로 들어갈수록 머리안감은냄새남 ㅠㅠㅠ $$^^$$진동벨이 없어 계속 외쳐서 시끄럽고,  여기가 컨벤션웨딩홀 1층인데 주차지원이 안된다는 것이 황당함. $$알바가 불친절하고 손님도 많지도 않은데 사이렌 오더도 늦게보고
