URL_ID|카페명|리뷰
1553976296|도봉관|$$크로플이 개코뜩지 만하고 쨈도 뭣도 없어서  딱딱한 자체로 그냥 머금.. 커피도 그냥저냥..  지나가다 왓으니 다음 지나갈땐 안와야겟슴..$$바스크치즈케이크 최고 맛집 음료들은 평범해요$$치즈케이크가 엄청 맛있어서 놀랐어요  커피는 그냥 평범하고요..  좌석은 많이 없어요! $$여기 오픈하고 나서 얼마 안되었을때 가보았고 최근에 다시 가보았는데 같은 곳이 맞나 싶을 정도. 운영자가 바뀐 것 같아요. 청결 상태가 눈에 띄게 달라졌네요.. 문 열자마자 첫 눈에 매장 상태가 달라졌음을 팍 느낌. 일반 카페라떼 시켰고 첫 모금 맛이 일반 라떼와 달라 뚜껑 열어봤는데 휩크림 녹은 것처럼 자잘자잘하게 뭔가 하얀 것이 떠 있더라구요. 웬 라떼...$$바스크치즈케익이랑 바닐라라떼 무난하고 괜찮았지만 바닐라라떼 시럽휘젓기 힘들어요 그리고 화장실 개빡쳐요 이중잠금 걸어봤저 밖에서 땡기면 활짝 열려요;;; $$크로플 맛집$$왜 유명해진건지 잘 모르겠음... 케이크도 그냥 그렇고 내부가 막 아늑하고 이쁜것도 아니고... 직원분은 친절하시긴 했는데 그뿐$$엄마가 오리지널 바스크 치즈 케익 예약하여 엄마 대신 제가 찾으러 갔습니다.  확인해보니 케익 주문이 누락 되었고 남자 사장님께서 별일 아니라는 듯이 주말에 일하시는 분들이 근무한지 얼마 안 돼서 착오가 있었던 것 같다 그래서 다른 맛으로 변경해서 갖고 가셔야 할 것 같다고 하시더군요  사전 예약이 왜 있나요? 사전 예약은 왜 받나요? 원하는 맛으로 먹고 ...$$어..바터크림라떼 맛있는데  Why 노래하나마다 유튜브 광고를 제가  첨부터 끝까지 듣고있어야하죠….?……^^ 방금은 소리지르는 무슨 메가스터디광고가 5분넘게 나와서 일행이 시꾸럽다고 나가재여 개선 plz 유튜브프리미엄 plzㅠ$$크로플을 왜 파는지ㅡㅡ 다 식어빠진 조금하고 딱딱한 굳은 밀가루덩어리 요즘 세상에 이런걸 먹으라고 판다는게 심각함. 시럽도 안뿌려줌. 유행이라고 메뉴에 넣어서 돈만 벌려 급급하고 사장님 다른곳에서 크로플 안드셔보셨나요? 먼저 크로플 먹어보고 판매하시길$$처음 오픈할때랑 너무 달라요. 오랜만에 갔는데 손님 응대부터도 그렇고 음료메뉴도 안되는거 너무 많고 청소는 하는지 먼지가 뽀얗고 화장실은 스태프가 전세냈는지 안나와서 오랜기다림 끝에도 못쓰고 나옴. 가로수길 오픈했다고 본점 관리 넘 안되는거 같음. 이럴거면 그냥 본점 폐점이 나을것 같음$$바스크케이크 생각보다 진짜 작아서 놀램 2번이면 사라질 양..근데 가격은 강남, 홍대 저리가라 맛도 특별한 것도 아니고..딱히 재방문은 안 할 것 같아요ㅜ$$바스크치즈케익 맛나요$$맛은 평범. 화장실은 너무 더럽 에어컨이없어서 여름에 다시는 이용 못할곳$$존맛$$양이 많이 적고 그렇다할 경치도 없고 계단은 가파르고 자리도 많이 없음 그렇다고 음료맛이 특출나진않음 두번은 안갈듯$$ㅡㅡ$$라떼 많이 마셔봤지만 여기 정말 괜찮네요. 커알못이지만 밸런스가 잘맞는 느낌? 치즈케이크도 많이 달지 않아고 삼삼허니 맛있음. $$바스크 치즈케익 머선129!!  엄청 촉촉하고 말차는 무슨 오설록급 진함이었어요~ 녹차 덕후가 인정한 맛이에요 그런데 음료는 얼음이 너무 많고 양이 너무 적었어요$$치즈케이크 맛집!$$$$가격대비 분위기나 커피맛, 서비스 모두 조금 아쉬웠어요. 재방문의사는 없습니다$$치즈케익이 계속생각나요............계단이 가파르지만 맛으로 다 커버가능한곳입니다 강추합니다$$바스크치즈케이크 맛집이라고 해서 찾아감. 코로나로 포장만 가능했음. 맛은 내가 알던 그 바스크에 더 촉촉함이 추가된 맛이었음. 기대가 너무 컸나 생각보다 상상가능한 맛이었다. $$맛있는곳!$$치케 마싰오요$$근처에선 눈에 띄길래 가봤는데, 역시나 실패... 인테리어 수준도 별로고 맛도 별로고 가격은 강남. $$통창문 카페를 너무 좋아해서 인테리어 너무 만족만족(ᵕ̤ꈊᵕ̤) 다만 의자가 좀 불편했고 음료맛과 디저트는 평범했어요!$$인생 바스크치즈케이크 입에서 녹아요$$카페라떼 맛있어요$$분위기도 좋고 맛도 좋습니다$$치즈케이크 맛에 비해서 터무니없는 가격에 양은 너무 적어요. 절대 사지도말고 가지도마세요 이 정도 퀄이면 안가는게 맞습니다$$말차비스크치즈케익과 초코라떼  제 취향 저격이네요   직원 분들도 친절하셔서 좋아요  $$$$친절 인테리어 맛 굿$$아메는 실망스럽고 치즈케잌은 괜찮았음 2층 전망 좋으나 계단경사가 심해 발 헛디디면 대참사날듯$$비엔나커피가 맛있다$$무난한 치즈케이크. 불친절한 직원분.. 불편한 의자...  $$존맛인데?$$치케맛집$$아인슈페너의 크림은 쫀득하니 맛있고, 치즈케익은 적당히 달콤하고 굉~장히 부드러워요. 분위기가 좋아서 커플들이 많네요. 외롭게 혼자 앉아 먹은 것만 빼면 완벽합니다.$$치즈케잌 맛은 생각보다 평범.. 아인슈페너는 괜찮았어요. 분위기나 공간은 아늑해서 좋네요$$이미 몇번 가봤는데 쿠키, 휘낭시에, 케이크 다 맛있어요!! 진짜 나만 알고싶은 핫플 :-)$$진심 태어나서 먹은 치즈케잌중에 제일 맛있음....  $$치즈케이 맛있 / 여자알바생 불친절 $$치즈케잌 맛집$$인생 치즈케익을 만난 곳.. 다른 곳에서는 맛볼 수 없는 꾸덕하고 진한 맛을 느낄 수 있어요!!$$따뜻한 느낌의 카페의 맛있는 디저트라 ~ 이미 끝 ! 이즈귿!$$인생치즈케익 $$나무로된 따뜻한 공간에 맛있는 치즈케잌
1789979058|몽상가 크레이프전문점|
27393895|와겐커피 방학점|$$셀프로 시나몬 가루 뿌려야하는 카푸치노..$$아주 비추입니다. 커피를 이렇게 성의없고 개념없이 만들다니 놀랍네요. 아인슈패너(크림을 올린 커피)를 시켰는데 중간(?) 사이즈(300ml급)의 컵에 어이 없이 적은 커피량, 크림만 잔뜩. 만드신 분이 레시피를 잘 몰라 실수한 줄 알았는데 원래 그렇답니다. 혹시나 해서 마셔보니 가관. 얼음 빼고 몇모금 마시니 끝. 도대체 뭔 생각으로 장사하는지 모르겠네요....$$불친절하고 커피맛 기본이하 분위기 인테리어는 괜찮음.$$커피 진짜 맛없어요.. 순전히 앉아있기 좋아서 가는곳$$바쁘신거 알겠지만 제발 화장실청소 좀 해주세요.. 2층에 있었는데 사람들이 문 열때마다 찌린내가 올라와서 진짜 힘들었어요ㅜ 옆테이블들도 저랑 같은 말 하고..2층까지 날 정도면 꽤 심하단 건데ㅜㅜ  그 외에 장소는 넓고 테라스도 있어서 좋지만 규모가 큰 만큼 관리도 빡세게 돼야될텐데 관리가 잘 안 되는 것 같네요 $$$$아이스 아메리카노 4000 주차 가능해서 많이들 가시긴 하는데 깨끗한 분위기는 아니고, 조명도 어둡습니다. 1층에는 콘센트 없구요, 밖에서 피우는 담배냄새가 안에까지 나요. 화장실도 깨끗하지 않습니다.. 물비누도 없어요.$$동네 몇 없는 구조 특이하고 넓직한 카페 분위기는 다소 시끄러운편입니다.$$주차장있어서좋음$$주차가능한곳이라 자주가요 커피맛은 아쉬워요$$ㅛ$$카피 원두 선택가능하고 맛있는 편에 속하나 사람이 많고 불친절$$주차공간 충분해서 좋아요. 2층 나눠져서 혼자 공부할 수 있는 공간 좋아요. 하지만 직원들이 너무 불친절하고 남자화장실 문은 도.대.체 언제쯤이면 고치시려는지 너무 궁금해요. 화장실 구조도 너무 좋아서 들어오는 사람이랑 눈 마주치면서 소변보는  그 기분 너무 좋네요. $$been$$주차가 편하고 사장님이 친절하세요$$동네에서 늦은시간 갈 수 있는 카페. 새벽 1시까지. 주차가능.$$별로
24695495|카페오븐|$$치즈케이크 팥빙수 맛집 3시간 이용제한 있어요!$$여기 레어치즈케잌 너무맛있어요.. 커피도 맛있고.. 가까우면 자주올텐데ㅜㅜ$$레어치즈케이크 먹고 천국 갑니다. 여기 레어치즈는 진짜배기 최애'케'임. $$케이크 너무 맛있어서 매번 안양에서 먹으러가요 ❣$$7년 단골카페~ 한결같은 맛과 친절한 서비스.  팥,커피,케이크까지 모두 완벽해서 누굴 데려가도 만족하는 곳
635306818|꿀소담|$$배달시킨 팥빙수 집 그릇에 뒤집자마자 머리카락 대잔치.. 전화해도 끝까지 자기들 머리카락 아니라고 발뺌하고 그동안 몇번씩이나 시켜먹었는데 실망이네요$$스콘에서 머리카락?... 털....? 같은거 나왔는데 반죽 덮는 행주라고 해명하더라고요... ㅎ.. $$빵이 맛이 없습니다.. 아니 정말 말그대로 아무 맛이 안나요,,$$맛은 있어요 근데 제가 별점이 이런 이유는 동네 사람이면 다 알겠지만...$$더티초코 맛있음!  소금빵은 소금빵이 아니구만유? ..; 빵위에 소금만 올려놓으시고 이름을 소금빵으로 붙여놓으셨음ㅋㅋ.. 휘낭시에도 맛있는 편은 아니구요…ㅠ  뭐랄까… 전체적으로 인기있는 메뉴는 많은데 그 맛을 다 못하긴해요ㅡㅠ 아쉽습니다.. ㅜㅜ 더티초코는 맛있어요! $$빵 진짜 맛없어요. 가격만 비싸고...$$리뷰 삭제 당했네요..ㅋㅋ 오픈 때보다 아쉽다는 별점과 리뷰를 남기긴 했었는데 그래도 한때 자주 갔던  곳이라 다시 좋아졌으면 하는 마음에 진심 담아서 길게 남겼었는데 삭제를 당했네요..참 ㅋㅋ 많이 아쉽습니다$$리뷰삭제되었네요... 정말 불친절하고 음료수도 아무 맛이 아예안납니다...$$쿠키가 지나치게 짜거나 달아서 아쉽네요;;;$$$$$$$$제 후기도 삭제당했네요...?ㅋㅋㅋㅋ 저 전에도 여러 안좋은 후기도 있던 거 기억나는데 하나도 안보이는거 보니 다 삭제하셨나봐요^^; 위생 문제랑 직원들 불친절하다고 올렸는데 네이버 후기도 삭제하시고 카카오 후기도 삭제하시고ㅋㅋㅋ... $$음료의 맛과 가격 적당히 괜찮은데 화장실이 남녀 공용인 점이 가장 별로예요ㅠㅠ 베이커리는 무난해요$$저도 삭제당했네요.. 정말 황당.. 네이버리뷰에도 조금만 안좋은 리뷰 있으면 닫았다가 새로 열더라고요.. 무슨 무조건적인 비판도 아니고 제가 겪은 점 그대로 썼는데 신고해서 삭제 당했네요ㅋ 강제 입막음도 아니고ㅋㅋㅋㅋ  또 삭제할까봐 더 이상 길게는 안쓰는데 아는 사람들은 안가는 그런 곳이예요 ㅋ$$여기 리뷰 삭제하네요. 지나가다 마스크 안쓰고 빵 만드는거 봤다고 올렸는데 지워졌어요. 위생도 빵 맛도 별로.$$$$리뷰삭제했네여,,, 오랜만에 갔지만 여전히 서비스 거지같음 대응도그렇고 이동네 살아서 그냥가지만 갈때마다 짜증남 ㅡㅡ 커피컵도 긴거랑 짧은거랑 양도 다른데 자꾸똑같다고,, 옆에 이디야만 갈래요$$$$$$$$빵을 좀 이쁘게 진열하면 좋을거같은데.. 마구잡이로 쌓여있어 정돈이 안된느낌$$$$$$$$카카오 리뷰는 평점이 낮을 수록 맛집인걸로 결론을 내렸습니다 ㅋㅋ 제가 좋아하는 곳은 다.평점이 낮아요 왜냐면요.. 맛있어서 장사가 잘되고 바빠서 고객응대가 한정적이라는 결론입니다 ㅋㅋ 맛있는 곳입니다.  까높고 애기하자면 반얀트리 특급호텔내 몽클**보다 훨씬 맛있어요$$나쁘지않은 카페 분위기와 테라스 2층을 선호해용$$우리동네 케이크 맛집!! 당근케익, 초코딸기케익이 맛남$$여기 케이크 맛있는데 평점 왜이러지 ㅜㅜ 케이크는 진짜 맛있어요 ~~~ 사장님 번성하세여 케이크맛집임 여기 당근케이크가 진짜임$$$$$$이 근방에 꿀소담 만한 곳 없음$$$$앙버터 들어있는 크로와상 맛있어요$$지역 명물이 된만큼 맛있는 크루와상을 맛볼 수 있는 곳
27440655|쌍문동커피|$$분위기 좋아요 커피는 그럭저럭$$$$유자아메리카노!!!!$$분위기 ㄱㅊ$$
2113410227|카페작약|$$$$친절하시구 카페세트 혜자~ 두유 디카페인 리필까지 갓벽!  그저 알잘딱깔센$$사장님 넘 친절하시고 카페 분위기도 너무 좋아요! $$사장님이 정말 친절하시고 디저트, 음료 너무 맛있습니다. 쌍문 최고의 카페••ㅠㅠ 사장님 적게 일하고 돈 많이 버세요 하지만 닫지말아주세요..$$
1336295111|매일이기념일|$$동네 골목에 아담한 카페지만 내부를 정말 예쁘게 꾸며놨다. 메뉴 다양하고 가격대도 합리적임~$$너무 귀엽고 예쁜 카페에용 커피도 산미가 별로 없고 향도 좋고 맛도 아주 좋아요, 다만 아메리카노가 조금 더 진했으면 좋겠어요 ㅎㅎ $$아담한 카페에요. 에이드를 시켰는데 탄산이 다소 약하다는 개인적인 느낌은 있었지만 그래도 맛있었어요. 다시 가게 되면 또 시킬 거예요. 계단이 있어 휠체어 접근은 어렵습니다.$$열시 오픈 거짓말$$복숭아 아이스티 맛집입니다. 절묘합니다
462897050|카페그리너리티|$$커피도 맛있고 빵이 정말 맛있어요$$$$우선 인테리어가 감성 폭발입니당 ㅠㅠㅠㅠ 입구에 조그마한 계단을 내려가면 테이블들이 옹기종기 모여잇어요!!! 크리스마스 시즌에 가게 안에 키낮은 트리도 있고 매장 무척 따듯하구 카운터 오른쪽에 베이커리 디핑 돼있는데 그냥 인스타 감성이에요ㅠㅠㅠㅠ완전 좋습니당 ㅜㅜㅜㅜ  그리고 커피,,,진짜 맛있어요!!!!! ㅎㅎㅎㅎ 크림 들어간 커피 마시면 진짜 달콤해서 ...$$$$
119532698|카페방학|$$맛은 그저 평범, 안열때도 많이 본듯 그냥 동네까페가 그렇지 뭐,,,$$인테리어 심플해서 좋은 곳 디저트도 맛나요 방학라떼 추천해요$$크로플, 바닐라 라떼 추천$$모야 여기 바닐라라떼 왜이리맛있어요? 도봉구에서 제일 맛있는듯$$커피 맛 좋네요  책도 있고 조용한 장소ᆢ  가격은 조금 센 편입니다  잘 쉬었습니다 ~
