URL_ID|카페명|리뷰
1779970753|베러댄|$$꺄악 너무 분위기도 좋고 맛있어요!!$$층고가 높아서 참 좋아요$$루이비똥~$$토요일 1시쯤 일하시는 여자직원분 주문 받으실 때 응대가 좀 불편했어요. $$저도 크로플이랑 커피는 실망이었어요... 공간이 아까워요 ㅜㅜ$$크로플 뭐가 맛있는지 잘 모르겠어요. 바쁘지도 않은데, 바로 구워주는 것도 아니고, 미적지근한 크로플에 아이스크림 올려주고. 아메리카노는 왜 화장품 맛 나죠ㅠㅠㅠ 그리고 점원분이 사장님이신지는 모르겠는데 너무 불친절해요. 인사는 바라지도 않아요. 큐알코드 좀 늦게 찍었다고 눈치주시고 기다리는 사람도 없었는데, 표정이 왜 왔냐 이런 느낌이라 기분이 너무 나빠...$$굿굿 분위기 좋아요$$넓고 쾌적! 하지만 시그니처음료가 별로여서 아쉬웠음. 보통 크림라떼는 음료와 크림을 입으로 마셨을 때 같이 마셔져야 맛있는데 크림이 너무 꾸덕해서 라떼가 절대로 안마셔진다.ㅜ 위에 파우더도 과하게 많이 뿌려져서 보기엔 이쁘지만 입에선 별로였다. 하지만 친구가 마신 바닐라라떼는 괜찮았다고 하네용!$$쾌적하고 좋아요$$$$공간도 넓고 커피도 맛있어요. 커피는 곡물향 위주이고 고소한 맛입니다. 플랫화이트가 맛있어요.$$넓고 쾌적해요$$와 전 여기 크로플 맛집이라고 생각해요 진짜ㅠㅠ 크로플도 맛있는데 음료도 괜찮고 넓고 쾌적해서 좋았습니다!! $$아아 쟈스민 시나몬아이스크림와플 무난. 퀄리티있는 디저트들은 아니니까 기대까진 필요없음. 손으로 먹는게 아닌데 와플주면서 포크랑 나이프는 챙겨주세요 찾으니까 몇개필요하시냐고 하지말고$$넓고 크고 시원하고 좋앙용$$자리 넓고 쾌적해서 좋은데 알바분이 너무너무 불친절하네요.. 묻는 말에도 고개만 끄덕거리시고 크로와상 좀 데워주실 수 있냐 여쭸더니 아.. 데워드려요? 라고 하시네요ㅜ 다신 안갈 듯합니다$$근래 가본 카페 중에 가장 마음에 들었다 일단 천장이 높아서 확- 트이는 마음! 공간이 넓고 인테리어도 좋아서 너무 마음에 들었고 음료가격도 괜찮은 편. 음료맛은 나쁘지 않았다 다만 브라우니는 너무 아쉬웠다 디저트류는 고민을 좀 해보셔야 할 듯...$$인테리어 시원시원해서 예쁘고 음료도 맛있는 편이에요✔︎  디저트는 조금 비싼 것 같아요~$$좋아요 디저트류도 맛잇어요$$
1317422264|카페몰로|$$보통 카페들이 저녁때 조명이 어두워지는데 여긴 밝아서 자주 이용합니당 내부도 넓고 좌석도 좋아요 :)$$$$$$사람이 많았던 것도 아닌데 주문이 왜 누락됐는지 이해가 안갑니다. 전 주문 받으신 분이 직접 사과해야한다고 생각하는데 주문 받지도 않으신 분이 사과하고, 뒤늦게 나와선 쳐다도 보지도 않으시던데 굉장히 불쾌했습니다. 시켜먹을땐 맛있게 먹어서 간건데, 다시는 직접 가서 안먹을 것 같아요$$테이블에서 실수로 커피쏟았는데 친절하게 정리해주시고 다시 주문 하니까 빵 하나 끼워주셨음 덕분에 기분 좋게 남은 시간도 있다 나왔다 맛도 좋고 분위기도 좋음 ㅜㅜ 굿
26354962|커피나인 본점|$$커피국가대표인정 이동네안사는데 와서 먹을만한 존맛탱$$$$커피나인에서 음료 사서 본노엘 빵이랑 같이 먹으면 행복해요. 작업하기엔 적합하지 않지만 전농동라떼랑 나인은못말려가 너무 맛있어요~$$이태원점도 생겼더라고요 커피나인 산미있는원두 맛있어요 $$불친절해요. 커피한잔 하러 갔다가 기분만 상하고 왔네요 바쁘면 사람을 늘리던지 주문기 사용 못하는 사람 몇분이고 지켜보며 자기일만 하는 직원. 기계로 주문 못하겠다니까 그때서 주문 받고 뒤에 사람 쭉 서있게 대기하게 만드는 가게. 지나가다가 주차잠깐하고 주문하다가 15만원 짜리 주정차 벌금내기 좋은 카페$$최소 이동네에서는 제일 맛있는 커피$$$$$$$$커피 맛이 좋아요$$너무 친절하시고 커피맛도 좋아요$$전농동라떼 흑임자라떼 맛있어요!$$전농동 라떼 장난 아님.. 강추. 사장님 이 동네에 와줘서 감사함다;$$$$라떼가 진심 이세상맛이 아니다  살면서 먹어본 라떼 중 최고 특별한 게 들어간 것도 아닌데 존맛임 재료가 좋으면 원두와 우유만으로도 이런 맛이 가능하구나 싶었음 라떼 먹고 반해서 아메도 시켜봤지만 아메는 음.... 이 집에선 그냥 라떼 드세요$$$$좋아요 맛있고요 근데 사람 너무 많아서 주말엔 못가겠어요$$조리퐁라떼는 우유맛도 아닌.. 맹물맛.. 이 동네에 맛있는 커피집이 없어서 여기가 항상 붐비지만 지금은 초심을 잃었다. 평범 차라리 투썸플레이스를 간다$$이근방에서 최고의 커피인거같아요. 맛과 가격 종합적으로 봤을때. 코코나인 아메리카노 마실때마다 행복해요 $$불친절하고 맛없습니다.$$레드벨벳치케 꾸덕꾸덕 너무 맛있어요!!   라떼는 아몬드 뿌려져있는데 맛 자체는 무난해요ㅎㅎ$$커피맛집인정!!$$너무 맛있다 하여 갔는데 드립커피 원두가 신선하지도 않고 바리스타분이 잘 못내리셔서 원두 자체의 맛은 하나도 없고 온갖 신맛 쓴맛만 있었습니다. 드립커피는 정말 별로였습니다. $$커피향이 아주 그만인데.. 가격마저 착하다.$$여기는 걍 미쳤다. 감사합니다 꾸벅$$가게 옮긴 걸로 아는데 잘 되길!$$2천만원넘는 커피머신에 안쪽엔 로스팅 장비까지. 답십리에 투머치한 고급스럽고 황송한 카페네요 자주 오게될듯$$커피도 맛있고  카페분위기도 깔끔  커피향가득하니  좋네여~$$가격도 저렴하고 음료도 다 맛있고 깨끗하고 친절하고 분위기도 좋음. 데이트할때 여기만감$$아메리카노가 2900이엇던 것 같은데 끝내줌 아주조아 답십리만세 그런데 답십리인데 전농동라떼가 있어서 답십리 주민으로서 마상$$커피 맛을 알게 해준 커피9  전국가대표 바리스타 사장님 종업원들도 친절하고 좋아요
1113162121|망우로30|$$$$어제 카페방문후 미접종자여서 주문하고 퇴실하게되어 실수로 진동벨을 주머니에 들고와버렸네요! 연락처가없어서 여기에 남김니다 날씨가 너무추워서 곧 가져다 드리게씁니다$$인테리어가 귀엽고  특히 밖이 예븐거 같아요  맛은 무난해요$$$$$$회기에 좋은 갬성카페$$코로나때문에 밖에 앉고 싶어서 갔는데 앉아서 떠들기 딱 좋다$$그냥 괜찮아요 주차장이 있는게 강점$$아인슈페너 먹었는데 크림 꾸덕하고 달달하니 딱 적당하고 커피도 맛있었어요ㅎㅎ 외관도 예쁘고 또가겠습니당! ㅎ$$음료맛있어요. 근데 늘 저녁 때 가서 그런가 자리가 없었어요..$$과제하기 좋았어요ㅎㅎ 분위기 좋아요$$$$회기가 발전 중인가봐여 ㅋㅋㅋㅋ 생긴지 2년정도 된거같은데, 처음 가봐요! 제주도 놀러온 느낌이네요! 자리 넓은편이고 편하게 놀다갑니당!$$5월5일에 방문했는데 어린이날이라 사람이 많더라구요 코로나라 따닥따닥붙어앉기싫어서 음료랑 커피맛나는쿠키 테이크아웃했어용 음료랑 쿠키맛은 보통이구 분위기는 밖에가 너무 좋습니다 다만 주문받는 여자직원이 다소 불친절하더라구요$$아메리카노에서 계속 느끼한 맛이 나서 못 마시겠더라구요.. 원두 관리가 제대로 안 된건지... 그래도 즐거운 시간 보내다가 갑니다!$$커피맛은 무난하고, 카페가 아늑해서 편안한 느낌이에요.  $$$$스콘은 맛있었지만 음료는 그냥 쏘쏘,,흔한 맛이었어요 그리고 사장님인지 알바생분인지 모르겠지만 주문받을때 불친절하시다가 실수하실때는 친절하시다가.. $$커피가 맛없는데 벽돌 의자 그냥 한 시간 정도 머물 만함$$열대후르츠에이드 특별하고 맛있어요ㅎㅎ 스콘도 데워주셔서 따뜻했어요. 집이 멀어서 다시 가보기 힘든게 아쉬울 정도 ㅠ$$$$주차장 굿 아인슈페너 굿$$인테리어, 분위기 다 좋고 무엇보다 커피가 정말 맛있다
1989079728|너디블루|$$여러모로 비싸게 느껴짐...$$얼그레이 스콘 맛나여ㅎㅎ 작업실같은 공간도 따로 있어서 공부나 작업하러 가기에도 좋네요 직원분들 모두 친절하시구 에너지 넘치세요 공간도 너디블루만의 취향이 가득해서 보는 재미가 있었습니당 그리고 강아쥐도 넘 귀욤,,♡$$음료는 맛있는데, 스콘은 잘 모루게써요,,, 조명때문에 눈도 넘 아파쬬용,,,$$조금 습한 날 가서 그런가 거미같은 벌레가 너무 많았음.... 음료는 그닥..$$커피가 너무 연했음 ㅜㅜ 맛있다그래서 왔는데..  분위기는 뭔가 아지트 같은 느낌 나서 좋음 
105370530|오앤디|$$항상 맛있게 마시고 있어요! 스콘도 짱맛~~$$$$좋은공간 맛있는 커피, 디저트 너무 좋아요$$깔큼한 화이트&블랙 인테리어, + 나무색이 들어가 차분한 분위기$$커피 진짜 맛있습니다 진짜 라떼 대존맛.. 말차테린느는 다들 먹길래 먹어봤는데 쫀쫀하고 맛있어요ㅠㅠㅠㅠㅠ 사장님도 친절하시고 공간도 너무 맘에 들었습니다:)$$나만 가고싶은 카페...사장님 너무 친절하시고 바닐라 시럽을 직접 만드심...! 바닐라라떼 처돌이라면 꼬옥 가주면 되~$$$$분위기, 커피 맛 모두 최고였어요 갑자기 비가 내려서 우산을 건네주시던 사장님 정말 감동이예요ㅠㅠㅠ 덕분에 무사히 귀가했습니다 감사합니다:)$$디저트 커피 모두 정갈하네요 ^^ 무엇보다 테이크아웃 할인 추천합니당 ! $$달라꼬르떼, 안핌, 말코닉 까지.. 그리고 네임스피커.. 동네 카페중 머신은 체고$$$$$$시그니처 미쳤음$$커피도 맛있고 말차테린느가 진짜 미쳤음$$$$$$아인슈페너가 맛있고 친절하십니다.$$카페 너무 괜찮고 맛있어용  콜드브루 진짜 맛있더라고요!$$$$깔끔하고 예쁜 아인슈페너 맛집$$분위기가 좋고 사장님도 엄청 친절하세요 당신의 우울한 날에 마셨는데 처음 먹어보는 맛이었어요 그 메뉴가 자꾸 생각나 조만간 또 갈 예정입니다$$카페에 들어서면서 분위기, 인테리어도 마음에 들었고 사장님의 친절함과 "당신의 특별한 날에"라는 메뉴를 시켰는데 아인슈페너? 정말 맛있었습니다. 이 근처에 산다면 자주 가고싶은 카페네요! 교육 받으러 왔다가 좋은 카페덕에 기분좋은 하루가 될 수 있었던 거 같습니다.  $$소피 칼$$$$사장님 항상 너무 친절하시고, 커피랑 마들렌까지 다 맛있어요:-)$$간만에 발견한 띵맛 카페$$분위기인테리어음악너무좋고 친절하다못해세심한사장님 깨끗쾌적화장실 하물며손씻는필터도굿 디저트도커피랑너무너무잘어울려요 개인적으로 말차테린느랑싱글오리진의조화는 가히최곱니다! 진심어떤원두가있어도믿고먹을수있는사장님에관한신뢰가생겼어요^-^ 집에서거리가좀있지만 주2,3회는간답니다ㅎ 말이필요없는베스트까페!$$아무도 몰랐으면 좋겠다 너무 맛있어.....$$장점: 분위기 좋고 자리 편하고 가격 착하고 커피디저트 다맛있고 친절하고 이렇게 다갖춘카페 드문데...  단점: 없음  동네사람들 복작복작 항상 사람 가득한 이유가 있다$$카페가 크진 않지만 화장실까지 쾌적하고 혼자와도 너무너무좋을거같은 카페에요! 인테리어 맛 가격 다 좋은데 제일좋은건 아무래도 사장님의 친절하심인거같아요~~ 리뷰잘 안남는데 서비스가 좋아서 남깁니다 ~~ $$맛도 최고 가격도 최고 분위기도 최고  $$오앤디 최고!! 사장님 친절보스 커피 존맛 ㅎㅎ
1872113102|더크림|$$가게 이름이 더 크림일 정도로 크림을 강조하는데.. 식물성 크림을 섞어 쓴다? 흠.. 그렇다고 가성비가 좋은것도 아니고 말입니다.. 판단은 소비자가 각자 하겠지만 미리 정보는 충분히 제공해줬으면 좋겠네요^^$$여기 케잌 최고에요! 넘 맛있고 달지 않아 좋아요!$$동네인데 여길 왜 이제 왔을까ㅜ커피도 케잌도 다 너어무 맛있고 분위기도 좋고 친절하니 만점카페입니다~~~$$초코스콘달지않고맛있고 케익도 많이 안달아 제입엔 딱좋았음$$평일 아침 긴머리 여자애 싸가지없음$$$$푸석푸석한 케익 시트...$$청포도에이드, 초코라떼, 블루베리케이크 전부 정말 맛있었어요. 음료와 케이크 종류가 많아 좋은 것 같아요. 다만 케이크 시트가 약간 딱딱해진 부분이 있어 아쉬웠어요. 카페 공간이 오래 있기에는 조금 답답한 감이 있구요.$$얼그레이 레몬스콘을 한 입 먹고 깨달아 버린 거예요, 여긴 >빵 맛집<이다ㅠ 빵이 진짜 너무 너무 맛있고 완전 인스타 갬성 잔뜩 있는 멋찐 카페 !$$$$마싯어용 동네에 생겨서 너무 좋아요 장사 잘되서 절대 안없어졌우면 좋겟어용$$디저트류는 마들렌이랑 쿠키만 먹어봤는데 넘 맛있어요, 마들렌은 폭신폭신. 쿠키는 쫀득쫀득. 수제레몬&진저티는 기대없이 고른 음료인데 완전 내스탈!>_< + 더크림 밀크티는 아이스라고 얘기좀 해주시지..ㅜ 따뜻한줄 알고 시켰는데 넘 놀랐네요$$커피랑 디저트도 맛있고 카페도 예뻐요! 저만 알고 싶은 가게인데 주말에 갔더니 손님이 많네요ㅜ
2093688428|카페양귀비|$$시간은 20분 정도 걸리지만 그만큼 맛있어요! 입에 들어가자마자 녹아버려요~$$수플레가 입에서 녹아용 ㅠㅠ 생크림도 너무 달지 않아서 좋았어요$$다른 데서 수플레 많이 먹어봐도 여기만큼 도톰하고 맛있고 저렴한 곳 없어요$$인생수플레$$수플레 맛집.... 분위기도 좋아요! 가기 전에 미리 연락하고 가면 좀 더 빠르게 먹을 수 있어요:) 수플레 나오기 까지 넘 오래 걸리기 때문...ㅠ$$수플레 생크림 많이 주시고 부드럽고 향도 좋아서 맛있어요 앞으로 수플레 팬케이크는 여기서만 먹을거에요!$$수플레 너무 맛있어요!!!! 제 인생 수플레♥♥ 오래오래 영업해주세요 ㅎㅎㅎ $$$$수플레 팬케이크 가성비 갑. 다른 곳은 1.5~2배 가격인데 여기는 맛있고 저렴함. 음료는 쏘쏘. 외대 앞 고소운도 가봤는데 공간은 고소운이 넓지만 맛은 앙귀비가 더 맛있음. 그 외 성수동 카페 온화에서 먹은 건 비리고 맛 없었는데 여기 생각났음.$$솔직히 음료수는 그냥 전형적 인스타카페답게 개창렬에 맛도 그저그렇지만 수플레 넘 맛잇음 외대앞에 고소운도 맛잇고 여기도 좋아요 $$이 가격에 수플레 파는 가게 없음. 이문동이니까 9900원에 수플레 세 덩이를 먹을 수 있지...고소운에 비해 계란 비린내 안 나서 좋았음. 딸기 라떼 맛있음$$수플레가 폭신퐁신해요〰대기도 많고 유명한듯$$수플레 팬케이크가 맛있었어요$$사진 이쁘게 찍혀요, 인스타감성?  음료 맛있었는데, 수플레 때문에 계란냄새 나여ㅠ$$일단 앤틱으로 꾸며놔서 사진 스팟 넘쳐나구여 음료도 맛있어요~ 딸기라떼 대체 뭔데 맛있는지 몰겠음 배부른 상태로 간거라 수플레 못먹은게 좀 아쉽네요 일하시는 분도 친절하세여 !!  사람 많아서 웨이팅 있어요$$수플레가 맛있다고해서 왔슈$$$$슈풀레 맛있습니다!$$전에 비해 수플레 맛이 좀 변했어요. 뭔가 너무 익혀져서 나와서 퍽퍽하고 그냥 빵같아요ㅠ$$너무 너무너무 손이 느려요... 커피 시키고 거의 20분 넘게 기다린듯...$$우선 내부가 정말 진짜 예쁘고 사진찍기 너무 좋구 이번에 수플레 외의 디저트 시작하셨던데 존맛 ㅠㅠ  말차머핀 사랑해요 다른 것도 천천히 먹어볼 예정!!  $$부위기 좋음 4/5 음료는 ...3/5 케이크는 1/5 많이 아쉬워요$$$$내스타일아냐
1175140530|카페림|$$$$여기는 쑥라떼 말차라떼는 별로예요.. 가루알갱이가 둥둥 떠다녀서 너무 쓰더라구요 아까워서 다 마시기는했는데 음료만 마시기가 힘들었어요 참고하세요$$맛있고 분위기 좋아요$$마카롱 쏘쏘에요 아인슈페너 맛있더라구요 1음료당 쿠폰찍어주셨어요 분위기 괜찮아요 잘꾸며놓으셨음 단점은 쪼오오금 비싸용$$좋아요^^$$$$커피도 맛있고 분위기도 좋고 다 좋은데 화장실 갔다가 살짝 놀랐네요 여자 남자 같은 사람인데 깨끗하게만 써주세요라는 말을 여자의 환상이라고 표현하신 점이 좀 그렇네요 단어 선택 때문에 약간 실망한 것 빼곤 전부 좋습니다$$넘 이쁜 장소에 맛있는 커피, 친절한 직원$$마카롱이 아기자기하고 너무 맛있어요!$$좋아요~~ 보리랑 또 가께욘~~$$여기 크로플 진짜 완전 대박 맛있어요. 바삭한 공기 씹는 거 같았습니다. 다만 카페가 좁다보니 부피가 큰 가방을 메고 갔다가 꽃병을 깨트릴 뻔 했어요. 조심하시면 좋을 듯 합니다.$$정성가득 마카롱 감사합니다 맛은 언제나 최고  !$$크로플 완전 맛있습니다. 강추$$카페도 예쁘고 마카롱도 맛있어요$$와플도 맛있고 커피도 맛있었어요  :) 제주도 주택같은 레트로 감성이에요$$공간이 예쁘고 아늑하고 스콘, 마카롱도 맛있었으나 음료 양이 너무 작아요$$마카롱 맛집 인정. 아메와 함께 레드벨벳 뚱카롱 진짜 jmt 이동네 핫플입니다.$$마카롱 진짜 귀엽고 맛있어요, 커피맛도 좋고 인테리어도 아기자기해서 넘나 이뻐요$$우연히 들렸는데 분위기도 좋고해서 가끔 갑니다.$$가격 비싸고 마카롱도 느끼했어요.  요즘 크면서 맛있는 마카롱이 많아서인지 그다지 뚱카롱인지도 모르겠네요.  그리고 작은 꼬끄에 비해 필링이 많은편도 아닌데 느끼하네요.   두껍고 쫀득한 꼬끄맛에 마카롱 드시는 분들은 도전해보세요.   참고로,돼지바는 먹어본 마카롱 중 제일 맛있었어요. 제일 돼지바 같은 맛이 났고 쨈도 많이 달지 않았어요.$$마카롱 너무 맛있는것 같아요. 가격도 적당하구요. 카페 분위기도 너무 좋아요~$$조용하고 아늑하고 취향저격이네여$$마카롱도 수제라서 그런지 너무 맛있었고 카페 분위기도 좋았습니다~ 사장님이 참 친절하시네요!$$마카롱 진짜 맛있어요 뻥카롱 아니고 베어무는 순간 충만함이 느껴져요 하지만 마카롱이 2500원인건 여전히 비싸다$$카페가 딱 사진찍기좋은 비주얼이라서 인생샷 건지고왔어요$$에이드먹었는데 상큼보스입니당 ㅋㅋㅋ 비주얼도 이뻐서 인스타갬성으로 올렷서용$$포장해갔어요! 이쁘게잘해주셔서 감사해요 진짜 달달하니 살살녹네요$$장미레몬에이드랑 마카롱 먹었습니다! 마카롱 제가 먹어본곳 중 탑 3에 드네요. 진짜 맛있어요 번창하세요~$$익선동같은 분위기 카페에요~ 아기자기하고 인테리어 넘이쁘고 특히 마카롱이랑 당근케이크 존맛입니다 점심시간때 가서 좀 정신없었지만 한가할때 꼭 들리고싶어요!
19034696|카페온|$$이름만 같고 사장님은 바뀌어서 인테리어부터 메뉴까지 다 바뀌었어요 가실 분들은 참고하세요!$$쿠키가 먹을만 해요~ 테이크아웃 했는데 사장님께서 친절하세요. 메뉴에 신경 쓰시는 게 눈에 보여요~$$여기 올 때마다 스노우카노 아니면 스노우토피넛 마십니다. 너무 자주 마셔서 이제는 인증 사진도 안 찍는 지경에 달했습니다.......  근처에 일 생기면 꼭 와보시고, 시립대생이면 닥치고 스노우카노 제발 마셔주라.. 카페온 모르면 시립대생 취급 안 할거야아아 ヾ(｀ε´)ノ   + 덧 사장님께서 디저트 종류를 왕왕 늘리시는 중이라 더 행복해졌어요. 진짜 그짓...$$$$분위기도 편안한데 친절하시고 맛있기까지해욥 좋아하는 카페에요
