URL_ID|카페명|리뷰
26646835|카페퍼블리코 본점|$$좌석이 넓직넓직하고 간격도 넓어서 편히 쉬기 굉장히 좋습니다. 특히 푹신하고 편한 소파 좌석이 많아서 좋았어요. 음료는 아메리카노밖에 마시지 않아서 잘 모르겠어요. 하지만 공간적 장점만으로도 충분히 가치있는 카페입니다.  친절도는 5점 만점에 3점입니다.$$이 동네에선 인테리어가 가장 좋은 카페. 알게 된 이후 6년째 잘 이용하는 중.$$최애 카페 등극. . ! 2층 자리 넘 좋아요$$사장님이 계실 때는 친절하고 파니니 맛도 좋은데, 알바생 분들 3분이나 계셨음에도 불구하고 손님 왔는데 인사도 안하시고, 포스 앞에 주문하러 가도 말 한마디 안해서 그냥 안먹고 나왔었습니다. $$$$그냥 그냥저냥인 카페. 1층은 외국에 온 기분을 아주 잠시 느낄 수 있고, 세 네번 가봤는데 손님 와도 투명인간 취급해요. 에이드랑 파니니는 괜찮았고 커피는 별로였어요$$이 근방에선 가장 유니크한 카페 중 하나가 아닐까 생각해봅니다.  양이 아쉽긴 하지만 와플도 맛있어요$$카페 분위기도 좋고 맛있어서 자주 갑니당!$$나방을 무서워하는 직원들 친절하고 2층 공간이 쾌적하고 편합니다 ! 아인슈페너 크림도 존맛,,$$생각보다 좋네요!! 대신 가격대가 좀 있음$$$$가게 구성 잘 되어 있음. 맛 대비 메뉴들은 좀 비싼 편.$$테라스 공간도 넓고 가격도 나쁘진 않아요$$겨울인데 ㅠ 난방 전혀 안 하고 창문 다 열고 영업하는 곳이라. 정말 추워요. 실내가 딱히 예쁘지도 않고.$$제가살면서 가본 카페중 제일 재밌고 흥미로운 곳입니다. 또가고싶다고 느낀 카페는 처음이에요~~ 인테리어가 넘 재밌고 센스있고 디테일이 아주 대박이에요! 구역마다 테마도 다른데 조화롭고, 음료들도 무난괜찮고 케이크 맛있어요! $$$$$$바깥테라스는 훌륭. 서비스점수는 그닥~ 중하급$$- 가격 비싼편인데 음식 맛없음 - 커피 케익 심지어 빙수나 밀크티마저도 그 어느하나 맛있는게없음.. 심지어 맛없어서 다 남김;;  - 분위기는 좋으나 인터넷 잘 안터짐$$분위기로 가는 곳이지, 맛을 기대하면 안될 듯. 나쁘지는 않지만 가격에 미치지 못함$$분위기 개성있어요. 곳곳에 인테리어 보는 재미!! 얼그레이타르트 맛있어요.$$Coffee$$커피 음악 공부할 수 있는 자리 분위기 조명 모든것이 완벽해요.$$1층과 2층의 공기가 다르다. 정해놓은 것도 아닌데 손님들이 알아서 1층은 왁자지껄하게, 2층은 조금은 차분하게 음료 및 분위기를 즐긴다. 만물상 같은 인테리어도 흥미롭지만 서울에서 보기 드물게 공간을 크게크게 쓰는 점도 맘에 든다. 어른 음료도 구비하고 화장실도 큼직하다. 주전부리가 조금 부족하고 의외로 일찍(!) 닫는 거, 조금 비싼 점 제외하면 강추하...
19392595|페니힐스|$$시그니쳐 메뉴들을 추천해요 나만 가고 싶으니까 유명해지면 안되요$$별한개도 아까움. 일욜오후(12월5일)에 갔는데 진동벨이 울려 커피 받으러 갔더니 여자알바 두명이 나보고 띠껍게 계속쳐다보기만함. 내껀지 알수없어 '이건 뭐예요?'하고 커피이름을 물으니 여알바 두명이 그것도 모느냐는 식으로 어이없다는듯이 쳐다보며 귀찮다는듯 커피 이름을 말해줌. 다른 커피 가리키며(다른사람꺼 가져가면 안되니)이건 뭐예요 또 물으니 그것도 모...$$커피 진짜 ... 맛없어요 ㅠㅠ 경악하면서 먹었는데 (친구 2명 다) 음료맛있다는 리뷰는 다른 음료 드신거겠죠... ㄷㄷ 커피드시러가는거면 비추드려요 ㅠ$$분위기도 좋고, 음료도 맛있었음!!$$#내돈내산 #내돈내먹   급 검색해서 찾아간 곳인데  카페 분위기도 너무 좋고  사장님도 친절하시고 ^^  드립커피랑 티라미수도  너무 맛있었어요 다음에  또 커피 마시러 갈게요 !   2021/11/03 (수)  페니힐스 2인 주문 메뉴  레몬에이드 6,000원  핸드드립커피 6,000원  ( 케냐 키앙고테 AA )  티라미수 8,000원  총합계금액 ￦...$$의자가 편하고 천장이 높다 메뉴는 쏘쏘$$$$자리가 안 좋으면 커피라도....$$굿굿$$커피 너무 고소하고 맛있어요! 휘낭시에도 쫀쫀해서 정말 최고입니다❤ 오늘 실수로 라떼를 쏟아서 너무 죄송했는데 다친데 없는지부터 살펴주시고 친절하게 대처해주셔서 감사했어요ㅠㅠ 마지막에 좋은 시간 보내고 가셨으면 좋겠다고 해 주셔서 더 감동했습니다☺️☺️☺️$$$$정말 후기 같은 거 잘 안쓰는데 음료도 케이크도 너무너무 맛있어요~~~ 특히 레몬치즈케이크 짱짱 저는 아바라 먹었는데 아바라도 딱 제 스타일! 사장님도 너무 친절하시고 카페도 너무 예뻐서 주변 사람들한테 추천 엄청 합니당~$$완전 친절하시고 음료도 맛있고 좋아용$$음료가 그냥 물맛...? 자리도 별로고 음료가 너무 맛없음$$매장은 사진보다 매우매우 협소! 12시경 브런치 먹으러 갔으나 사람 없다는 핑계로 계속 한시간씩 미루더니 끝내 못먹고 나왔네요! 처음부터 안된다고 했으면 스벅이라도 갔을텐데 사진만 보고갔다가 기분만 상했어요!$$널찍한 공간과 대화하기에 좋은 분위기$$$$시그니처가 진짜 시그니처 맛 큐브라떼 - 못 먹어봄 재방문해야함$$대체로 아늑하고 조용한 분위기 아메맛은 밍밍$$저녁방문시 유흥가내 골목에있어 복잡하지만, 재방문의사있음. 편안한느낌.  -방문목적 :  스터디겸 맛난커피맛보기  -장점 :  서울와서 보기드문 친절하고 미소가 이쁜 직원(친구x, 이성x) , 천장이높다, 창이크다, 공간여유있음. 커피종류가 다양  -단점 : 티라미슈가 맛있긴하나.. 8~9천원 비싸다.( 근데 우유향이나는걸 보면 재료가 좋은듯 ), 원하던 ...$$전자출입체크 O 체온체크 O 남ㆍ여 화장실 따로(남자는 1층 여자는 2층 안쪽) 화장실 냄새 안나고 깨끗함 음료맛 괜찮음 재방문 의사 O  근데 인테리어 소품은 따로 관리 안하는지 먼지랑 거미줄 있음.. $$분위기 좋고 커피맛좋고  굳이 다른 곳을 갈 이유 못찾겠음 티라미수가 좀 비싸다 생각들 수 있지만 나오는 거 보고 맛 보면 절대 비싸단 생각 안듦 ㅋ 이왕 오셨다면 티라미수는 꼭 시켜보셨으면 함ㅎ $$장점 자리가 많고 넓다. 환기를 잘 한다 인테리어가 깔끔 커피가 맛이 괜찮다(산미 좋아하면 비추)  단점 티라미수가 9천원이나 할 이유는 별로 없어 보인다(그래도 재료는 좋은 거 쓰신 듯) 손님이 마스크를 안 써도 별 규제하지 않는다(이부분은 사장님 마음이 충분히 이해가 감... 손님 탓이긴 함.)$$좋아요. 나만 아는 카페이고 싶은곳$$티라미수 맛있었어요$$3층까지 있는데 분위기가.너어무 좋아요.  커피도 맛있구요!  옆에 연습실 다니느라 자주 가는데 사당에서 보기드문 어둡고 고급스러운 분위기예요 강추!$$밀크티: 그냥 밀크티. 시그니처라기엔 평범한 맛임ㅠ 초콜릿머시기라떼: 이것도 시그니천데 나에겐 넘 달앗음ㅠㅠ  디저트류는 안먹어봐서 판단 보류~ 가게가 넓고 의자가 편한건 너무 좋았어요! 공부 및 수다에 제격$$클래식 티라미수 맛집 티라미수(6000원) 먹으러 안갈 이유가 없음 1인 1메뉴라서 가격이 부담될 수 있지만 맛보면 그럴 이유가 없다는 것을 알게됨 티라미수먹으러 재방문 예정.  분위기 : 층고가 높아서 답답하지 않다. 사람이 많아서 어수선할 수 있음. 화장실 내부.$$티라미수가 유명하지만 가격이 부담스러워서 브라우니 주문. 안에 초코칩 박혀있고 꾸---덕꾸덕하니 위에 올려진 아이스크림이랑 잘어울림. 전체적으로 가격대 좀 있지만 가게 내부는 잘 꾸며져있음. 오후 두세시쯤되면 여긴 햇살맛집임.$$자리를 비워야 한다는 것에 강박이 있으신가봐요.. 남는자리 많던데.. 자리만 2번이동.. 다시는 안올래요ㅠㅠ$$맛 친절 모두 최고.$$이렇게 구석진 곳에 커피숍이 잇다니ㅋㅋ신기했네요. 아메리카노 안좋아하는데 여기는 맛있었고 티라미슈도 참 맛있었습니다. 공간도 아늑하고 종종 가게 될듯합니다. $$커피는 역시 페니 내 입맛에 딱 ~~~ $$맛이 너무 없어요 케이크 2가지 먹어봤는데 가격대 별로고 시그니처 밀크티 먹었는데 시럽을 가득 넣어야 먹을수 있네요 일단 우유가 맛이 없어요$$위치 이전했어요! 사당동 1042-13번지랍니다$$먹을만 했음$$사당의 카페 중 인테리어가 가장 취향저격했던 곳. 푹신한 쇼파와 좋은 음악이 계속해서 흘러나왔던 곳. 마치 할머니집 다락방 같는 곳이어서 쇼파에 앉아 책을 보거나 노트북 작업을 하고 싶은 곳. 1층 보다는 2층이 월등히 좋았다. 그러나 자리가 좁아서 금방 만석이 된다. 2월에 이사간다는 공지가 있다.$$Coffee$$분위기 좋은 곳. $$자리가 없다. 티라미수
26603579|세녹|$$너무 좋아요!! 근데 와이파이가 심각하게 느리네요…$$가격 : 아메리카노가 고작 한블럭 옆의 스타벅스보다 메리트 있지는 않다. (개인 가게니까 뭐..) 서비스 : 그다지 친절하지 않음. 규모에 비해 인원이 적어서 그럴지도 차후 재방문 의향 : 당장 얼어죽을 정도인데 누구 기다려야 한다면 차라리 옆 블록 이마트에 들어가겠다 (유일한) 장점 : 매장이 크고 넓음(끝)$$갈 때마다 항상 불친절해요. 직원갑질을 경험하실수있으니 이용에 참고하세요. 개선할 의지도 보이지 않습니다.$$$$카공 플레이스$$스터디 하기 좋아여$$넓고 조용한건 좋은데 음료도 맛이 없고  와플은 4500원이나 하는데 데워주지도 않고 차가운 상태...  시킬거면 케이크 시키세요$$분위기 최고$$가격은 비싼데 음료는 별로여서 다시 안 갈것 같아요. $$알바분들 다 좋고 음료도 괜찮아여 자리도많고요.$$정말 음료가 비싸고 맛도 없지만 24시라서 갑니다.$$맛 별로 안경 쓴 분 변함없이 늘 응대 별로 공부하는 대딩들 천국 내 돈주고 카페가도 말 한마디하는 게 눈치보암$$다 좋은데 와이파이가 너무 안 좋아요$$$$그저그런데 비쌈..$$음료는 그저 그렇고 비싸요.. 실내에 흡연실이 있어 담배냄새 납니다. 오랫동안 자리잡고 공부하거나 업무하기에는 좋습니다.$$여자직원이 마스크도 안 끼고 맛있게 드시라고 침튀기는데 개 찝찝... 요새 카페 직원이 마스크 벗고 있는 거 처음 봄.$$사람에 치임$$특정구역 가면 발냄새나요.. 제꺼는 아님$$진짜 더러움 창틀에 먼지며 쓰레기며한가득. 쟁반도 너무 더러움 잡았는데 손에 음식묻고 끈적거림. 직원도 그렇게나 많은데 왜 청소를 안하는건지,,다신 안가요$$곰팡이낀 빵 진열대에 올려놓고 파시더라고요.. 그냥 주변에 24시 카페가 별로 없으니 가는곳이에요 $$세녹 좋아요 여기 밥도 먹을 수 있어서 공부하기도 좋고  나시고랭 맛있어요 ! $$좋아요$$비싸고 맛없고 의자 테이블 모두 불편. 시험기간에 대딩들 단체로 모여다님.$$$$정말 일하기 좋은 카페 !!!$$동네에 같은 커피맛 즐비한 브랜드커피 맛에 질리신분들 적극 추천합니다. 사당동 최고의 넓은공간 아늑한 실내 분위기 넓어서 쾌적한 실내공간 사당동 세녹 처음 가보고 커피맛과 규모에 놀라고 갑니다. 종종 들를게요~~~^^♡$$24시간 식사 가능한 카페, 이수역 근처라는 장점 맛은 별로임$$밤늦게 갔는데 직원은 친절했어요. 콘센트가 거이 없는건 아쉬워요. 그나마 있는것도 고장....일하러 노트북 가져가기엔 아쉬웠어요. $$넓긴 한데 맛은 없어요$$공부하러온거라 분위기는 만족하는데 아이스티는 제발 먹지 마세요,,,이상훼ㅠㅜ$$장점- 24시간 운영 단점- 비싸고 맛없고 냄새나고 춥고 노래소리 너무 크고 불친절하고 화장실개판 $$커피 별로$$맛 최악 서비스 최!!악 두 번 다시 안옵니다$$맛없어요. 블랙퍼스트로티는 느끼하고 퍽퍽하고 베스트라고 써있던 얼그레이는 마요네즈보다 느끼하고 홍차도 그저그래요. 후기는 호평이 많던데 낚인 건지 몰라도 맛없고 맛없어요...$$넓고 좋습니다 겨울에 난로도 잘 틀어줘요 영화 보기 전까지 시간이 좀 남는다면 여기로 $$$$$$공간이 넖어서 좋아요$$2, 3층 조용하다 1층은 시궁창 냄새가 심하다$$
202438281|뚜스뚜스 흑석역점|$$주차비가 너무 비싸요~$$흑석역에서 젤 자주가는 카페 중 하나 공간 크고 넓어서 좋아요.^^  다만 2층 구석자리는 소리가 웅웅 울려서 시끄럽습니다$$좀 지저분하긴한데 음식은 괜찮아요 청소좀 자주 ㅠ$$진짜 별로예요 커피 맛도 이 가격에? 직원들도 불진절에 무엇보다 가격이 창렬$$$$빵 맛집 크로와상 최애 ☺️$$$$$$치아바타가 정말정말 맛있고 야간 할인이 있어 좋아요 주말 낮에는 소리가 울려서 무척 시끄러운 편 커피는 진짜 별로에요$$공간넓고 고급져서 좋은데 커피는 양이너무작고 맛도별로예요$$예전에 먹고 아이 배탈로 응급실 다녀왔었어요. 상한케익이란거 인정하셨고 사과는 받았습니다. $$최애가 최악됨. 오믈렛 좋아해서 다녔는데 점진적으로 무성의+노맛으로 바뀌고 있음는데다 애들도 괴성을 지르며 뛰어다녀서 관리자가 있나 싶음. 메인이랑 디저트(페이스트리라인은 괜춘)는 원래 노맛이고 유지되는건 음료라인뿐인가.. 기존 브론치 좋아하면 주차시간 짧은대신 다른건 월등한 선유도가고 이외는 ifc 용산가는게 좋을듯. ㅈㅈ$$빵 개꿀띠$$브런치 전문집으로 손님의 반 이상이 브런치나 식사를 즐기러 옵니다! 그렇다보니 1. 시끄럽고 2. 음식 냄새가 상당히 많이 나며 3. 공부나 책 읽기를 할 수 있는 카페가 아닙니다. 4. 가게 내부가 아주 큰데 직원들 관리가 미흡해서 쓰레기나 다 먹은 그릇 커피가 장시간 방치되어 있습니다. 규모나 가격 디저트 다 좋았는데... 저는 4가지 사유 때문에 재방...$$흑석동에 이만한 카페 없죠. 음식 음료 빵 다 맛있어요!$$브런치 먹고 남편과 저 둘 다 속쓰림과 더부룩한 증상으로 2~3일 고생했어요. 샐러드빼고는 다 익힌 음식이라 상한 것 같지는 않고, 아마도 다 인스턴트 식품으로 이루어져 그런 것 같아요. 분위기도 좋고 맛도 나쁘지는 않았는데 브런치는 다시 먹고 싶지 않네요$$자리도 넓고 음식도 빨리나와요~!$$흑석역 1번 출구 바로 앞에 있으며, 커피, 베이커리도 맛있고, 테이블도 넉넉합니다~ 주거지역이라 북적거리지 않아서 좋고, 주말에 오시면 무료주차 가능합니다.^^$$흑석에서 이만한 카페없음$$브런치는 아침 점심값 다 받아서 비싼가.. 했더니 대학생에게도 부담 없는 가격이다.$$사람 너무 많음$$대형카페 없는 흑석에서 오아시스임$$10월 한달간 주차무료
825283133|머치커피|$$쏘쏘$$조금 작은 카페지만 분위기 좋아요  공부하기 좋은듯 베리 에이드 시켰는데 안에 라즈베리?가 들어있네요 한번쯤 가볼 만한 카페에요$$이 동네에서 만나기 힘든 바이브라는 평에 매우 공감 ㅎㅎ$$맛이 좋아요$$너티 크림 모카 약간 달지만 맛있는 편.  분위기가 좋아요$$아인슈페너 맛집..!! 크림 부드럽고 달다구리하다. 그리고 사장님이 되게 친절하셔서 너무 편안. 다음엔 테라스에 앉아서 아메리카노도 먹어보고 싶다.$$커피 맛이 일정한 편이고 근처에서는 가장 갈만한 동네 카페 여러 번 방문했는데 쿠키는 늘 떨어져있고 가볍게 먹을만한 디저트가 없는 게 아쉬워요$$$$요 근방에서 보기 힘든 바이브.  마침 맞은편 건물까지 조경에 둘러쌓여져 있어 덥지만 외부에 앉아도 뷰가 좋고, 적절한 햇볕, 커피맛도 만족스러웠다.  간결하고 테이블 회전도 좋다.  손님이 끊임없이 온다 ㅋ   주차는 큰길 맞은 편 공영주차장. $$3.5점. 맛은 4점 라떼 합격 카라멜라이즈 합격 하지만 주말엔 자리도 없고 사람넘많고 테크아웃하기엔 불편한 커피+주차 안됨. 참고로 손님은 모-두여자뿐 ㅋ$$가야는이유 : 블렌딩한 커피가 괜찮은 조용한 카페 안가는이유 : 기대했던 아인슈페너는 아쉽  자체 블렌딩한 원두는 고소한 맛이 있어 라떼로도 괜찮았지만 비주얼은 태*커피와 비슷한 아인슈페너의 크림은 너무 달고 느끼해서 아쉬운 느낌이 많이드는$$$$아인슈페너 맛집 맞는 것 같아요 시크하면서도 편안한 분위기인 게 신기했어요!$$코히맛 좋아요 깔끔띠$$국내애서 아인슈페너 제대로 만드는 카페가 드문데 드디어 만났다! 넘 행복했다 그래서 별 다섯 개 만점 쵝오!!$$커피맛도 좋고 분위기도 좋아요! $$커피가 너무 맛있고 분위기도 좋고! 디자인도 이뻐요$$점주님의 프로페셔널한 자세가 너무 감동적이었어요$$꼬수운 커피.. 분위기.. 다 너무너무 조음$$커피 맛있어요~$$
273270660|디피스트|$$그냥그럼$$리뷰같은거 안찾아보고 그냥 아무곳이나 별 기대없이 방문했는데 꿀케잌 맛있어서 놀람 반죽이 아주 쫀득하고 적당히 달달했고 커피는 무난했음 분위기 자체는 편안하다 느꼈는데 가게가 아담해서 다른 사람과의 거리가 가까운건 아쉽$$$$아인슈페너 맛있었어요☺️$$제가 간날만 그런지는 몰라도 카페에서 이상한 탄내가 나서 매장에 있기 힘들었습니다. 커피맛은 괜찮아요.
487386016|카페모펀|$$동 방 조 아$$$$서브컬쳐 도서 전문서점 + 콜라보 카페! 책 구경하기 좋아요!$$크퀘조아♥
14352981|펠어커피 상도점|$$커피와 초콜렛도 맛있었지만 선곡이 너무 내 취향이라 더 좋았던 카페$$커피는 기계로 뽑나요.. 이렇게 외진곳이라면 커피라떼 정도는 기본인데 우유맛이 넘 넘넘 강해요.. 샷추가해도 감당 안되는 커피 아닌 우유 맛.그냥    $$비주얼에 비해 그렇지 못한 맛 멀리까지 찾아갔지만 저것은 아이스크림도 아니고 느끼한 크림같고 사진처럼 풍성하게 많이 주지도 않아요. 저거에 절반? 커피넣어먹는건 비추고 그냥 섞어먹어도 비추;$$커피맛은 별로(에쏘 추가 한거 후회) 맛차 초코 자체는 괜찮은데 참크래커랑 안 먹으니까 느끼하고 커피와 따로 논다. 이 가격에 먹는건 비추, 이것만 보고 오는 것도 비추. 추천만 있어서 기대했는데 아쉽다 ㅜ$$친절한 사장님과 꾸덕한 초코..? 말차...? 얼그레이...? 암튼 맛나요~~~
604924026|파니모들|$$디저트 맛있네요$$$$분위기, 맛, Tea 모든게 아기자기해서 예뻤고, 강아지들도 출입 가능한 것 같더라구요 :)  특히 무화과휘낭시에가 맛있었습니다!$$$$무화과 휘낭시에 맛있어요
94881294|미학당|$$장사 하고플때만 합니다. $$쿠키 대박...$$$$커피 디저트 모두 맛있어요$$농담이아니라 진짜로 먹을때마다 감탄사 나옵니다 저염초코칩쿠키는 진짜 국내에서 이거보다 막있는 쿠키 못먹어봄$$말모 최애 디저트 카페임. 거추장스러운 것 없이 기본에 충실한 맛. 메뉴 개발도 열심히해서 새로운 맛 찾아먹는 재미가 있음$$너무..맛있어요... 휘낭시에 JMT고 피스타치오 비엔나가 진짜짱 가까이있으면 엄청많이갔을듯용!!!$$gr * 100... 직원분들도 너무 친절하십니다ㅠㅠ 다음엔 휘낭시에 먹으러 시간 맞춰 가야겠어요$$살면서 먹어본 스콘, 쿠키 중에 제일 맛있어요$$쫀-득한 휘낭시에가 있는 곳. 하지만 갈 때 마다 많이 솔드아웃이라 한 개나 두 개 정도 밖에 못사서 아쉬워요ㅠㅠ 쿠키와 마들렌도 맛있습니다! $$잊지 못할 미학당$$최고예요 $$산책하다 들어가봤는데 우연히 맛있는 과자점을 발견했네요. 제가 갔을 땐 쿠키랑 스콘만 남아있었어요. 스콘만 두 개 포장해왔는데 정말 맛있었습니다. (집에 있는 무염버터 발라먹음) 한 2mm 정도는 엄청 오도독거리먄서 부서지는 과자 느낌이고 안엔 촉촉한 비스킷빵 같은 식감이었어요. 너무 딱딱하지도 않았고 넘 오일리하지도 않아서 좋았어요!!!$$$$최고의 휘낭시에, 커피도 너무 맛있습니다. 아쉬운건 영업시간좀 늘려주세요 ㅜ
