URL_ID|카페명|리뷰
203376580|카페제하|$$$$평점이 좋아서 기대했는데 카페 별로 안 예쁨 ㅜㅜ$$솔직히 그냥 예쁘기만 함. 맛은 평범$$토스트 부드럽고, 아인슈페너 맛있어요!$$사장님 친절하시고 분위기와 맛 다 좋습니다 ㅎ
300323196|커피별녹색잔|$$소금쿠키랑 아인슈페너 맛집! 자몽에이드도 맛있다는데 다음에 먹으러 가야지   공부하기도 좋다  ** 자몽에이드가 진짜..진짜 찐이다 ㅠㅠ 테이크아웃하면 귀여운 병에 엄청 많이 주시는데 꼭  먹길$$괜찮은데 자리가 막 엄청 깔끔한 그런 느낌은 아니에요.$$친절하시고 드립커피 종류가 몇 있어서 좋더라고요. 소금쿠키가 맛있다고 해서 갔는데 진짜 맛있었어요. 굿  밖은 한파인데 실내는 후끈후끈 히터 빵빵하게 틀어주셔서 한겨울에 따뜻하게 잘 있다가요~$$$$3번째 방문입니다~ 커피는 기본적으로 맛있어요 1층에서 로스팅하셔서 들어서자마자 나는 커피향이 좋아요:) 자몽차랑 자몽에이드도 꿀맛! 쿠키도 쫀득하고 맛있어서 올때마다 하나씩 먹어요 ㅎㅎ 2층건물이라 좌석도 꽤 많고 나무나무한 분위기입니다$$뭔가 2000년대 초반 감성이 많이 느껴져요ㅎㅎㅎ사장님의 정성이 많이 느껴지는 카페고 맛도 좋아요~~!!$$$$아이스크림 와플 굿. 정성가득인데 맛도 좋아요. 재료를 아끼지 않는 느낌 $$카페이쁘고 자리도 넓어서 좋아요$$드립커피가 맛있어요. 내부 분위기는 좀 촌스럽긴해도 휴양지에서 찾은 오래된 카페 같은 느낌입니다. 선곡도 다 제 취향이라 그런지 좋은 시간 보내고 갑니다.$$$$음료도 맛잇고 와플도 특이하니 맛잇음 ㅜㅜ 일반 와플이랑 다르게 견과류가 잇어서 고소함. 공간도 조용하니 좋았어요 $$목동 최고의 카페 커피도 맛있고 와플도 맛있고 사장님 노래선곡도 좋은 혼자만 알고싶은 카페$$분위기도좋고 와플, 커피, 음료 다 맛있었어요!!$$예쁜 까페가 동네에 생겼네요. 빙수는 좀 달지만 맛있었어요. 근데 소리가 모이는지 까페 안이 너무 시끄러워서 아쉬웠어요.$$삼청동에 있을 때 참 좋아하던 까페였는데 아주 오랜만에 들렀습니다 그 때랑 똑같은 친절하신 사장님, 메뉴판, 냅킨, 똑같은 빙수 비주얼에 너무 감동했어요^^ 우유향 진한 빙수 넘 맛있습니다 $$$$불친절해요$$커피는 신커피는 아닌데 약간 탄맛나는 커피임 구수한 커피는 아님 근데 소금쿠키랑 와플이 진짜 맛있음... 인테리어도 이쁜편임 아 그리고 주차는 불가$$맛도 괜찮고 다 무난한데 남사장님 심드렁하게 주문받아요 그나마 옆에 계신 여사장님이 친절하셔서  걍 먹고 나왔는데 두번은 안갈거 같아요..... 와플은 추천해요$$$$더치커피, 더치라떼, 자몽에이드 최고최고 아..빙수도 장난아님$$여기커피 맛있어요$$분위기도 좋고 커피도 맛나요
333169963|더브라운 목동점|$$별 한개도 아까움. 이게 카라멜 마끼야또임. 카라멜 시럽 떡칠하여 달아서 못 먹음. 거품은 하나도 없고. 회사 1층 사내카페 1300원짜리보다 못함. 한 입 먹고 걍 버림. 돈 개아까움.$$불고기 파니니 먹었는데 넘 맛있었어요$$소세지와 프렌치 토스트 브런치 맛있다. 쉬는날 조금 힘줘서 아점 먹고싶을때 생각나는 곳. 스벅 옆에 있어도 스벅이 따라가지 못할 메뉴들이 많아서 건재한것 같다. $$전반적으로 메뉴 다 맛있어요!$$무난한 맛 음료가 다양해여
26900383|스타벅스 신월ICDT점|$$노인들이 가기 불편한 차도였읍니다$$여기 좋아요~^^ 직원분들이 친절하셔서 잘 마시고 왔네요~$$늘 사람 너무 많음$$직원이 엄청 불친절하고 인상 써서 기분 잡쳐 다시는 가고 싶지 않습니다$$$$친절하고 맛있$$Just 스벅$$$$직원분들 친절해요 $$$$2층도 에어컨좀 빵빵하게 틀어줬으면.... 너무 덥다$$3층 규모로 갔으면 좋았을뻔. 사람없을 만한 시간대에 갔는데 너무 많아서 깜놀.$$- 주차 자주식 3대 끝. 주변에 차 세웠다간 경찰온다는 현수막이 많음. 스벅 주차땜에 인근 주민들 엄청 시달린듯. - 복층식 매장은 보통 1층이 춥고 2층이 더운데, 여기는 2층이 추움. 건물을 날려지은게 확 티나는지 외풍 장난아님. 스벅와서 감기걸린적 처음.. - 쇼파밑 콘센트 보유. 비교적 한산한 매장(주차가 안되다보니 그런듯). 그래서인지 매출에 욕...$$커피점으로서 만족스러운 곳. 하지만 사람이 너무 많다.$$탁 트인 넓은 장소가 마음에 들지만, 환경보호로 플라스틱 사용을 자제하는 요즘 시점에 머그컵으로 받길 선택했는데도 머그잔이 다 나가서 머그잔을 못 준다는 황당한 말을 들었음. 매장의 1/4도 안 찬 시점에, 따뜻한 음료, 아이스 음료 혼재되어 있는데 머그컵이 다 나갔다? 글쎄... 평상시 매장이 꽉꽉 차는 걸 아는 사람으로서, 설거지 하기 귀찮거나, 컵 수...$$넓어서요$$친절하고  커피가  맛있다
1737262840|스타벅스 신정DT점|$$최악의 스타벅스  리뷰가 다 왜 이런가 했는데 집 앞이지만 다시는 안올 예정$$어떤남성분인데 역사상 이런친절은없었다. 덕분에 기분좋게 커피한잔합니다.$$세 번째 방문인데, 세번 가 가본 스벅중 직원들이 가장 여유없고 화나있음. 주문시에도 무언가에 쫒기고 있는것 같음. 불쾌한 경험을 했음... $$을질(역갑질) 개쩌는 최악의 스타벅스. 이런곳 처음이라 본사 컴플레인 검  1. 쿠폰 그대로 주문하고 음료 하나만 라떼로 변경해달라고 함 2. 갑자기 500원 부족하다며 추가주문 하라함 3. 모든주문 마쳤는데 받은건 쿠폰사진과 다른 케익, 포크도 안옴(물어보지도 않음) 4. 현금영수증 하시냐고 물어봐서 바로 대답안하고 음.. 해주세요 이랬더니 "이미 넘어가...$$자바칩 벤티 시켰는데 톨 사이즈 정도로 적게 담아주고 에소크림 넣어달라했는데 일반휘핑 넣으시고~ 아주그냥 빨리 ㄲㅈ라는듯이 눈빛주고... 다신 안가요~ 칵 퉤$$$$$$집에서 제일 가까워서 항상 여기로 가는데 두명이 불친절해요 주말 직원분들은 친절한데 평일 오후에 가면 괜히 짜증나요 그리고 신메뉴는 다른지점에 비해 빨리 나가는듯 6-7시에만 가도 솔드아웃 드라이브 스루 이용할때는 불편한거 없었어요$$직원분 표정이 안 좋고 손님이 온 게 싫은 듯한 느낌을 받았네요. 오늘 오전에 갔다가 기분 상했습니다. $$오늘 서머 러디 백땜에 새벽 3시50분경부터 대기. 친절한 직원들까지 .. 입고 20개 밖에 안되었다고 20번째 대기 고객들에게 내용 전달후 기다리는 수고 덜어주었다.  스타벅스 신정DT점  친절분들 고생하셨어요$$사람 너무 많고, 이상하게 야리는 사람도 있슴.$$집 근처라 늦 저녁이나 주말 오전에 종종 가는데 양천구 내 타 매장들 대비 크루들의 업무처리가 안 좋은 편입니다. 불친절함은 차지하더라도 청결도도 떨어지고 원두도 잘못 갈아주는 등 불편함을 자주 느낍니다. 어쩔 수 없이 좀 멀더라도 목동 타 지점들이나 현백으로 가거나 매장 체류 필요 시 차 가지고 타 DT점을 갑니다. 근처고 주차도 편리하나 개선될 기미가 ...$$DT 이용 자주해요 주차장도 있어서 차가지고 가기 좋아요$$파트너들도 친절하고 커피도 맛있고 bb$$dt가 되어서 기분전환할때 좋다
27178625|패닉이스케이프 목동지점|$$설명도 대충대충... 시설도 초라하고.. 겨우 방 한칸에 자물쇠만 푸는 구조라 지루합니다. 돈 아까워요...$$와...레전드네요 이걸한 제가$$0점 있다면 0점 주고싶을 정도의 퀄리티와 서비스. 토요일 조조로 하러 갔는데 원래 가격대로 했으면 아까울 정도 입니다. 차라리 빵사서 비둘기 주는게 더 이득.  일단 방탈출 자체로 보면 자물쇠와 기계장치가 노후되어서 제대로 동작하지않았고, 매우 낮은 퀄리티... 스토리라곤 1도 없고 난이도와 테마가 무색한 설명  그 담은 이 리뷰를 쓰게된 원인인 알바생....$$후기가 너무 안 좋아서 걱정했는데 일하시는 분 매우 친절하셨어요 화장실은 오히려 매장 내부에 있어서 상가 건물보다 훨씬 깨끗한 느낌이었는데... 운영한지 조금 오래 돼 보이기는 하지만 방탈출 즐기기에는 문제 없이 재밌었는데용^^.. 저는 만족해서 별 네개~!$$10:20 첫타임 예약이었는데 알바생이 안와서 30분 날리고 다른데 감 ㅋㅋㅋㅋㅋㅋ 2시간 지난 지금도 전화 안받아 ㅠㅠ
480014306|하니앤손스|$$사장님도 너무 친절하시고 맛있어요!  진짜 다 좋아요!  음악소리만 줄어드면 완벽한 공간입니다. $$잠봉 맛있고 떡볶이 완전 맛있고 티도 좋아요 그리고 사장님 친절이 ㅠㅠ 제가 추워하니까 티도 따로 내 주시고 진짜 착하세요 한 번 오면 바로 단골되는 집이에요 목동 오면 여기 또 오려고요$$사장님의 티 이해도, 음식의 퀄리티, 티 맛을 생각했을때 오히려 가성비있는 가격대로느껴짐$$가야는이유 : 외국홍차집의 쇼룸 겸 카페 안가는이유 : 메뉴별 차별점 구분이 힘든  뉴욕,파리,스콘 : 두 홍차는 비슷했는데 파리가 조금 더 달고 향긋했던, 스콘은 부드러운 건빵 같은 느낌이었던  영등포시장역 근처에도 운영중$$이번달 부터 애프터눈티 시작하셨다 하셔서 먹고 왔습니다 정말 최고... 양 정말 많으니 밥 안먹고 가시는 걸 추천드립니다 맛도 최고입니다  밀크티 하나, 티 하나 주시니 밀크티 마실까 티 마실까 고민도 안해도되구 넘 좋았습니다 애프터눈티는 예약으로만 받으신다니 먹으실 분들은 미리 전화하세욧 ~!! 
853330963|헬로방방 목동점|$$애들이 뛰어 놀기 좋아요$$굿해요
26909836|스타벅스 오목교역점|$$너무 친절하심!! :)$$주문이 많이 밀려있지도 않은데 너무 느려요.  주문하는 것도 음료 나오는 것도. $$극친절$$이 지점에 불만있다기보다 스벅자체에 불만있음 빵 저게 6000원짜리임ㅋㅋㅋㅋㅋㅋㅋ물론 한조각 더 있지만 이미지랑 달라도 너무 다른거 아님?? 차라리 서브웨이 가면 야채도 많고 고기도 훨씬많음 그리고 맛도 없음 구린맛남 다신 빵 안사먹음 그리고 내가 오늘 깜빡하고 얼음 적게 해달라는 주문을 못했는데 얼음양 실화임? 다먹고 얼음 부어봤고 그란데 컵 반도 넘게 ...$$코로나 전에는 사람많고 시끄러운 느낌있었는데 지금은 시끄럽기만 한것같아요 직원분들도 친절하심$$서비스 굿.. 주변 스벅 중 자리 넓은편$$좋아요 근데 사람 항상 많아서 자리 없을 때도 있음$$불친절입니다 $$2층 자리 널널하고 직원들도 친절해요$$테이블 배치나 사람 너무 많음. 회전율이 빠른 편이고 혼자 온 이쁜이들 종종 발견.$$$$여기 앞에 커피빈 자리에 있던 스타벅스 였는데 왜 골목안으로 들어와서  영업을 하게됐을까요... $$사람이 많지 않고 자리가 빨리 나서 좋아요$$아늑하고 좋아요 ♡$$조용하고 친절해서 좋아요$$너무 맛있어서 자꾸자꾸 가고 싶어요. 사랑해요 별커피$$편인하고 맛잇음$$
2105594814|카페꼬숩|$$가야는이유 : 아담한 방에서 먹는듯한 따뜻한 감성의 베이커리카페 안가는이유 : 커피맛과 디저트 가격이 아쉽  아메,꼬숩라떼,앙버터와플,말차딸기바 : 쿠키를 비롯한 다양한 디저트들이 있지만 가격대비 크기는 작은 느낌, 앙버터와플은 팥의 맛이 일식디저트에서 맛볼 수 있는 맛이라 독특, 하지만 말차딸기바도 그렇고 시너지까지는 잘 모를, 꼬숩라떼는 이름 그대로 고...$$$$이동네 이런 갬성카페가 있다니… 갬동이야!$$꼬숩은 그저 사랑ㅠㅠ쿠키 안좋아하는데 여기가면 항상 몇개씩 사가게 되네요$$우리 동네에 이런 갬성 카페가? 싶은 카페입니다. 옛날엔 와플 집이었는데 어느순간 이쁜 카페가 되서 사랑방처럼 가끔 가게돼요ㅋㅋ 그 와플 메뉴들도 아직도 있구요. 인테리어에 신경 많이 쓰시는데 예상외로 남자 사장님! 디저트류 많아서 좋고, 음료중에 최애는 오렌지비앙코! 다 좋은데 가끔 음료가 들어있는 컵이 작아서 약간 한입거리 처럼 느껴질 때도 있긴 해요....
