URL_ID|카페명|리뷰
24576625|파크더블유|$$$$집 거실에서 쉬는 것 같은 아늑함이 좋다$$맛도  별로 직원도  불진철$$일요일 오후 방문해서 커피 두잔 주문했는데, 40분 걸렸네요 손님수에 비해서 일손이 많이 부족하네요 $$오후2시방문인데 음료만시켰는데 도착해서 대기한 시간부터는 1시간, 주문한 시간부터는40분만에 나왔네요. 2층 야외까지 15테이블 이상인데 여직원 2명이 점심피크 시간대 정리하는 것만으로도 버거워보입니다. 공간은 예쁜데 운영이 아쉽네요. 다시 갈 것 같진 않습니다.$$맛은 괜찮은데 양이 넘 적음 직원들 불친절 $$조용하고 맛도 괜찮고 좋았어요^^$$빈티쥐? 그냥 낡은 곳. 희안하게 사람들 북적대는 곳. 그래서 아주 시끄러운 곳!! 코비딕시대엔 비추!$$음식, 서비스 모든 것이 최악이었습니다. 다신 안 갈 것 같네요.$$인테리어, 메뉴 다 최고..매번 갈때마다 인생샷 찍고간다구요 그리고 소금커피ㅠㅠㅠㅠ소금커피 사랑합니다ㅠㅠ평생 팔아주세요....시즌으로 파는 딸기케이크도 세상 존맛, 해산물 토마토파스타랑 찾스테이크 필라프, 브런치세트였나..! 뭐 많이 먹어봤는데 다 만족스러웠어요! 직원분들도 친절하시구ㅠㅠㅠㅜ한두번 가본게 아니라서 사진 찾으러 갔는데 주기적으로 파크더블유 사...$$단체석 애엄마들 시끄럽게 생일 축하 노래부르고,  상 위에 애기 올려놓고 소리지르면서 사진찍고..  시장바닥이 따로 없네요. 무슨 돌잔치 하객으로 온 것도 아닌데, 기분만 잡치고 갑니다. 스파게티는 많이 기름집니다. 토요일 점심에 왔는데, 요리사 아닌 것같은 사람이 모자도 안쓰고 요리하네요. 분위기도 별로, 음식도 별로...$$아주 이쁜정원과 맛난음식!$$분위기도 음식맛도 넘 좋아서 자주 가요
2145979742|커피스터프|$$수플레 치즈케이크 너무 맛있어요! 분위기도 좋고 숨겨진 맛집이에요 ㅎㅎ 모든 케이크 직접 만드신거라고 하네요. 케이크에 올려진 크림이 알맞게 달고 너무 맛있어요~ 추천추천$$인생 디저트 수플레 입니다 수플레에서 계란 비린내 나시는 분들은 앞으로 빵도 드시지 말고 삶은달걀도 먹지말고 계란 후라이도 드시지 마세요 계란을 못 드시는 분이 계란이 들어간 음식을 시켜놓고 비린내 난다는 격입니다 진짜 존맛탱인데 여긴 수플레 하나 보고도 올만한 곳$$전화로는 수프레 바로 먹을 수 있다고 하셔서 바로 갔는데 앞에 사람들도 다 기다리고 있고 준비 시간 30분 걸린다네요. 매너 서비스 둘다 꽝입니다$$수플레 계란 비린내 너무 심해서 다 남기고 왔어요;; $$밑에 케이크 맛 없단 분 계신데 왜죠?ㅠ 커피도 괜찮고 케이크 대미친JMT;; 올 해 먹은 케이크 중에 젤 맜있어요ㅠ 하나도 안느끼하고 조각 항상 남기는데 다 먹었어요 손님 많은데 매장이 조금 더 컸으면 하는 아쉬움!
1848099630|개인공간|$$커피 디저트 모두 마싯당 $$공간은 다소 협소하지만 음료와 디저트 전부 맛있고 사장님도 친절하세요!! 재방문 의사 아주아주 있어용$$음료, 디저트 모두 맛있어요. 정성을 들여 만든 느낌이 듭니다. 공간의 분위기가 따뜻하고 갤러리 같은 느낌도 있습니다. 타르트 포장용기도 플라스틱이나 스티로폼이 아닌 종이재질이어서 좋네요.$$이곳 커피마시면 하루가 행복해요~~ 맛있는 커피 늘 감사해요!!$$별로입니다$$$$전체적으로 무난하니 좋았어요! 그런데 가끔씩 음식들(딸기, 빵) 맨 손으로 만지시는게 조금 신경쓰였어요,,$$커피가 정말 너무너무 맛있어요 여태 먹어본 라떼들 중 손에 꼽힐 정도로ㅠㅠ 사장님들도 친절하시고 너무 좋네요$$크림라떼 존엄!! 강아지도 정말 귀엽고, 디저트도 맛있고 커피도 맛있어요! 딸기딸기도 드셔보세요-! 배민도 하시는것 같아용 집오면 크림라떼가 눈앞에 아른거려요  강아지 인스타에서만 구경하구 가까이는 못봤어서 그게 좀 슬퍼요 또르륵  언젠가 보는 날 있기를 털복숭이 친구..☕️$$커피 너무 맛있던데$$밀크티랑 복숭아요거트, 녹차테린느 까지 흠잡을데가 없네요 맛있어요!!@$$부부가 운영하는데 두분다 친절하시고, 커피도 다른곳이랑 좀 다른느낌? 인스타로 문연거 알려주고, 가격도 갬-성 카페처럼 막 비싸진 않음$$존맛$$디저트와 커피 모두 좋았습니다 :) 크림라떼 크림도 너무 쫀쫀하고 콜드브루커피에는 커피얼음 들어있는 세심함도 좋았습니다. 디저트는 테린느 꾸덕하고 정말 맛있었구요 사장님도 친절하시고 인테리어와 분위기도 너무 예뻐요. 하나하나 정성들여 음료와 디저트 내주시는 느낌입니다. 동네에 사신다면 와볼만한 카페입니다!$$일단 커피 맛이 너무 맛났어요~~ 카페라떼 먹었는데 너무 만족했고, 찻잔도 너무 이뻣어요~ 인테리어 이쁜것도 덤이구요~ 강아지도 안전문에 시설 잘 되어있었구요~ 강아지 보고싶었는데 스트레스 받을까봐 멀찌감치에서 보기만했어요~ 친구들이랑 수다 떨면서 너무 힐링했어요~ 다음에 또 가기로했담니다^^ 번창하세요^^$$밑에 분 이상하네요. 매장 가보신거 맞나요? 제가 아는 개인공간은 강아지 마음대로 돌아다니지 않은걸로 아는데 .. 상주견이 잠깐 나올 때는 사장님들께서 손님 모두에게 양해를 구하고 모두 동의하면 잠깐 나오거든요. 개인공간 가보시고 저런 글 쓰신건지 의문이 드네요 ^^ $$애견동반카페라 강아지가 있는건 알았는데 그냥 애견카페처럼 풀어놓고 왔다갔다 해서 괜히 음식에서 개털나올까봐 불안했어요 커피는 괜찮았어요$$디저트 포장해와서 먹었는데 너무너무 맛있어요~~!! 인테리어도 너무 예쁩니당 $$레알 괜찮고 에어컨 빵빵 시원해요 반려견들 자유롭게 오갈수있어욥 커피 진짜 맛있음$$인테리어 예쁘고 커피 케잌 모두맛있음
19756111|라떼플로라|$$알바인지 사장인지 정말 말투가 불친절하네요$$가격이 동네치고는 좀 있는 편이지만 반려인으로서 너무 좋은 곳! 강아지 없이 2층 와도 좋을 것 같아요$$넓고 맛있고 좋아요$$ㅡ$$넓고 쾌적하고 노트북 사용도 가능해서 좋아요!  다만 코로나 때문인지 말 안하면 일회용으로 주셔서, 다회용 용기 원하시는 분들은 주문 할 때 말 하셔야 해요(실리콘 빨대는 제가 개인적으로 챙겨온 거에요!)$$$$위치 바뀌었어요!  삼층까지 있네요 좌석이 많고 넓어서 학생들이 와서 공부를 많이 하는 것 같아요 실내가 살짝 횡한느낌이 들어요 삼층은 강아지 댈꾸 가도 된다고 나와있네요 디저트 종류도 다양해졌어요!$$절레절레$$
1536161428|다시사랑받개|$$$$강아지를 키우고있지 않아서 어떻게 대해야 할지 좀 걱정했는데 먼저와서 제 품안으로ㅠㅠㅠ행복사할뻔$$저학년애들 견학 온줄 알았습니다$$주말엔 입양상담 안하고 평일에만 합니다!  코로나때문에 1시~8시로 운영중이라고합니다.$$어린 아이들이 피곤해하는 강아지들을 만지고 들어올리는 모습이 많이 보였는데 강아지들이 힘들어하는게 보여서 마음이 안좋았어요. 아이들 출입을 제한하거나 직원분들이 더 신경써주셔야할 것 같아요
26932883|카페브릭|$$신내동 유일무이 라떼 맛집 + 아아도$$평안좋아서 별 기대 안했는데 파니니랑 샌드위치 완전 맛있어요!! 라떼는 약간 산미있는편  조용한 분위기라 좋았어요$$커피랑 치즈케이크 맛있어요. 봄가을에 루프탑도 좋아요$$$$시간 때우기도 좋아요 조용해서 뭔가하기에도 좋음$$신내동이 주위 뭐가없다보니 카공족이많으며 , 가격을 너무올림 3300 → 4300 셰퍼드블렌딩도 사라짐 투박하고 인사도없고$$여기 서비스 마인드 꽝입니다. 왜왔냐는 식이니... 루프탑이라고 올라가면 그냥 옥상이고... 비추$$$$사장들이 나이가 많아서 그런가 불친절 음료맛도 그냥 그럼 오래 머물러야하는 게 아니라면 비추천$$$$좋아요$$커피
358842854|카페소고 망우점|$$$$$$$$사장님 정말 친절하셔요.  좀 더워서 에어컨 작동 부탁드렸더니 바로 켜주시고, 금새 추워져서 살짝만 낮춰달라고 변덕스럽게 부탁드려도 바로 응해주셨어요 :-)   커피도 맛있고 크로플도 고소하고 맛있었는데 가격이 다른 곳에 비해 저렴한만큼 양이 조금 적어요 ㅎㅎㅎ   카페도 되게 예뻤어요 ~ 밝을 때에도 예뻤지만 밤이 되니 은은한 조명들이 넘 감성적입니다 :...$$
181624929|디저트아카데미|$$예쁨$$지나가다가 마카롱맛집이라고해서 구매했어요. 전통적인 쫄깃한 마카롱이라기보다는 쿠키같은 마카롱이에요~$$중화동에 이런 마카롱집이 생기다니 기쁘내요 매장에서 먹어보고 맛있어서 20개 포장해서 가족들이랑 먹었습니다 $$마카롱 $$뚱카롱 너무 크고 맛도 그저그래서 싫어하는편인데 여기 뚱카롱은 진짜 맛있어요! 좀 멀긴하지만 동네에 마카롱맛집이없어서 찾아가는편 ㅋㅋ 3-4개씩 사오게됨 뚱카롱은 요기서... 강력 추천합니다 :)
2018654232|장수부띠끄|$$제리모양 귀여운 레드벨벳 케잌  귀여웠는데 .. 담백하고 폭신폭신 한 레드벨벳 내취향은 아니여서 아쉬웠습니다..$$라떼 고소해서 맛있고 당근케이크 정말 맛있었어요ㅋㅋ 딸기우유도 달짝지근하니 좋았어요!$$장수 아메리카노 맛있네요~^^$$분위기도 좋은데 커피까지 너무 맛있어요. 딱 하나 아쉬웠던 점이 실내에서 마스크 안쓰는 분들은 사장님이 말을 좀 해주셨으면.. 하는 생각이었어요. $$커피가 고소하고 달달해요
17884784|스타벅스 상봉역점|$$$$$$$$$$남자 바리스타분 딸기스무디 비슷한거 두개 헷갈려서 여쭤봤는데 기계적이지않고 친절하게 답해주셔서 기분좋았어요$$직원분들이 매우 친절하셔요,$$좋아여$$직원들 서비스는 좋은편임 조금 오래된 것 같아 아쉬움 11시까지 영업해주세요. 항상 상봉점까지 가야함 ㅠㅠ$$시설 굉장히 오래된거 같아요~ 맛도 그닥 $$좋아요$$$$$$
